,AT,CZ,DK,NL,PL,SK
2018,17746.92,17381.8008,21670.790399999998,16904.196000000004,23565.121199999998,5850.0
2017,17714.1996,17881.1208,22852.047599999998,17028.1152,23348.358,6105.6
2016,17206.545599999998,17119.188000000002,17634.726,18030.942,28630.98,6231.6
2015,16731.1908,17240.796,15086.3976,18086.5296,35758.9476,5983.2
2014,16371.334800000002,16788.6936,15481.591200000003,18295.4268,35915.313599999994,5101.2
2013,16904.545199999997,14618.541600000002,15524.683200000001,21605.605199999998,31037.5296,3279.6
2012,16843.32,12138.1416,16005.427200000002,26009.982000000004,36338.58,3387.6
2011,16371.918000000001,9732.51,15749.4996,25401.1572,27358.239599999997,2948.4
2010,16021.4328,7784.953199999999,16535.1132,25214.075999999997,22692.924000000003,2383.2000000000003
2009,15251.940000000002,6654.470400000001,11948.399999999998,21799.533600000002,18804.0708,1933.2
2008,14840.028000000002,5216.6844,11300.4,16999.480799999998,13025.6352,1861.2
2007,14355.118800000002,4302.932400000001,11174.4,14020.416000000001,9200.0664,1706.4
2006,11401.664399999998,3305.4012000000002,11044.800000000001,12712.464000000002,7174.044,1433.9304000000002
2005,8562.1752,2634.1955999999996,11422.8,13768.516800000001,5440.0572,115.2
2004,6805.580400000001,2568.1355999999996,10465.2,10607.644800000002,3537.8784,72.0
