,AT,CZ,DK,NL,PL,SK
2018,4892.360901977644,3442.5771797076522,4015.2099363714533,2113.128785038693,6921.955250214962,912.581849527085
2017,5163.733388650044,3424.987233018057,3960.095779879622,1936.8745442820293,6608.845950128977,876.481750644884
2016,5095.959281169389,3384.881780739467,3543.038194325022,1785.9256509028373,6466.30020894239,850.1132089423902
2015,5075.60962682717,3328.217337919175,3314.5314161650904,1852.0323379191743,6531.8547901977645,906.9702768701633
2014,4879.6106139294925,3262.62805760963,3023.6754531384354,1827.780761822872,6449.00152794497,750.3080687876183
2013,5121.333125537402,3100.853867583835,3006.932687876182,1794.802014617369,6707.917658641444,653.5949002579537
2012,5001.073786758383,2851.1305313843504,2954.6730610490113,1861.8987472055028,6692.072072227001,694.4314359415304
2011,4816.500543422185,2694.6240077386074,2823.023335339639,1828.8502166809972,6449.218326741185,722.9983241616509
2010,4907.926348237316,2515.3554127257094,2829.138393809115,1684.9118589853824,6017.706177987963,690.365754084265
2009,4454.637328460877,2356.417294926913,2414.349631126397,1717.3109148753224,5244.182515047291,644.2626887360275
2008,4256.835979363715,2135.895366294067,2354.4954170249353,1472.2196233877903,4760.113951848668,515.9069982803096
2007,4065.837122098022,1950.8437747205503,2289.234958727429,1388.498883061049,4236.615810834049,509.412663800516
2006,3717.0400756663794,1858.7561513327598,2080.563515907136,1071.2599862424763,4197.787097162511,386.0898392089424
2005,3249.14204127257,1787.5026809974206,2007.0168907996563,1000.0503740326742,4035.6925339638865,374.1245047291487
2004,2749.7514952708507,1722.0108650042991,1823.951007738607,888.5672433361995,4033.6767738607055,347.708690455718
