,AT,CZ,DK,NL,PL,SK
2018,204833.366244,144133.82136,168108.809616,88472.475972,289808.42241600004,38207.97687599999
2017,216195.18951600004,143397.365472,165801.29011200002,81093.06342,276699.16224000003,36696.537936
2016,213357.623184,141718.23039600003,148339.92312000002,74773.135152,270731.057148,35592.539831999995
2015,212505.623856,139345.803504,138772.801332,77540.88992399999,273475.69635600003,37973.031552
2014,204299.53718400002,136599.711516,126595.24387200002,76525.524936,270006.795972,31413.898224000004
2013,214419.97529999996,129826.54972800001,125894.257776,75144.77074800001,280847.096532,27364.711284000005
2012,209384.95730399998,119371.13308799999,123706.25172000001,77953.976748,280183.67352000007,29074.455359999996
2011,201657.24475200006,112818.51795600003,118194.341004,76570.30087199999,270015.87290399993,30270.493836
2010,205485.06034799997,105312.90042,118450.36627200003,70543.88971199999,251949.32226000004,28904.233392000006
2009,186506.75566800003,98658.47930400001,101083.990356,71900.373384,219563.43354,26973.990252
2008,178225.20878400002,89425.66719600001,98578.01411999999,61638.89119200001,199296.45093600004,21599.994204000002
2007,170228.468628,81677.92716,95845.689252,58133.671235999995,177378.63076799997,21328.089408000003
2006,155625.03388799998,77822.402544,87109.03328399999,44851.513104,175752.95018400002,16164.809388000001
2005,136035.07898399996,74839.16224800001,84029.78318400001,41870.10906,168966.375012,15663.844764
2004,115126.59560399999,72097.150896,76365.180792,37202.533344,168881.97916800002,14557.867452000002
