,AT,CZ,DK,NL,PL,SK
2018,423.87790197764394,415.15717970765263,507.10644883920895,391.679105760963,562.8432502149612,139.72484952708513
2017,423.09638865004297,427.0832330180567,538.4766122098022,395.47265692175404,557.6659501289768,145.82975064488392
2016,410.97128116938944,408.8847807394669,416.37687016337054,421.71564918314704,683.8392089423903,148.83920894239037
2015,399.6176268271711,411.7893379191745,359.02407566638,424.2375752364574,854.0877901977643,142.90627687016337
2014,391.0226139294927,400.9910576096302,369.26543422184005,431.02364574376617,857.8225279449697,121.84006878761822
2013,403.75812553740315,349.15786758383496,370.8006878761823,511.98426483233027,741.3186586414446,78.33190025795356
2012,402.2957867583835,289.9145313843508,382.2830610490112,619.4234737747205,867.9320722269991,80.91143594153051
2011,391.036543422184,232.45700773860705,376.1703353396388,605.8923473774721,653.4403267411865,70.4213241616509
2010,382.6653482373173,185.94041272570934,394.93439380911434,600.9026655202063,542.0111779879622,56.92175408426483
2009,364.2863284608771,158.93929492691316,285.3826311263972,519.1354256233877,449.1275150472915,46.173688736027515
2008,354.4479793637146,124.59836629406706,269.9054170249355,404.5435941530524,311.1119518486672,44.45399828030954
2007,342.8661220980224,102.7737747205503,266.89595872742905,333.3086844368014,219.73981083404985,40.75666380051591
2006,272.32407566638,78.9481513327601,263.80051590713674,302.10877042132415,171.34909716251073,34.24883920894239
2005,204.50404127257093,62.91668099742045,272.82889079965605,327.3745485812554,129.9335339638865,2.751504729148753
2004,162.54849527085125,61.338865004299215,249.95700773860705,251.89742046431644,84.50077386070507,1.7196904557179706
