,AT,CZ,DK,NL,PL,SK
2018,204833.366244,144133.82136,162527.86854000002,86091.958656,289808.42241600004,38207.97687599999
2017,216195.18951600004,143397.365472,161825.74902000005,78858.19616400001,276699.16224000003,36696.537936
2016,213357.623184,141718.23039600003,145889.668584,72850.598388,270731.057148,35592.539831999995
2015,212505.623856,139345.803504,138001.034232,75690.29239199999,273475.69635600003,37973.031552
2014,204299.53718400002,136599.711516,126338.04795600002,75238.20468000001,270006.795972,31413.898224000004
2013,214419.97529999996,129826.54972800001,125894.257776,74196.261684,280847.096532,27364.711284000005
2012,209384.95730399998,119371.13308799999,123706.25172000001,77540.18385599999,280183.67352000007,29074.455359999996
2011,201657.24475200006,112818.51795600003,118194.341004,76421.005056,270015.87290399993,30270.493836
2010,205485.06034799997,105312.90042,118450.36627200003,70280.7831,251949.32226000004,28904.233392000006
2009,186506.75566800003,98658.47930400001,101083.990356,71603.801856,219563.43354,26973.990252
2008,178225.20878400002,89425.66719600001,98578.01411999999,61330.23907200001,199296.45093600004,21599.994204000002
2007,170228.468628,81677.92716,95845.689252,57813.121512000005,177378.63076799997,21328.089408000003
2006,155625.03388799998,77822.402544,87109.03328399999,44502.49242,175752.95018400002,16164.809388000001
2005,136035.07898399996,74839.16224800001,84029.78318400001,41524.496028,168966.375012,15663.844764
2004,115126.59560399999,72097.150896,76365.180792,36862.991279999995,168881.97916800002,14557.867452000002
