,AT,CZ,DK,NL,PL,SK
2018,167331.239784,113827.03401599999,132140.64150000003,48347.533548,228042.770544,26269.950995999996
2017,178449.16158,112376.22408,130133.19650400004,49257.492659999996,228025.39532400004,24468.998976000003
2016,173395.359036,111992.04331200002,118590.27264000001,44985.951828000005,222948.94219199996,23455.039751999997
2015,168411.894732,109691.01990000001,113255.912628,45252.06483599999,210359.02525200002,25736.008392
2014,162933.215724,106549.03584,101202.65971200001,42297.691284,204559.05121200002,20614.044744000003
2013,176485.42677599998,103606.008516,100882.076436,39924.026892,218511.939024,19809.969804000004
2012,171985.99842,95707.98712799998,98213.32638,38136.347028,210043.00558800006,21744.983159999996
2011,164444.23184400002,90521.00247600001,96981.527952,37268.632728,204326.01392399994,23123.989476000002
2010,168721.25738399997,87845.930352,100793.86056000003,35544.969036,192939.04836000002,22477.003272
2009,149855.45284800002,83849.001732,88772.008644,34263.09648000001,174136.00395600003,21505.037651999995
2008,146838.570372,79605.973008,87064.00358399999,32344.579116000008,167971.98765600004,16712.993844000004
2007,142387.876368,77374.99476,84431.0088,30827.492136,164129.97063599998,17130.962088000004
2006,133502.52380399997,74517.00134399999,75904.04631599999,30087.852048,164786.00032800002,13049.041428
2005,124384.42702799999,72204.96664800002,72606.98318400001,27817.978428000002,161446.98546,15080.979204
2004,108321.01520399998,69529.015296,65899.980792,26316.550079999997,164777.08244400003,14443.999452000002
