,AT,CZ,DK,NL,PL,SK
2018,"19755,20646","12924,986544","9155,69424","21345,604308","38200,530672","6088,02588"
2017,"20031,828336","13140,020592","9147,613716","13043,054304000005","25325,408916","6121,93896"
2016,"22755,718548","12606,999084000001","9866,529144000002","10208,25576","19151,134955999998","5905,90008"
2015,"27362,538324","12413,987604","9713,501604000001","12676,248756","27357,723504","6253,823160000001"
2014,"24994,986660000002","13261,982076","9674,983044","14894,415396000002","29532,43116","5698,653480000001"
2013,"21030,003324","11601,999612000001","9487,49814","12836,477592000001","31297,627908000006","4275,14148"
2012,"20555,638884000004","11525,004359999999","9487,49814","13469,814828","33802,087932","3941,8722000000002"
2011,"20841,094908000003","12565,005480000002","5463,313452","13784,871528","38331,619380000004","4198,10436"
2010,"20742,370164","9682,016867999999","1121,3925120000001","9577,221264","36317,3499","4044,0301200000004"
2009,"21399,362820000002","8155,007172000001","363,581712","15605,543376","26623,358784000004","3535,7526000000003"
2008,"16546,610411999998","4603,009788","213,61053600000002","12048,228756","18298,82808","3025,80036"
2007,"13485,47346","0,0","240,280452","13030,661376000002","4048,5937320000003","2490,7273200000004"
2006,"10720,845684","0,0","160,186968","1765,9503719999998","3792,9058560000008","1681,8375600000002"
2005,"3088,476756","0,0","0,0","0,0","2079,332352","467,66556"
2004,"0,0","0,0","0,0","0,0","567,018324","41,868"
