,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"9755,997624","115126,59560399999","7622,990496","28332,343152","29681,983656","187,98732","72097,150896","401563,419768","76365,180792","1858030,6044960006","23900,998248","38998,957464","163857,534768","2719390,625784","2766751,9576200005","279781,751376","405712,506528","49759,403652","28947,316032000002","6516,390492","36,160092000000006","133696,066464","33485,84316","1074,7009440000002","46159,769951999995","0,0","7100,0173079999995","0,0","36862,991279999995","48208,466628","168881,97916800002","109369,93903200001","128896,37132399999","33599,991096","306730,63576800004","18844,774020000004","14557,867452000002","231836,59011599998","47361,373704","9056,006532000001"
2005,"9630,979776","136035,07898399996","7609,006584000001","33687,547812000004","28943,976420000003","96,003324","74839,16224800001","469470,24482400005","84029,78318400001","2016705,0178440001","22709,157948000004","40726,462248","165321,21016800002","2938035,549132","2993617,5306120003","261225,98049599997","406360,1532960001","52095,380364000004","51828,535728","8156,075472000001","43,18369200000001","202714,67898","34032,720779999996","1958,0115959999998","46877,38473600001","5994,995183999999","8643,983544","0,0","41524,496028","51323,79761999998","168966,375012","110938,50147600002","133315,579296","33599,991096","327311,61343200004","19207,423044000003","15663,844764","223023,40333200002","55581,939612","9056,006532000001"
2006,"9630,979776","155625,03388799998","7599,000132000001","37043,85528","31040,265312000003","140,564592","77822,402544","588186,2008079999","87109,03328399999","2202257,660508","20827,00134","41527,52874","174299,37566400005","3152917,0385280005","3215512,1124000004","291979,07809200004","369576,36107999994","48452,6151","55011,25652399999","8390,483280000002","35,191692","235670,55544799997","35913,144456","2029,6652400000005","47123,775828000005","6126,000156000001","8660,981952","0,0","44502,49242","49929,013296000005","175752,95018400002","114710,91336","129858,03536400002","33592,99914","345612,94531200005","18546,737868","16164,809388000001","214825,26085200004","62595,07387200001","9056,006532000001"
2007,"9000,99198","170228,468628","7586,984016000001","42538,55634","28377,251172","253,157364","81677,92716","660361,3833239999","95845,689252","2441133,858996","23997,591252","46300,697136","185227,80627600002","3431031,9306120006","3503535,698844","285692,34157200006","405711,80337599997","46971,453456","60343,149419999994","9274,346928","31,483583999999997","308114,87328000006","36595,233144","4160,941991999999","46000,654848000006","6386,000436000001","8026,011863999999","0,0","57813,121512000005","49647,159216000015","177378,63076799997","119092,92282","135519,60258","33576,000732","363784,32594000007","18441,869796000003","21328,089408000003","209131,813152","72503,684496","9057,011364"
2008,"9005,011308","178225,20878400002","7537,998456","51109,790219999995","31654,908971999997","1052,572464","89425,66719600001","676228,7926080001","98578,01411999999","2626253,489628","25743,892176000005","40839,66558","190372,0671","3677799,805416","3796914,1527","293202,057564","461044,7864280001","46796,54493599999","59316,79089599999","10389,706524000001","31,647888000000002","390122,392068","38848,356755999994","4315,445712","43526,91009599999","6382,9859400000005","8027,016696000001","0,0","61330,23907200001","53506,209384","199296,45093600004","118926,03855599998","159038,96403600002","33672,004056","367438,807224","19375,531848000002","21599,994204000002","199765,25596799998","119114,514756","9760,016952"
2009,"8791,986924","186506,75566800003","7530,001668000001","61462,187028","31164,506820000002","1612,426176","98658,47930400001","657124,9272720001","101083,990356","2690157,143088","28106,036675999996","37370,490228","213385,831092","3803567,357988","3938132,8238399997","265753,83391200006","487163,32344","48692,314332","80332,463664","11891,572524000001","30,835188000000002","398998,88647200004","39075,432695999996","4114,439532","50040,03049199999","6677,987868","8203,992732","0,0","71603,801856","52405,06554000001","219563,43354","122637,34839600002","157280,91811199998","44179,992828","376634,15064000007","26335,745640000005","26973,990252","192683,90858400005","134565,549588","9827,005752000001"
2010,"8582,981867999999","205485,06034799997","7504,964604000001","78431,291532","37778,292252","1487,407608","105312,90042","774779,7216599999","118450,36627200003","2936469,19014","31667,0463","40413,424428","229017,995964","4169710,5784200006","4330041,889463999","309019,86","526839,16464","52070,087375999996","89822,22267600002","13175,562744000003","36,173952","399282,5158560001","39126,760272","4274,7118199999995","44027,153964","6740,999208","8079,016752000001","30,98232","70280,7831","62443,387008","251949,32226000004","112404,937212","165544,750224","42981,981876","412313,5724040001","27820,367640000004","28904,233392000006","187097,44042800006","160331,31104400003","9894,999384"
2011,"8709,004548","201657,24475200006","7492,990355999999","77901,439752","40543,40196","1716,7831560000002","112818,51795600003","753126,3133200002","118194,341004","2798576,55144","30733,739208000003","48904,58264400001","248815,397268","4036940,5759559995","4193273,9749680003","302647,761648","466851,8545560001","50745,658500000005","98471,458404","13036,4433","48,148199999999996","317037,90005999996","38840,616144","4232,928276","45530,159076","7244,001360000001","8721,983628","161,28324","76421,005056","60992,957124","270015,87290399993","113299,27203600001","154693,815048","42792,02676","392881,126212","27391,292244000007","30270,493836","149444,22618","156333,315276","10130,004468000001"
2012,"8645,993208","209384,95730399998","7487,003232000001","85869,987444","45939,123036","1621,3241880000003","119371,13308799999","838005,1919640001","123706,25172000001","3080305,061892","31141,257912000005","53110,484207999994","269291,164752","4387070,3238","4551567,013223999","320907,855636","527153,0520239999","52699,35470400001","102883,34631600001","12926,812104","72,85032","402943,339944","42455,47176","4358,814300000001","51402,56371200001","7336,990188","9499,011840000001","244,170756","77540,18385599999","57787,63520400001","280183,67352000007","95613,728112","161715,525876","42918,58983600001","420266,769912","27260,288424000002","29074,455359999996","147741,95581200003","164496,647556","10361,995056000002"
2013,"8435,983320000001","214419,97529999996","7465,985495999999","90159,07802399999","47647,60898399999","1570,9102919999998","129826,54972800001","856411,741476","125894,257776","3119856,077736","30401,975412000003","45189,67417200001","220092,62788800002","4431152,369952001","4634763,607656","327723,663456","567430,239492","52177,234032","108142,318944","14345,996760000002","599,172948","423303,1104600001","43525,34190000001","4749,702192","51280,266672000005","6987,015576000001","9322,998768","222,093864","74196,261684","54080,806464000016","280847,096532","98875,74528","157037,56063199998","43173,0162","409723,7911919999","28592,962127999996","27364,711284000005","142050,024612","203611,237704","10368,987012000001"
