year,Biogases,Liquid biofuels,Primary solid biofuels,Renewable municipal waste
2004,"2750,5873800000004","0,0","56355,40044","17259,192972"
2005,"2877,5730240000003","0,0","62977,41378000001","18174,796380000003"
2006,"3003,426288","160,186968","65864,78996400001","18080,630064"
2007,"2971,4261760000004","240,280452","74028,766356","18605,216268000004"
2008,"2960,5907880000004","213,61053600000002","75862,81029600001","19541,0025"
2009,"3208,779504","363,581712","79268,23418400002","18243,394956"
2010,"3199,406904","1121,3925120000001","96706,56412800001","17423,002728"
2011,"3092,883768","5463,313452","91762,607304","17875,53648"
2012,"3479,9904720000004","9487,49814","93289,57596000002","17449,187148"
2013,"3556,389996000001","9487,49814","95481,28616399999","17369,083476"
2014,"4056,9985800000004","9674,983044","94265,75707200001","18340,309259999998"
2015,"4109,368464","9712,496772","104927,81723999997","19251,351756000004"
2016,"4749,545448000001","9862,509816000002","112201,31664","19076,29668"
2017,"4765,1846399999995","9026,7408","128360,64783600002","19673,175744"
2018,"5146,028423999999","8937,14328","128623,54608000001","19821,150756000003"
