year,Biogases,Liquid biofuels,Primary solid biofuels,Renewable municipal waste
2004,"3597,7862160000004","0,0","23824,623528","9440,581536000002"
2005,"3407,655276","0,0","28318,289580000004","9798,551172000001"
2006,"3773,042856","1765,9503720000002","28317,836700000003","10645,662492"
2007,"4335,847488","13030,661376000002","29457,520920000006","10989,091728000001"
2008,"5551,2347039999995","12048,228756","32019,445620000006","11711,329991999999"
2009,"6746,462136000001","15605,543376000001","36116,118396000005","13135,677948"
2010,"7770,20508","9577,221264","38877,722352000004","14055,634404"
2011,"8029,548864","13438,037016","38560,61516400001","16392,804012000004"
2012,"8344,540368","13123,482732","38214,822816","17857,33794"
2013,"8634,285432","12531,678552000001","34504,469172000005","18525,828528"
2014,"8918,989560000002","14614,192872000005","33076,9917","18628,030548000002"
2015,"9013,193748000002","12500,026344","33465,914712","20711,157588"
2016,"8615,969496","10027,386","34203,90294","20003,339952"
2017,"8319,604032","12817,343916000005","37779,806339999996","19941,441876"
2018,"8914,492476000001","21044,280312000003","39545,40078","16587,785088"
