geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
AL,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","233,018",,"233,018"
AL,2004,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2004,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2004,RA000,Renewables and biofuels,KTOE,"366,0189165950129","234,379","0,722","601,1199165950129"
AL,2004,TOTAL,Total,KTOE,"6083,0","707,2810000000002","732,2819999999998","7522,563"
AL,2004,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","230,032",,"230,032"
AL,2005,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2005,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2005,RA000,Renewables and biofuels,KTOE,"380,4929492691315","232,325","0,722","613,5399492691315"
AL,2005,TOTAL,Total,KTOE,"5814,0","615,321","758,985","7188,306"
AL,2005,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","230,032",,"230,032"
AL,2006,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2006,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2006,RA000,Renewables and biofuels,KTOE,"391,4588993981084","232,325","0,0","623,7838993981084"
AL,2006,TOTAL,Total,KTOE,"6135,0","750,309","610,06","7495,369000000001"
AL,2006,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","214,985",,"214,985"
AL,2007,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2007,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2007,RA000,Renewables and biofuels,KTOE,"389,4614789337919","221,291","0,0","610,752478933792"
AL,2007,TOTAL,Total,KTOE,"5688,0","667,549","687,0880000000002","7042,637000000001"
AL,2007,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","215,081",,"215,081"
AL,2008,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2008,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2008,RA000,Renewables and biofuels,KTOE,"392,71324161650904","221,577","0,0","614,2902416165091"
AL,2008,TOTAL,Total,KTOE,"6231,0","597,956","745,6289999999998","7574,585"
AL,2008,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","209,993",,"209,993"
AL,2009,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2009,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2009,RA000,Renewables and biofuels,KTOE,"401,36027515047283","216,657","0,0","618,0172751504729"
AL,2009,TOTAL,Total,KTOE,"6601,0","623,836","743,575","7968,411"
AL,2009,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","205,001",,"205,001"
AL,2010,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2010,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2010,RA000,Renewables and biofuels,KTOE,"424,6745485812554","211,713","0,0","636,3875485812554"
AL,2010,TOTAL,Total,KTOE,"6619,0","677,3389999999998","722,007","8018,346"
AL,2010,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","208,011",,"208,011"
AL,2011,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2011,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2011,RA000,Renewables and biofuels,KTOE,"423,7960447119518","219,69","0,0","643,4860447119518"
AL,2011,TOTAL,Total,KTOE,"7453,0","699,044","765,143","8917,187"
AL,2011,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","206,506",,"206,506"
AL,2012,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2012,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2012,RA000,Renewables and biofuels,KTOE,"452,31160791057613","218,305","0,0","670,6166079105761"
AL,2012,TOTAL,Total,KTOE,"7263,0","558,33","732,278","8553,608"
AL,2012,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","201,49",,"201,49"
AL,2013,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AL,2013,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2013,RA000,Renewables and biofuels,KTOE,"500,13465176268267","213,385","0,0","713,5196517626827"
AL,2013,TOTAL,Total,KTOE,"9282,0","565,02","798,008","10645,028"
AL,2013,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","193,202",,"193,202"
AL,2014,R5200,Liquid biofuels,KTOE,,,"25,815","25,815"
AL,2014,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2014,RA000,Renewables and biofuels,KTOE,"475,5312123817713","205,599","0,0","681,1302123817713"
AL,2014,TOTAL,Total,KTOE,"7791,0","663,7189999999998","827,931","9282,65"
AL,2014,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","204,333",,"204,333"
AL,2015,R5200,Liquid biofuels,KTOE,,,"30,266","30,266"
AL,2015,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2015,RA000,Renewables and biofuels,KTOE,"496,86010318142735","216,705","0,0","713,5651031814274"
AL,2015,TOTAL,Total,KTOE,"7294,0","627,141","822,112","8743,252999999999"
AL,2015,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","175,385",,"175,385"
AL,2016,R5200,Liquid biofuels,KTOE,,,"81,896","81,896"
AL,2016,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2016,RA000,Renewables and biofuels,KTOE,"546,4164230438521","193,083","0,0","739,4994230438521"
AL,2016,TOTAL,Total,KTOE,"7740,0","594,974","824,444","9159,418"
AL,2016,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","159,408",,"159,408"
AL,2017,R5200,Liquid biofuels,KTOE,,,"87,87","87,87"
AL,2017,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2017,RA000,Renewables and biofuels,KTOE,"582,3711092003439","176,143","0,0","758,5141092003439"
AL,2017,TOTAL,Total,KTOE,"7440,807","727,691","834,309","9002,806999999999"
AL,2017,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2018,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","158,71",,"158,71"
AL,2018,R5200,Liquid biofuels,KTOE,,,"125,0","125,0"
AL,2018,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2018,RA000,Renewables and biofuels,KTOE,"607,336543422184","173,937","0,0","781,273543422184"
AL,2018,TOTAL,Total,KTOE,"7638,846","765,818","833,836","9238,499999999998"
AL,2018,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AT,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"146,14264832330178","2548,319",,"2694,4616483233017"
AT,2004,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
