geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
AL,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","233,018",,"233,018",,,,,,,"233,018"
AL,2004,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2004,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2004,RA000,Renewables and biofuels,KTOE,,"366,0189165950129","366,0189165950129",,,"234,379","234,379",,,,"0,722","0,722","0,722","601,1199165950129"
AL,2004,TOTAL,Total,KTOE,"523,0438521066208",,"523,0438521066208",,,"707,2810000000002","707,2810000000002",,,,"732,2819999999998","732,2819999999998","732,2819999999998","1962,6068521066209"
AL,2004,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","230,032",,"230,032",,,,,,,"230,032"
AL,2005,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2005,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2005,RA000,Renewables and biofuels,KTOE,,"380,4929492691315","380,4929492691315",,,"232,325","232,325",,,,"0,722","0,722","0,722","613,5399492691315"
AL,2005,TOTAL,Total,KTOE,"499,9140154772141",,"499,9140154772141",,,"615,321","615,321",,,,"758,985","758,985","758,985","1874,220015477214"
AL,2005,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","230,032",,"230,032",,,,,,,"230,032"
AL,2006,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2006,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2006,RA000,Renewables and biofuels,KTOE,,"391,4588993981084","391,4588993981084",,,"232,325","232,325",,,,"0,0","0,0","0,0","623,7838993981084"
AL,2006,TOTAL,Total,KTOE,"527,5150472914875",,"527,5150472914875",,,"750,309","750,309",,,,"610,06","610,06","610,06","1887,8840472914874"
AL,2006,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","214,985",,"214,985",,,,,,,"214,985"
AL,2007,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2007,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2007,RA000,Renewables and biofuels,KTOE,,"389,4614789337919","389,4614789337919",,,"221,291","221,291",,,,"0,0","0,0","0,0","610,752478933792"
AL,2007,TOTAL,Total,KTOE,"489,07996560619085",,"489,07996560619085",,,"667,549","667,549",,,,"687,0880000000002","687,0880000000002","687,0880000000002","1843,716965606191"
AL,2007,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","215,081",,"215,081",,,,,,,"215,081"
AL,2008,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2008,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2008,RA000,Renewables and biofuels,KTOE,,"392,71324161650904","392,71324161650904",,,"221,577","221,577",,,,"0,0","0,0","0,0","614,2902416165091"
AL,2008,TOTAL,Total,KTOE,"535,7695614789338",,"535,7695614789338",,,"597,956","597,956",,,,"745,6289999999998","745,6289999999998","745,6289999999998","1879,3545614789336"
AL,2008,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","209,993",,"209,993",,,,,,,"209,993"
AL,2009,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2009,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2009,RA000,Renewables and biofuels,KTOE,,"401,36027515047283","401,36027515047283",,,"216,657","216,657",,,,"0,0","0,0","0,0","618,0172751504729"
AL,2009,TOTAL,Total,KTOE,"567,5838349097163",,"567,5838349097163",,,"623,836","623,836",,,,"743,575","743,575","743,575","1934,9948349097165"
AL,2009,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","205,001",,"205,001",,,,,,,"205,001"
AL,2010,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2010,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2010,RA000,Renewables and biofuels,KTOE,,"424,6745485812554","424,6745485812554",,,"211,713","211,713",,,,"0,0","0,0","0,0","636,3875485812554"
AL,2010,TOTAL,Total,KTOE,"569,1315563198624",,"569,1315563198624",,,"677,3389999999998","677,3389999999998",,,,"722,007","722,007","722,007","1968,4775563198623"
AL,2010,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","208,011",,"208,011",,,,,,,"208,011"
AL,2011,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2011,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2011,RA000,Renewables and biofuels,KTOE,,"423,7960447119518","423,7960447119518",,,"219,69","219,69",,,,"0,0","0,0","0,0","643,4860447119518"
AL,2011,TOTAL,Total,KTOE,"640,8426483233018",,"640,8426483233018",,,"699,044","699,044",,,,"765,143","765,143","765,143","2105,029648323302"
AL,2011,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","206,506",,"206,506",,,,,,,"206,506"
AL,2012,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2012,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
