,geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
0,AL,2004,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","9755,997624",,"9755,997624",,,,,,,"9755,997624"
1,AL,2004,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
2,AL,2004,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
3,AL,2004,RA000,Renewables and biofuels,TJ,,"15324,480000000001","15324,480000000001",,,"9812,979972000001","9812,979972000001",,,,"30,228696","30,228696","30,228696","25167,688668000003"
4,AL,2004,TOTAL,Total,TJ,"21898,8",,"21898,8",,,"29612,440908000008","29612,440908000008",,,,"30659,182775999994","30659,182775999994","30659,182775999994","82170,42368400001"
5,AL,2004,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
6,AL,2005,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","9630,979776",,"9630,979776",,,,,,,"9630,979776"
7,AL,2005,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
8,AL,2005,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
9,AL,2005,RA000,Renewables and biofuels,TJ,,"15930,478799999997","15930,478799999997",,,"9726,9831","9726,9831",,,,"30,228696","30,228696","30,228696","25687,690596"
10,AL,2005,TOTAL,Total,TJ,"20930,4",,"20930,4",,,"25762,259628000003","25762,259628000003",,,,"31777,18398","31777,18398","31777,18398","78469,843608"
11,AL,2005,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
12,AL,2006,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","9630,979776",,"9630,979776",,,,,,,"9630,979776"
13,AL,2006,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
14,AL,2006,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
15,AL,2006,RA000,Renewables and biofuels,TJ,,"16389,6012","16389,6012",,,"9726,9831","9726,9831",,,,"0,0","0,0","0,0","26116,584300000002"
16,AL,2006,TOTAL,Total,TJ,"22086,0",,"22086,0",,,"31413,937212","31413,937212",,,,"25541,99208","25541,99208","25541,99208","79041,929292"
17,AL,2006,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
18,AL,2007,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","9000,99198",,"9000,99198",,,,,,,"9000,99198"
19,AL,2007,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
20,AL,2007,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
21,AL,2007,RA000,Renewables and biofuels,TJ,,"16305,9732","16305,9732",,,"9265,011588000001","9265,011588000001",,,,"0,0","0,0","0,0","25570,984788"
22,AL,2007,TOTAL,Total,TJ,"20476,8",,"20476,8",,,"27948,941532","27948,941532",,,,"28767,00038400001","28767,00038400001","28767,00038400001","77192,74191600001"
23,AL,2007,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
24,AL,2008,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","9005,011308",,"9005,011308",,,,,,,"9005,011308"
25,AL,2008,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
26,AL,2008,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
27,AL,2008,RA000,Renewables and biofuels,TJ,,"16442,118000000002","16442,118000000002",,,"9276,985836","9276,985836",,,,"0,0","0,0","0,0","25719,103836000006"
28,AL,2008,TOTAL,Total,TJ,"22431,600000000002",,"22431,600000000002",,,"25035,221808000002","25035,221808000002",,,,"31217,994971999993","31217,994971999993","31217,994971999993","78684,81678"
29,AL,2008,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
30,AL,2009,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","8791,986924",,"8791,986924",,,,,,,"8791,986924"
31,AL,2009,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
