year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,387639792938335","0,4339268534121929","0,3340099623836328","0,902633460981439","0,7206450097510796","0,08971855437578007","0,8996120132501121","0,667808215532855","0,7474422681275289","0,6052321445371794","0,9956503600525909","0,6108801796991218","0,47529138965673834","0,6251045373057578","0,6272348174740018","0,8442911359042028","0,6131066613198107","0,6951230032244096","0,8542136950922707","0,539543443044259","0,0007025365181751545","0,3623065529553425","0,9548440097893399","0,651582411878264","0,8026206991199177",,"0,6090743252088177","0,0","0,7646984443500563","0,10004880840930497","0,9407987320893466","0,7023018232760856","0,6866578103982001","0,5760963916211671","0,5250841687731289","0,5558047726150257","0,4704701198289814","0,5359424279439947","0,7798272421772345","0,9908061704433383"
2005,"0,37492587120695486","0,4600405089273446","0,3240898116186449","0,900216888087223","0,6788021571465324","0,04492965254058784","0,8981080289549961","0,6851937127607177","0,7604816820757024","0,611518370030953","0,9877967356945517","0,6134972120951698","0,45835611204859117","0,6317407027037025","0,6336847296771314","0,8301819517057878","0,6098603350674369","0,6963314104478919","0,9117440244216626","0,540631558940739","0,0008187180550455349","0,4488032972396573","0,9524232528082603","0,748131264374896","0,8088268984333636","0,47732722643940323","0,6481675125268809","0,0","0,7167133867425085","0,10344526046416319","0,9377867257193998","0,6974507178449336","0,6862850390380549","0,550217507247852","0,5363334601960884","0,5605481644779834","0,48878997152198644","0,5173984645877551","0,756784809796485","0,9879007169501888"
2006,"0,36876873581052483","0,4870270016327272","0,3205756498148927","0,8771460533961654","0,682530804236774","0,0620404797092126","0,8954570867488258","0,7097208937566751","0,7595746354563482","0,6192887091859971","0,9827753683941938","0,5950970614316","0,4578743105059276","0,6373276465380364","0,6388498561131668","0,8436527910888971","0,5779853730857373","0,6770621034728679","0,9145127087741833","0,490183217352943","0,0006197211693371703","0,47807793077819016","0,9545140992955035","0,745432766466684","0,8122469216351418","0,48333089173129934","0,6410999625867762","0,0","0,6910791592689451","0,09982981453467121","0,9379586531897461","0,6869728550813888","0,6798924952608036","0,5286033893541746","0,5452845606612121","0,5492929302195546","0,49656611204314155","0,5053068089544799","0,7262171849159601","0,9824109952227132"
2007,"0,35200020862020154","0,5032474175375465","0,3171464227081254","0,8831677947660816","0,654547422967635","0,08698666600100351","0,8924891653760942","0,7096778144981153","0,7674440312990116","0,6284060960219885","0,9823821342393164","0,5877475857455299","0,4494589181209133","0,6437695715430691","0,6450961084458053","0,8375671403145435","0,5897023011737834","0,6664121200394063","0,9177007545556324","0,4798392417669444","0,00042946296412192626","0,5342329503283414","0,9498368154046608","0,8520896006564426","0,8083890213513504","0,4978411873798332","0,625050024098423","0,0","0,7701489095384799","0,09782129765783198","0,9342591248282456","0,6703407503173465","0,6841846378695472","0,5095097872820029","0,5503391654332261","0,551105643286922","0,5645418340246405","0,4928849236646644","0,7147960177390642","0,9800149919317632"
2008,"0,35012927998662785","0,5114404219814207","0,3059439998413215","0,8835432448604739","0,6588292561701916","0,2754287310550644","0,8929923603742134","0,6959824989727184","0,7621742434376324","0,6290398733743993","0,9771826064585187","0,5379511946033229","0,4297266048163456","0,6467342544445499","0,6484009994888362","0,8339277760723874","0,6052751080519981","0,6617041803178467","0,9039042078668064","0,46872801149563964","0,00039982713071214803","0,5785695535267656","0,949514497775784","0,8487251435722931","0,7987204764185325","0,5004761102528777","0,6225639091554698","0,0","0,7383685053993663","0,10234007449605123","0,9342676619758253","0,6537611359718151","0,7138530035595433","0,491418454348233","0,555272397062038","0,5615979127380463","0,5650692237673257","0,4729718491348558","0,7044579482647774","0,9795320686526033"
2009,"0,33978500026374114","0,51982511500369","0,2963868397136363","0,860666420105854","0,6365888721142973","0,3671269678315576","0,8924516144833697","0,6682156054763059","0,7574442989676481","0,6169070730913899","0,9711717751963765","0,47889040535510824","0,43046869561039336","0,6386952224727427","0,6402776870094617","0,8125363373673549","0,6079502740207786","0,66043271271999","0,9204575335206857","0,45115740149109673","0,00037782372554824025","0,5648540867889186","0,9445653148809053","0,8342549288018923","0,8201934892734714","0,5095981782494097","0,6217596623928985","0,0","0,7559283164822592","0,09949512042492069","0,932978970240423","0,6412603110242601","0,7106513329086711","0,5404529131336373","0,5507287799233027","0,6180190885864494","0,6274522917594098","0,442656483549822","0,6884950502570643","0,9768640691069633"
2010,"0,3221323240170608","0,5386271716914509","0,2769285357582155","0,8544183577801301","0,6504117894663938","0,3284380025314213","0,8774367495703753","0,6852310499551285","0,7690302111547677","0,6206343600945732","0,9695773614511081","0,4846442230578346","0,42596580650732635","0,6450240180617011","0,6467567179301531","0,8295401292598589","0,6138505423060564","0,6596208966480429","0,9210523364337136","0,4515767926002606","0,00044173958916997845","0,5439577110731161","0,9375938348602355","0,8345357842671984","0,7947212158594371","0,5031570130328296","0,6003545550662217","0,16900882925909633","0,7510098357156365","0,11583622484063472","0,9326008846843026","0,5958694967575794","0,7158584433968032","0,5301069104370038","0,5702636589277612","0,6174908350826455","0,6351458510342168","0,41163072563348235","0,6953334212317451","0,971910817753264"
2011,"0,32325642756264195","0,5390677310859543","0,27815703500747074","0,819909174963497","0,658482948968045","0,3815550806997314","0,9304758865070956","0,6562522690155482","0,7573768703032587","0,6170077861469871","0,9280060433667389","0,5317332614057891","0,49801980626105463","0,6425274733887795","0,6426802883202712","0,8437223217072058","0,6495676341741666","0,6595238397298935","0,9199871383341731","0,4189572471639892","0,0005768721358405748","0,45325393501591865","0,9242150893685747","0,8222500206102119","0,7965380173956685","0,5322221545439135","0,6127414502838393","0,4775683306070912","0,7603071985844269","0,11281350902438941","0,9213604446370542","0,6162352594826084","0,7090998218551745","0,5281068466596793","0,550939240940346","0,615527131139055","0,6271971967429456","0,3364413968200809","0,6466512433983777","0,9697148468691892"
2012,"0,30793451513735354","0,5403296504523117","0,2857114992637877","0,7913481342924632","0,6725288147635602","0,342871934343983","0,8454868984734933","0,6592216309471634","0,7504759266512054","0,6095241854091396","0,9069129583406023","0,5156442396127767","0,5184367650258465","0,6348436449314104","0,6352251702183207","0,8450630105021938","0,5848118449224861","0,6791036256490944","0,9195468221696727","0,4011458908518012","0,0008371919058377521","0,48570376204950366","0,9188801703130732","0,7943224468449683","0,8118250327277557","0,538025575620899","0,6223075442996016","0,44265034646704765","0,7454987003748512","0,104374889290918","0,9060906827711551","0,560956620601856","0,6895147315967464","0,5284940365001328","0,5608971340220318","0,610215354846574","0,6156465761206276","0,31005994611724114","0,6455720048289024","0,9682887720404313"
2013,"0,28238885853001816","0,5383589719723317","0,27681892484293036","0,7630968036069029","0,6169903098648377","0,3035809353908896","0,8517282418999406","0,6473663393989009","0,7235098638728275","0,5902518654794859","0,8923598658436613","0,4348747051404244","0,4065179825573456","0,6168665958975421","0,6177202422968802","0,8260222529466257","0,5909538800432484","0,6487149894820022","0,918216146341664","0,40770702733198955","0,006714281067948402","0,48248927831112337","0,9134455587059659","0,7800419028390778","0,8136847228377656","0,5211536198948101","0,6121766868871036","0,29862332966052796","0,7072545446688722","0,09642265948321947","0,8872246401233072","0,5603971384782278","0,6688219175822239","0,5347363825622242","0,5503478532460517","0,6084503520057525","0,589599347538208","0,283948041985264","0,6369013512576945","0,9651562145294874"
2014,"0,3215493836841312","0,5197091753945247","0,4423231494213368","0,7312172961649346","0,6072355994892236","0,2564394810686601","0,8522999187951333","0,6105278524775217","0,69858805423739","0,5635598876943999","0,8846561179570146","0,42465827487788005","0,39222940865984485","0,5938476768659785","0,5948886331671098","0,8272789915527652","0,5621931442533723","0,6109813713709172","0,9155261289500165","0,41514699408411704","0,006863825259443748","0,4521393549880099","0,9179462016534031","0,8045182221577838","0,8248879683932164","0,5159020523448938","0,6188607232504503","0,30530496676579216","0,6818447316141022","0,07922233887283528","0,8658960073532043","0,45613006759535846","0,6395310443523597","0,5282839492847141","0,5518392368836725","0,5654964763987981","0,6219415531348358","0,2656879281787549","0,6151319072751381","0,9624008935065959"
2015,"0,32877028172207584","0,5213034585375019","0,5020330775144406","0,7104589799595911","0,6174489755422163","0,2926512763877112","0,8474107278781916","0,5862306877759976","0,698799654736397","0,5582437568744666","0,8767466825985623","0,4306889540270965","0,3982733881360595","0,5884850580517347","0,5860695582886957","0,8171661952873016","0,5631089922554382","0,6334758525716527","0,912981780082904","0,38975115337330074","0,01178953098221305","0,4682026419100308","0,9092959870593107","0,8025860732246186","0,819589552070738","0,5256181092365658","0,5958845221110299","0,2878026567126098","0,6373534662971713","0,08608891725010731","0,8443310419815174","0,4461848397774044","0,6213253871075897","0,528441364854153","0,550812978115238","0,5835230289222538","0,6703448261293445","0,22377438042362685","0,5471253481415443","0,9626117035059313"
2016,"0,34791237421255344","0,5163843745148873","0,49370384812326207","0,7236022640142716","0,6255669665571622","0,2840988449688691","0,8476142316356972","0,5709882970778926","0,6936843981944647","0,5480888910537117","0,8756435665111493","0,38029942978090664","0,38134281363899286","0,5795874056637482","0,5766704779271222","0,8114270292957723","0,5654607828698172","0,6208424692381006","0,9018964791699128","0,3828682919769139","0,012055920649408273","0,4581703254752541","0,8975151692613605","0,7975554419020615","0,8237558991851975","0,5205377984814202","0,5501673275697054","0,2750889555730406","0,5866835936421838","0,09763074169190976","0,8162012312246313","0,4354547433409491","0,6307731515906847","0,5279631660760854","0,5511856567966149","0,5848737085000131","0,6553569070082269","0,20228953579987308","0,5319949446585502","0,9505469863654165"
2017,"0,3260031646091467","0,5170358338170215","0,44698282910626114","0,7029202100707368","0,6239272105765864","0,3291330233644279","0,8429610911172858","0,5527816450175821","0,7002006308688545","0,5418912738868442","0,8660901834710495","0,36121286503250377","0,3898420528901906","0,5745636830678372","0,5699667744750035","0,8054823125437097","0,5499587483201263","0,6156049725256599","0,8888136310149095","0,38070819870993494","0,014734818170274217","0,46814007336367985","0,8943095767754927","0,7987723252069896","0,832746359200228","0,5092256821560687","0,5870522264003143","0,26148819281080343","0,5676605844502224","0,10973805387749537","0,8051299253899801","0,4299432682048714","0,6362552217239333","0,5432464058121321","0,5540047207065106","0,5652696020757609","0,6641462005880663","0,18438610388962534","0,5020896057442654","0,9491196204176044"
