year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,11872882220393931","0,1019773840580096","0,06862504468913853","0,017988770286568295","0,07043843318744744","0,0028893971530056673","0,06155542072369397","0,04288753939273037","0,1173445830700603","0,05286089311496599","0,18290908809057474","0,04696008513355601","0,04184679198130358","0,06236390756706625","0,05569743361084671","0,25167502827420735","0,059902397423278735","0,1644272029638533","0,03780881218940546","0,01359560658790362","0,0004343516474954872","0,023910399193717614","0,17021204717356248","0,006389947759382172","0,26833420713036443",,"0,0963062411529284","0,0","0,016833384415115546","0,06011409448229438","0,06665137881763322","0,14093430104255963","0,1145970515726886","0,07300837516326937","0,2064824420165626","0,09006658717023366","0,03184463560150279","0,09150251333178233","0,0078032057518633005","0,2045969226165653"
2005,"0,12273478999285431","0,11635220163355262","0,0650036742997381","0,022037437295489248","0,06683549275458918","0,0014756452916427376","0,0645404438179731","0,050921991303241","0,12867157516720654","0,057167634142009455","0,17305673845609199","0,0476252723035625","0,04087643952751842","0,06711424842552828","0,06013946028624131","0,24393775714415997","0,0601826356691541","0,16704920212135363","0,06366502047008145","0,01625526306968192","0,000518332926640494","0,03531677771962154","0,16625078363418505","0,011365711162237927","0,2666780864411924","0,1740022352242346","0,10761014198109162","0,0","0,019227000190645004","0,06338770839174881","0,0666203740072248","0,1426085290289442","0,11903101096716884","0,07819039265506188","0,2224044262933448","0,09016149115840157","0,0327027156071612","0,0850816058092686","0,009261656308832458","0,19622304701660404"
2006,"0,12184646632828043","0,13317910440278327","0,062245830539293015","0,024135659722532055","0,06901138611717057","0,002123786388128995","0,06656941294557908","0,062325928204160386","0,13112523593967243","0,06244193059514153","0,15780227859909873","0,04758815893812807","0,044375732239341784","0,07183292762180203","0,06457419849182565","0,25869993658803614","0,05585067241210668","0,1558520605643741","0,06843472118885913","0,015944272433493906","0,000397606147967619","0,04157772788376576","0,16826590141692466","0,011885575036188437","0,2589453650341818","0,17209706641214131","0,10712526204826929","0,0","0,02071878656562997","0,06196231857200837","0,06678218019423895","0,1498282606326585","0,11505127189833629","0,07660710496499207","0,23588787843873235","0,0861120936952342","0,033876880371550365","0,07487217911021958","0,010603487423745289","0,1926996580966308"
2007,"0,116604123089639","0,14740801852188484","0,059616798771915454","0,028705187168572788","0,06368383604613789","0,0036517650018784804","0,07121689518021126","0,07418453285646577","0,14416850263029699","0,07056933309656326","0,16897514745071798","0,051920889588772806","0,046064987318312677","0,07951921516358433","0,07155546221455689","0,2530306316154447","0,06251241258013653","0,1503372505365339","0,07900288169874607","0,017755817962219297","0,00032400099143835087","0,05473311360521438","0,1636115843493841","0,024986857401748205","0,24548322881721565","0,16717087120473068","0,0953991987250808","0,0","0,02731699460164005","0,0605809680075846","0,06700245025717165","0,15534556568449404","0,12358410582168375","0,0728116904313533","0,24617668721276073","0,08663365651547217","0,0456179417444489","0,06929050231569164","0,012467716806673527","0,1856322769469087"
2008,"0,11444407798746863","0,15329574327890752","0,051032153214310226","0,033210295187661325","0,07325720481258445","0,014812082700703725","0,07833535594032173","0,07302623539985373","0,14945472892627668","0,07514481587746284","0,1841699557557577","0,04719886436570971","0,04906423571079611","0,08456679973355158","0,07697170579502274","0,2675033602774762","0,06983304361696764","0,14886303986066196","0,07799418965049046","0,019682367055212962","0,0002818783342577235","0,06938127871525104","0,17580872582520382","0,02565939070982781","0,245179712702611","0,16522817150553248","0,09885802822257318","0,0","0,028538064773499433","0,06509975386566515","0,07462791557340993","0,1588655742657759","0,14303917371101674","0,08050485919594061","0,2533880902881278","0,08483481545332593","0,04582674146445359","0,06825845153673588","0,020400437533231168","0,18245732686141392"
2009,"0,10852380389418348","0,16675956036924655","0,05446548176437565","0,0423701329430983","0,08166239220111982","0,02278459853845594","0,0899901262347775","0,07567169153832959","0,15902170075981217","0,08133923230010218","0,22280491578730305","0,04520210654857798","0,05913360385922118","0,09215547378231617","0,08429192788743758","0,2600137095737965","0,07638968313358153","0,1591517418791945","0,10824472764292646","0,024607008601909584","0,00027223224736191493","0,07527629802578417","0,1925589575295208","0,026351249699063346","0,28994684357067363","0,2016253927415716","0,10933659095464336","0,0","0,03471014644589215","0,06587960990395648","0,08333086212876763","0,16556710003633446","0,15689774242661797","0,11813450875917549","0,26881528809211097","0,1251633730143227","0,06094068970632917","0,06682210866584601","0,024705471988418694","0,18226061028225285"
2010,"0,10414190364621508","0,17356668940865766","0,05156063994487705","0,05028562140318239","0,09682788571274323","0,02125255075148615","0,09311489231556166","0,08320122152911137","0,17685442209049665","0,08506585546020895","0,23752001930134103","0,05212262559641776","0,062425088432500976","0,09663320932979678","0,08866217958258972","0,2745055451936226","0,07996913181522168","0,16898261491957034","0,11850001369168474","0,027490847065260712","0,0003228212214326719","0,07401526514585062","0,18930721493263075","0,025589159111663692","0,24967387249734513","0,2051152774503601","0,10076850803730995","0,0017498918329277402","0,03161642124665415","0,0722143607063726","0,08871077830766795","0,15286030443002135","0,1628291691510265","0,10822921210815845","0,27196222600015646","0,12669924757520115","0,05976691864457221","0,06119907617161102","0,028189333802693513","0,18071019674087885"
2011,"0,09881618539942413","0,1763443382261783","0,049856784551245356","0,05403565049451728","0,0997659606841169","0,025302499782350975","0,1029204557508134","0,08510773031392846","0,18711745632346774","0,0851409951835321","0,2353888917340597","0,06329896228919524","0,0703298604185649","0,09773322563585295","0,09014255921650954","0,28364592123708454","0,07457009131845473","0,17108112129831102","0,12997281040917594","0,029763337884329475","0,0004310574862240786","0,061286177283852106","0,189623030267528","0,025398734045926283","0,2767401638581083","0,21965167301474375","0,10187319352392689","0,009311601110927352","0,036950914803258024","0,07392667443155854","0,09746120286684117","0,16164177802941943","0,1501183150500119","0,10411941105330988","0,27163310038756217","0,12530859104003128","0,0677070345424398","0,04561917667740426","0,029991798785077996","0,17380841283526688"
2012,"0,10782963537347079","0,18215949112572133","0,051270707998765694","0,05929576847260828","0,11399594317109216","0,025668829563470975","0,10905605772148921","0,0930974169555431","0,20185406280230225","0,09355850854635735","0,23339962603383996","0,07566443588249712","0,07901935998951697","0,10626311548100523","0,09754272063295262","0,29776381579078015","0,081955545269042","0,18589243761729715","0,1439690020774406","0,029858799678889124","0,0006312583024358464","0,0785845828993086","0,20340241747662918","0,026785614767688256","0,30172188385307575","0,22798921836282898","0,11459669474508509","0,013368554752184828","0,037206160449062504","0,06896356773024695","0,10152884189922627","0,1474259024280867","0,156815265417423","0,11313495276388907","0,2875178823978221","0,12767547581647637","0,0658032657019422","0,04326074129812898","0,030590848360356974","0,1839017755047431"
2013,"0,09323335886966926","0,18214577221946346","0,053673404023371056","0,05982289191537984","0,12562734096817327","0,026897836895464173","0,1192856728747357","0,09284260157759916","0,2076921777477996","0,09453146249520034","0,22662762028210362","0,07188346477607302","0,0663186418774106","0,10759425845221203","0,09943077796717725","0,31056374643961526","0,08658361346884123","0,18642781691146468","0,1501548480570733","0,032871497808007764","0,004986314525145684","0,08495543660161328","0,21400608977486774","0,029587291420581172","0,31551376207376314","0,23316911584477093","0,11563457086139176","0,011800340601349558","0,03561829602207475","0,06462216092632854","0,10395211521135285","0,1538661299623506","0,15935532800725002","0,11541692791472181","0,28863734830926363","0,1370519766652636","0,06117275180691658","0,04235811476438035","0,03750398344041597","0,1832271255342528"
2014,"0,10132379594571989","0,18043643134978646","0,11036896986500135","0,0614867151842311","0,11829406329194901","0,024648786946409762","0,12931664550404215","0,09167146021261373","0,21768963296531255","0,09525691836526239","0,2321040557135869","0,07240050010954459","0,06733339073663315","0,1085569955785084","0,10115252271963343","0,32811374627040624","0,08572213180904731","0,17466880272778804","0,13482605920758314","0,03781789277459085","0,005086824592066881","0,08166947220289045","0,2236830614928579","0,03887920107741236","0,33290168246400775","0,23632706015611518","0,12411685491013186","0,01522997872932093","0,03951874235535225","0,05484021837753501","0,10282511725246676","0,14357941460273044","0,1586976664034317","0,12370225909019265","0,29600994641608563","0,12255793154938376","0,0737648561241286","0,03940064909808021","0,044354737097812444","0,18945668195885684"
2015,"0,11298221734207609","0,18179305915482832","0,13409632435278038","0,05963538892036942","0,1214515065150303","0,03044530246781855","0,1287910306688977","0,0910768054857508","0,22795977807469833","0,09658315619718957","0,24820071246274258","0,07366720342863652","0,06890425045244629","0,11003433417934437","0,10297756449659895","0,328733716417264","0,08854896288584442","0,18832980370073815","0,13354152714610262","0,03763317042267857","0,008704166741665288","0,08701318477890768","0,24140413722494306","0,04335799369822389","0,32171393680441085","0,2320604931046575","0,11990516510978586","0,015483730329293458","0,038679003163634026","0,059216785359274327","0,10253953107506687","0,1451585182523529","0,15426369341360294","0,11783397594402384","0,3035528693632904","0,1285826552226001","0,08771083468513657","0,03345576817745013","0,048754900022450184","0,1793770778468461"
2016,"0,12339982029914599","0,178794184807349","0,12627366129436324","0,06612678564094998","0,12708754474756467","0,029365597610799453","0,1278649758541904","0,08891266712533162","0,23433858100927032","0,09650030403980417","0,25316029579029287","0,06403758192307626","0,07084838152354483","0,10978362015267794","0,10308506543150535","0,32356427919146313","0,09285437255721399","0,1803698115963944","0,13076756795059663","0,03755159954379267","0,008941799549279143","0,08485291754694348","0,23704301424312502","0,04643814962472157","0,3208916044714346","0,222241071479921","0,10269093015326768","0,01800986687911109","0,036780071828095985","0,06756898365351384","0,09528978847481048","0,1435342739063565","0,15841898887865824","0,11370199121402283","0,3076899380081885","0,12533031086318763","0,08037484250538161","0,030500906651595265","0,05107965677567317","0,23455377212428416"
2017,"0,1123074970475693","0,17750444948640304","0,10501702205482123","0,06703809035989029","0,126443879507757","0,036261816722981545","0,12655201083876136","0,08981755849201911","0,25817052647430716","0,09876838919292989","0,2546112344461698","0,06705150822109619","0,07333020362202151","0,11162933158767596","0,10496356536484967","0,3373218557945582","0,0924915955606175","0,17298397035984628","0,12203249127162752","0,042666432779774166","0,011031932829005529","0,09101669514598075","0,23977549512484977","0,053762942418781295","0,3412674004297937","0,2075286997840384","0,11950284465970223","0,020042923479475994","0,039417469661278313","0,07720682652424532","0,0917279776909659","0,14054891776261333","0,15695748302153734","0,11221380296331107","0,31466513927699175","0,1199433107710279","0,07740829975313883","0,02558787615470775","0,052246900040397996","0,22085586197947604"
2018,"0,12573142086187877","0,17255920772530414","0,24858623461004287","0,06645208864416202","0,14698124471752919","0,043021620624356924","0,12845932698255327","0,09131786913392242","0,2574902395070391","0,09963028876721014","0,2747914015924165","0,06806382860971669","0,07629432727790567","0,11240396014758755","0,10644357675328917","0,3381701561778225","0,09363384404249042","0,17731187586562436","0,11107555009278988","0,0417590418732497","0,012833211479545796","0,08758740873743802","0,22915989610629836","0,057919581384934984","0,35693191331482904","0,19011245274504307","0,10361958315373276","0,02256585559257381","0,04302973274026184","0,0698860572495686","0,09521778232191931","0,14171925268722194","0,15035113554722185","0,11129208492917468","0,31305121116027657","0,12083684165052304","0,0809718595885717","0,019966300089435594","0,05977173257036291","0,23654992246186649"
