year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","907,973","0,0","1683,4640000000002","0,0","0,0","174,668","1847,2499999999998","1863,702","5,0","340,67400000000004","0,0","0,0","0,0","0,0","252,747","0,88","0,522","0,0","0,0","0,0","0,0","0,0","0,0","13,543","0,0","0,0","0,0","150,243","0,0","1,0","0,0","16,452","0,0"
2005,"0,0","73,767","0,0","0,0","0,0","0,0","0,0","1828,151","0,0","2945,8280000000004","0,0","0,0","257,309","3164,329","3233,095","0,0","591,156","0,0","2,58","1,0979999999999999","0,0","176,74599999999998","3,29","0,541","2,6","0,0","0,0","0,0","0,0","0,0","49,663999999999994","0,0","0,0","0,0","166,257","0,0","11,17","0,0","68,765","0,0"
2006,"0,0","256,063","0,0","0,0","5,428","0,0","0,0","3343,6989999999996","3,826","4869,842","0,0","44,8","171,109","5214,496999999999","5394,771","1,0","711,168","0,0","10,963","2,662","0,0","159,071","19,3","0,511","2,4","0,0","0,0","0,0","42,178999999999995","5,188","90,59200000000001","71,628","0,0","0,0","233,845","4,08","40,17","0,0","180,274","0,0"
2007,"0,0","322,09499999999997","0,0","0,0","2,323","0,0","0,0","3795,572","5,739","6784,090999999999","0,0","82,6","381,915","7229,402999999999","7578,3550000000005","2,0","1432,67","2,92","28,853","21,541999999999998","0,21","139,629","53,15","44,85","1,7","0,0","0,0","0,0","311,232","30,083000000000002","96,699","121,876","0,0","0,0","308,778","13,769","59,49","0,0","348,95099999999996","0,0"
2008,"0,0","395,20899999999995","0,0","0,0","4,18","14,14","109,941","2971,506","5,102","7857,697","0,0","66,8","612,496","8951,357000000002","9756,611","79,4","2315,464","1,59","163,72899999999998","55,568000000000005","0,31","728,623","61,43","44,891999999999996","2,0","0,0","0,0","0,0","287,767","81,137","437,06","125,566","0,0","0,0","372,057","24,568","72,27","0,0","805,255","0,0"
2009,"0,0","511,115","0,0","132,023","3,747","15,023","194,77900000000002","2632,8489999999997","8,684","9053,047999999999","0,0","75,6","1060,428","10466,679000000002","11454,841","145,04","2466,646","7,08","168,148","77,416","0,38","1144,117","51,54","42,185","4,1","0,0","0,0","0,0","372,73199999999997","94,89","635,888","208,095","0,0","0,0","395,3059999999999","29,686999999999998","84,45","0,0","988,163","0,0"
2010,"0,0","495,42299999999994","0,0","358,07599999999996","13,409","15,023","231,25099999999998","2897,8","26,784000000000002","10178,658","0,0","123,9","1419,891","11924,285","13074,618999999999","142,083","2421,987","2,87","174,047","92,594","0,53","1419,591","44,79","41,224","27,2","0,0","0,0","0,0","228,748","115,315","867,425","309,13","0,0","0,0","429,84299999999996","44,606","96,59","0,0","1150,3339999999998","0,0"
2011,"0,0","497,781","0,0","346,64599999999996","16,76","15,907","300,11","2844,810000000001","130,489","10506,931999999999","0,0","102,8","1701,06","12686,435","13750,084","196,364","2430,6079999999997","3,52","164,78","97,794","1,15","1400,5269999999998","45,02","45,854","22,349999999999998","0,0","0,0","1,83","329,246","113,801","915,535","293,07599999999996","195,99","0,0","452,321","34,991","100,27","0,0","1063,6490000000001","0,0"
2012,"0,0","490,963","0,0","345,17699999999996","83,88600000000001","15,907","275,27","2968,8059999999996","226,605","11218,357","0,0","102,8","2099,049","13497,804","14394,556999999999","194,01300000000003","2678,0","36,67","154,509","84,867","1,74","1368,4429999999998","60,62","47,465","19,24","0,0","0,0","2,87","321,721","130,41","807,3489999999999","273,296","178,31","0,0","516,848","50,971000000000004","94,15","0,0","896,7520000000001","0,0"
2013,"0,0","502,293","0,0","342,601","101,54299999999999","15,023","277,10900000000004","2708,9219999999996","226,605","9708,107","0,0","121,30000000000001","888,555","12036,625999999998","13084,113000000001","224,692","2688,0","31,76","142,328","102,245","3,7800000000000002","1252,2839999999999","58,7","53,525","18,740000000000002","0,0","0,0","3,15","306,594","126,92800000000001","747,5310000000001","261,388","203,45","0,0","598,194","57,986999999999995","102,11","0,0","1047,487","0,0"
