year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"9755,997624","108321,01520400001","7622,990496","24595,942752","29681,983656","187,98732","69529,015296","325752,006204","65899,980792","1644659,1109440005","23792,998248000004","38551,970664","144557,97854399998","2454155,119584","2474349,102684","241990,00617600002","379525,96749599994","49745,003652","26335,976832","6123,990492000001","28,009692000000005","107918,99866799999","33426,99252","899,5758480000001","46023,985152","0,0","7100,0173079999995","0,0","26316,550079999997","46916,06662800001","164777,08244400003","103818,991032","128881,971324","33599,991096","274644,99464399996","18409,987620000004","14443,999452000002","231562,99011599997","20194,024967999998","9056,006532000001"
2005,"9630,979776","124384,42702799999","7609,006584000001","28254,996612000003","28943,976420000003","96,003324","72204,96664800002","340398,01875600003","72606,983184","1732357,7915400001","22581,966347999994","40288,990248","144997,96935600002","2592274,80456","2612205,814752","226982,00289600002","369402,03388799995","52044,98036400001","45754,02028800001","7641,161208","28,009692000000005","178487,010252","33871,00266","1769,1742080000001","46618,008336","5994,995183999999","8643,983544","0,0","27817,978428","50124,99761999999","161446,98546","104888,00667600002","133293,97929600003","33599,991096","293620,995756","18798,020244","15080,979204","222901,00333200002","19931,010192","9056,006532000001"
2006,"9630,979776","133502,523804","7599,000132000001","29846,022480000007","30813,005808","140,006592","74517,00134399999","382611,011076","75904,04631599999","1812651,5720519996","20683,001340000003","39240,992340000004","157148,984052","2693527,4965319997","2715174,5085720005","253007,02609200001","327643,979256","48413,015100000004","50000,021640000006","7816,671864000001","28,009692000000005","210625,97561999998","35015,96685600001","1809,493092","46870,011828","6126,000156000001","8660,981952","0,0","30087,852048000004","48315,002112","164786,00032800002","105574,013856","129842,00456400002","33592,99914","306600,99685200007","17978,998428","13049,041428","214617,00085200003","21647,012040000005","9056,006532000001"
2007,"9000,99198","142387,876368","7586,984016000001","33886,07514","28279,991808000002","247,98416400000002","77374,99476","416239,974828","84431,0088","1945432,459008","23878,953252","42180,000336000005","158804,989056","2851422,484608","2875744,5269040004","249771,04837200002","332225,17581600003","46823,998896000005","53511,993216","7760,401272000001","20,012904","283342,98790800007","34172,996543999994","2057,560992","45779,978448","6386,000436000001","8026,011863999999","0,0","30827,492135999997","46998,044172","164129,97063599998","107280,009252","135390,01698000001","33576,000732","316048,008636","17458,034904000004","17130,962088000004","208790,02195199998","24322,000428000003","9057,011364"
2008,"9005,011308","146838,57037200002","7537,998456","39634,97022","31423,985532000002","419,01494399999996","79605,973008","454876,9794","87064,00358400002","2060517,8776320003","25611,995376000006","37354,00158","153012,006972","2992703,9153400003","3043661,834952","252421,041564","349805,339676","46654,014815999995","45483,008724","7311,199500000001","16,998408","338369,97470400005","36028,963116000006","2185,174656","43281,966096","6382,9859400000005","8027,016696000001","0,0","32344,579116000004","48679,965468","167971,98765600004","106999,996068","158952,99243600003","33672,004056","315029,946348","17308,984824000003","16712,993844","199252,99396800002","50958,045216","9760,016952"
2009,"8791,986924","149855,45284800002","7530,001668000001","43013,006064","30980,980224000006","887,978412","83849,001732","441582,0053400001","88772,008644","2061193,7946240003","26980,032276","33422,010228","156431,031588","3029183,7968160002","3083801,733252","228238,96399200003","369021,788712","48306,000492","64887,0264","7744,617036","13,020948","329104,963116","36550,010376","2066,7719520000005","49696,018092","6677,987868","8203,992732","0,0","34263,09648","47615,011020000005","174136,00395600003","106415,97933600002","157242,977712","44179,992828","319816,00303200004","24415,031124","21505,037652000003","191777,96498400002","54617,978304000004","9827,005752000001"
2010,"8582,981867999999","168721,25738399997","7504,964604000001","48816,957564000004","37090,02384","731,978244","87845,930352","535929,03126","100793,86056","2225884,880196","29003,0103","34541,979228","155115,999576","3286873,7168400004","3354898,7079720004","263563,958556","409447,812924","51830,993016","74267,97048","8166,939552000002","13,983911999999998","316944,98866800003","36723,008952000004","2245,841388","42653,987964","6740,999208","8079,016752000001","30,98232","35544,969036","56376,978588","192939,04836","90053,001972","165146,986224","42981,981876","351074,0656800001","25172,046432000003","22477,003272","185898,98602800004","68024,99113200001","9894,999384"
2011,"8709,004548","164444,231844","7492,990355999999","47276,00582400001","39641,04108","864,9928799999999","90521,00247600001","502591,0082400001","96981,52795200002","2044223,8568640002","27922,020408000004","43856,018244000006","161003,01718800003","3089177,2913760003","3153047,344056","253944,994896","346956,3060120001","50403,00114","84879,959364","7732,224107999999","0,0","229115,01002400002","36386,976384","1978,3886039999998","44168,939675999995","7244,001360000001","8721,983628","66,98880000000001","37268,632728","55007,93685600001","204326,013924","90504,004068","145780,021728","42792,02676","332420,950584","25019,981856000006","23123,989476000002","148209,99858","63869,96894399999","10130,004468000001"
2012,"8645,993208","171985,99842","7487,003232000001","53227,03960800001","42190,006788","775,981512","95707,98712800001","559062,022356","98213,32638","2260853,6618159995","27538,007112000003","48070,995408","163490,98122","3356525,991528","3430432,013148","272464,969752","396109,714824","50825,993544000004","90456,98630399999","7779,534948","0,0","311933,97521999996","39134,01960000001","2033,1100800000002","49560,99379200001","7336,990188","9499,011840000001","91,98399599999999","38136,347028000004","51154,02932400001","210043,00558800006","73549,01318400001","153487,962396","42896,989836","354746,97784799995","24163,990596","21744,98316","145611,00061200003","73906,02162","10361,995056000002"
2013,"8435,983320000001","176485,426776","7465,985495999999","58327,022556","42994,039860000004","766,016928","103606,008516","580180,9951800001","100882,076436","2338963,9842600003","28007,975412","39332,013372","162014,966748","3442442,979384001","3537034,974972001","275076,94680000003","434954,887092","50395,004352","95587,99344","8316,031500000001","440,911908","322876,00954800006","39784,0203","2169,557892","48690,976752","6987,015576000001","9322,998768","68,99846400000001","39924,026892","47340,984959999994","218511,939024","76948,024896","147615,01243200002","43101,012599999995","343887,00479999994","25230,033612","19809,969804000008","138886,999812","94591,995588","10368,987012000001"
2014,"8088,981336000001","162933,215724","16104,986748000001","53408,45365200001","40782,99078","856,9960920000001","106549,03584","512706,98692800006","101202,65971200001","2173733,890056","27651,008844","39440,995776","160579,019952","3236721,5887559997","3334115,516508001","281780,01360000006","379201,239288","44413,030116","79994,00563200001","9624,113424000001","429,39820799999995","291509,0063640001","42126,95358","2707,18488","51174,00036","6841,984824000001","9838,980000000001","81,01458000000001","42297,691284","38369,007504","204559,05121200002","73244,004804","146769,990588","43278,993468","338716,976688","21797,988048","20614,044744000003","131856,98580000002","97393,96962000002","10528,001676"
2015,"8555,014044","168411,894732","20813,001480000003","57427,614180000004","42916,960871999996","1258,9707600000002","109691,01990000001","525173,9794200001","113255,912628","2268661,8344759997","29248,984800000002","42963,015672","166950,95274","3373998,763968","3487832,329392","278653,981248","403756,40260800003","50756,99508","86129,007408","9759,682008","454,812084","321919,953768","45380,976408","2742,060924","47598,975576","7059,9915","9563,990976000001","84,950172","45252,064836000005","41299,055748000006","210359,02525200002","72309,00862800001","141657,99152399998","43391,9952","350569,97495999996","24032,022659999995","25736,008392","119052,99777599999","113833,565424","11028,994164"
2016,"7343,01918","173395,359036","20764,978884","61088,09155199999","44413,99308000001","1313,985312","111992,04331200001","515602,9964880001","118590,27264000001","2314726,6827960005","30285,971424","36154,985796","170069,99313600003","3448074,9790080003","3572432,7779880003","300453,01599600003","436293,993204","49307,985468000006","85707,01983600002","9952,442280000001","464,986008","313681,001256","47342,994624000006","2912,254344","48233,987532","6945,984936000001","8126,913744","86,54115599999999","44985,951828000005","41099,01044400001","222948,94219199996","74592,0288","145552,00860000003","43547,995368","354835,9892160001","24825,965544","23455,039751999997","110425,00780800001","124357,88271600001","15318,998784000003"
2017,"6674,094144","178449,16158","17007,995772000002","58858,57868400001","45243,18882","1852,6589999999999","112376,22408","526718,029392","130133,196504","2364601,1841720007","30339,143784","36634,206924000006","172704,49516800002","3512119,621248","3638333,1774600004","306525,00643199997","424144,69509600004","48885,78855600001","82664,974692","10350,983772","680,1875279999999","339465,99520800007","49551,992172000006","3097,143432","53780,743908000004","6822,013788","9492,145488","87,67159200000002","49257,492659999996","42935,047847999995","228025,395324","74518,34112000001","147550,703184","43817,960232000005","352639,0077840001","23795,594064","24468,998976000003","101464,460316","126213,63994800001","15540,019956"
2018,"6644,870280000001","167331,239784","47906,99845200001","59780,553912","49961,21000400001","2306,71746","113827,034016","522747,017064","132140,6415","2336487,2408519997","32179,996008000002","35504,90136","174095,01518400002","3466272,1934519997","3608379,1355400006","311244,99541200005","420964,443684","47833,72945200001","71909,00175600001","10545,628104","904,13946","317932,361712","48775,96879200001","3505,7751120000007","57449,762352000005","6269,984208000001","8033,924916000001","83,02424400000001","48347,533548","42693,42762","228042,770544","75300,979644","143919,65901600002","43989,11661600001","342150,94818","22121,334612000002","26269,950996000003","70650,1566","142106,983956","15790,599936"
