year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,3294560436375358","0,1928478803044566","0,18841206602162777","0,028063819363979944","0,1380714879306104","0,008322968241110272","0,09845276502674963","0,06675812741244612","0,1948348755756718","0,09532840460036122","0,3325809160685076","0,11210660182456081","0,09364988169498","0,11081219139923675","0,09871285687341598","0,3933066249050899","0,12186046198994714","0,2929390952741976","0,056670498311076366","0,02793352741350611","0,0006500181694166937","0,039738621231947345","0,3039011669357174","0,018041559571321933","0,42460117739624775",,"0,21924504542475082","0,0","0,020134599683566203","0,23579863546367744","0,1018667054431245","0,32219366852983194","0,17261413808500767","0,14027453902505485","0,4316747481134005","0,18361409700606907","0,04994936131551991","0,1452055182217233","0,0069177747107076","0,5181707983173145"
2005,"0,3738406457767572","0,21372440771093015","0,16536714840895833","0,03365447742701599","0,13305404074795035","0,004487262280773853","0,10741692949646363","0,07086592615803804","0,21535391391868727","0,1001019254495067","0,3219558230822127","0,11332752496292042","0,09209834295332398","0,11687602551103084","0,10448458605584249","0,38787847394280855","0,11914747978892123","0,29846564533222825","0,09195745077954424","0,033560742026597624","0,0006525148644641771","0,062296967345233996","0,2924698490282277","0,035878307871134926","0,42624283758663045","0,5389551974766351","0,2364985142810013","0,0","0,021898628900438147","0,2643124199008951","0,10130543922457852","0,31789078555806366","0,1782777834988593","0,1556267465108567","0,46341394434486693","0,1891423942289586","0,04945574420526846","0,13656319277668583","0,007064788586078384","0,4945175288184109"
2006,"0,30658302112862834","0,22763324258185746","0,18057409946255282","0,03599404996935109","0,137575086653185","0,006464021649833276","0,11103776421182476","0,07693445643101561","0,22293485427817383","0,1062648953798424","0,30689354194428137","0,10910529941023503","0,1111235718642208","0,1228276526076111","0,11017615834822699","0,4092510721139576","0,1101964267237405","0,28893194441772213","0,1060490672853861","0,03358438847066353","0,000685694606586563","0,07642665125670627","0,2917877881621677","0,035997024887829444","0,4256436910708704","0,5208474980510536","0,23832999413576225","0,0","0,02433321823094514","0,2533141479230257","0,1013461750003811","0,33881304074247803","0,17481478349835544","0,15758489566976647","0,48808536189607266","0,18524169537470567","0,04373037246815187","0,12132155420296228","0,00797425043387739","0,48882566041488223"
2007,"0,32205126515057325","0,2517478831790973","0,16834473827471075","0,044299690990559824","0,12777082606240653","0,011189765039493845","0,12182699823977203","0,09273898308879293","0,25239901723837976","0,11984277381981229","0,3271705042372079","0,11758632502175305","0,10935232467877867","0,13633463678520832","0,12217351154333546","0,407310003487515","0,11763728653298569","0,28777361242377375","0,1267222880510065","0,035463501889273226","0,00048237855009925087","0,10461704801615297","0,29044759877772647","0,043112402447925434","0,4233383625854614","0,5012389089714099","0,21492445612445793","0,0","0,02585523970477561","0,2539047161497775","0,10430880483285572","0,34483353082601736","0,19347970229206676","0,13165486239550253","0,49971971071815885","0,2038985304350505","0,061410370630075935","0,1152245175254755","0,009271456041424816","0,49170911554049296"
2008,"0,35969368983671035","0,2516756350090138","0,1410327613177847","0,04826391092845567","0,1588777548831875","0,019083722012257217","0,12684354859810087","0,09298796750909494","0,26175780157926654","0,1228878589318602","0,3547561925407091","0,11179454818868362","0,11201333311592468","0,14005470181095311","0,12640457125535953","0,42201166420544595","0,1193963028912446","0,28190932246355177","0,10969458592866926","0,03183567268935912","0,0004165204741357201","0,12180855582996641","0,3192672565715028","0,045122909611529025","0,4287606747211819","0,46810712224119083","0,23643345846302596","0,0","0,02653381914171723","0,26125441106583486","0,10807765831443991","0,3687962943321285","0,2301898390265073","0,16596715912162927","0,509909207445022","0,19232188089495095","0,06018905173026014","0,11562433483359119","0,018799371902356737","0,47750377412211975"
2009,"0,33661571310408506","0,2705855822245083","0,17008827328971685","0,05650738521913313","0,19793862085919242","0,042099141105268696","0,13949306466214095","0,0983943765648682","0,2745926405007901","0,13206168631483478","0,4179464678913065","0,11821251096019204","0,1261169774153765","0,15169232028623353","0,13760579586704672","0,41436986469532794","0,13299392217449435","0,3048917708192396","0,15981899967207094","0,03727521009207717","0,0003192946360554484","0,12690135819250437","0,33594862997093006","0,04543479861571313","0,47821698967636705","0,6253396219757472","0,27947040836119263","0,0","0,029358033552735335","0,26129006318207926","0,11458540647726756","0,3721100807831215","0,26265227123464574","0,2638146154188474","0,5350496278132892","0,2692051301700793","0,08097087681679979","0,11236679199652853","0,02237393522849617","0,4771705696633577"
2010,"0,3026564246263689","0,28217409385039505","0,14872077384947638","0,05748504121763039","0,22256049076462397","0,037962452283653324","0,1372677286747078","0,10786125130105219","0,28397510891677263","0,13315569021514334","0,4325948823630431","0,1285494521829245","0,11835609425994273","0,1534872882517567","0,13926735124817333","0,4234993433359394","0,1421732883625698","0,31982054364961066","0,17078587730020714","0,03849751841551206","0,0003557270998016875","0,11819896042200433","0,32397989147899575","0,045914506796315945","0,40671951339279655","0,7663850346288407","0,2521459269528949","0,012473451774938474","0,027106696796677505","0,2678364920435192","0,11649309588807005","0,3285169017784593","0,2707447259776198","0,2307567989174779","0,5212302268104808","0,2661945134772197","0,07764342920348863","0,10199592546570614","0,025429934808860532","0,4550308150538421"
2011,"0,2975649601455702","0,288508063746036","0,14017300067828045","0,06325780071401775","0,22605621310181043","0,04453267633624973","0,14910348205381388","0,11139000260209231","0,30182451349846545","0,13368840611688243","0,42399124178917735","0,14701684987813193","0,12767125035914367","0,15602205712962153","0,14292318012024868","0,4393454046311336","0,1339709961490716","0,32876269022536886","0,19006501775516946","0,041415232551281565","0,0","0,0933432652619822","0,32674679987863847","0,04548587380276267","0,4464933186217311","0,8109336845410786","0,25980013743201663","0,03573422668900056","0,03250531648631489","0,2680193274557827","0,130394830850522","0,34266878726550065","0,24151436945907556","0,20944465107415003","0,5239931443067981","0,28506403770756983","0,09109213350312355","0,07546793430110016","0,02824212372399449","0,44638923430587174"
2012,"0,36986370067880997","0,30060615702505344","0,14523127900885646","0,06963643031309406","0,2481572124581599","0,04353606629771961","0,15678761340364114","0,1192860667044188","0,31174407425983236","0,1443081073633769","0,4113341496636077","0,1784818111639195","0,13191443016167995","0,16661018105141903","0,15192936872426727","0,4614199653593661","0,14540212249902262","0,35567179908477264","0,22111837882874996","0,041747531806455705","0,0","0,12373300721454449","0,3444088011242753","0,0453349615082277","0,4720745783908985","0,7951909463825463","0,2841039293446751","0,03631404958677686","0,03197680970317316","0,25136127372469635","0,13255720503128532","0,31156844309957293","0,25592761584800594","0,2304915749231415","0,5479769734172198","0,29425797557210176","0,0865442280047237","0,07387888652314394","0,03037475072292996","0,49288725760614344"
2013,"0,35660684577537083","0,30408320718151033","0,1438275508294672","0,07039709266738661","0,2618329620466569","0,04405097547292921","0,17041318010252804","0,11916066614748902","0,32366647748833866","0,14717880799908245","0,4082468476407501","0,18718166003129427","0,13124151306842474","0,16960067064236733","0,15513974088833468","0,48169505984878375","0,15318461799634556","0,36212575408768777","0,22481427377834765","0,04450584452206717","0,010072827374063354","0,1315862094948433","0,36814345051599556","0,04859906870307759","0,4955885711948017","0,6832985300741106","0,3075308289035558","0,021928598991390897","0,0331209335794282","0,24069738209240593","0,13945163277057313","0,32766371445702","0,2600711895500143","0,2501910244744639","0,5523289964586414","0,31095242075888585","0,07707301308367798","0,0752245010722566","0,03781134422165365","0,4818727855379209"
