year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"601,1199165950129","6336,900963026655","545,1094892519347","749,702309544282","983,7603680137576","50,045389509888224","1914,1705975924333","14362,17357265692","2440,2567067927766","73324,42430524506","573,3594428202923","1524,8065451418747","8234,25390455718","103905,06763800516","105355,65527515048","7914,89101633706","15805,205441100601","1709,744797076526","809,3932106620808","288,46854686156496","1229,3581006018917","8813,739803955288","837,6191453138434","39,394542562338785","1373,6341031814272","0,0","278,4241478933792","0,406","1151,378595012898","11508,77718572657","4287,502349097163","3719,563339638865","4483,50967755804","1393,034241616509","13952,30671195185","809,8161745485812","739,0664694754943","10331,934056749786","1450,5866371453137","218,30606878761824"
2005,"613,5399492691315","7062,730299226139","560,7643112639724","893,7993353396388","1018,4337110920031","51,03533791917456","1990,2980748065347","16364,86725967326","2639,139032674119","78768,15183748926","549,099728288908","1585,5570653482373","8614,76298366294","111080,02572141014","112834,22651246775","7515,551669819432","15914,702036973344","1786,903139294927","1357,731200343938","360,3276809974205","1259,8045898538262","10788,149186586415","853,462542562339","62,51082631126397","1384,285192605331","299,97869819432503","318,5256835769561","0,525","1383,8105537403264","11850,207932072226","4303,422540842648","3799,1509905417024","4639,745478933792","1458,554098022356","14576,19961994841","818,4156990541702","765,4095348237317","10295,396755803955","1754,1998770421324","218,94811521926053"
2006,"623,7838993981084","7632,102662080825","566,1658959587274","1008,7000670679278","1086,2278968185726","54,11511349957008","2075,762399828031","19794,52229062769","2739,116630266552","84936,18529234738","506,1628495270851","1666,7331229578676","9092,165624247635","118159,20761478934","120217,89881513327","8266,19735511608","15272,323737747205","1709,2535881341357","1436,744701633706","408,8333568357695","1356,3182355975923","11774,01036543422","898,6464625967327","65,03298968185727","1385,701834049871","302,72635683576954","322,6704290627687","0,645","1538,063702493551","11945,669742046432","4475,450045571797","3988,255249355116","4561,906346517627","1517,8771384350816","15138,560627687015","806,4571728288907","777,5195081685297","10154,253047291488","2058,692200343938","220,17159931212382"
2007,"610,752478933792","8079,201165090284","571,3827652622527","1150,4223422184004","1035,4925803955289","69,51134049871024","2185,845890799656","22224,81856921754","2982,9340842648326","92783,12368873603","583,4517953568358","1881,544355116079","9843,146878761823","127295,22084436801","129717,90007738606","8146,981919174548","16432,460795356834","1683,4836251074807","1570,5243301805676","461,642049011178","1750,960030954428","13775,259112639724","920,2234668959586","116,6337343078246","1359,131230438521","306,3768202923475","306,692252794497","0,7879999999999999","1792,955449699054","12122,125285468615","4534,733135855547","4243,342795356835","4730,930687016337","1573,9619140154773","15788,153736027516","799,259630266552","902,3470593293208","10134,267255374034","2422,6782330180567","220,73437833190027"
2008,"614,2902416165091","8323,229444539982","588,4802450558899","1381,6373723129836","1147,5879441100603","91,2768297506449","2391,840581255374","23206,685877042135","3089,1826079105763","99718,61817540842","629,2399157351676","1813,2474918314701","10581,050032674118","135825,09138865006","139863,65936113498","8397,622712811695","18193,157778159934","1689,1479707652625","1567,3753903697334","529,4197721410146","1890,5590954428203","16105,087445399826","977,2121040412724","121,444086844368","1301,6097841788478","304,6199346517627","307,95553224419604","0,908","1983,8977196904557","12487,521255374033","5095,021636285468","4344,858503869304","5321,23613327601","1636,572645743766","15805,08086328461","824,0355193465177","912,9978710232158","10087,939010318143","4038,5679724849524","237,9850619088564"
2009,"618,0172751504729","8569,492315563199","606,8116930352537","1705,6539939810834","1169,2812897678418","104,90141272570936","2640,3866122098025","23488,166269131558","3187,4946242476353","104153,9354849527","691,2280300945829","1863,847791917455","11839,729735167668","142237,86620550303","146906,08222527945","7811,861429922614","19139,223348237316","1760,9605417024936","2084,515429922614","629,5482003439381","1949,2841840068786","16871,480444539982","988,0742613929492","117,79576784178848","1457,1995640584696","312,99366208082546","315,1523198624248","0,931","2262,4201109200344","12580,249979363716","5620,901094582976","4567,790479793638","5286,122767841788","1952,4753671539124","16334,269188306105","1017,797815133276","1026,7915141874462","10396,721300085983","4668,21501977644","240,2729380911436"
2010,"636,3875485812554","9111,91749355116","647,2897403267414","2192,4847446259673","1387,3042020636287","108,16689939810833","2866,70852794497","27005,921188306107","3678,839079105761","113007,53901719689","780,0867024935511","1991,6838237317281","12841,40833705933","154400,1826122098","159907,53692261394","8897,474990541703","20499,024434221843","1885,4355236457438","2329,256271711092","696,8757360275149","1955,9034806534821","17532,05967411866","996,7286251074805","122,3431513327601","1323,194203783319","319,99156491831474","321,41673344797937","4,378469475494411","2235,160693895099","12875,373639724849","6452,606122098023","4505,593617368873","5523,394277730008","1936,6036921754085","17269,100590713668","1076,0938099742048","1086,9405081685297","10856,200262252794","5507,35439638865","243,1684015477214"
2011,"643,4860447119518","8934,870825451419","643,4027454858127","2269,329310404127","1470,5961951848667","107,4672132416165","2895,9632880481513","27410,363067927774","3727,3693533963897","108333,88827773","791,0107429062768","2196,71398022356","11932,966502149615","150064,6636027515","155838,9607644024","8567,531536543425","17166,133890799658","1837,7489294926913","2556,5035417024933","743,2025606190886","1993,5093559759239","16706,57343594153","1003,7622080825452","122,95743680137576","1365,244524505589","325,0898116938951","339,9818959587274","8,066246775580396","2400,719539122958","12913,274002579536","6999,669200343938","4391,353107480654","5210,54748839209","1935,3469974204645","17032,376328460876","1062,8772355975925","1152,7448271711091","10609,318750644883","5774,298161650902","249,50736887360276"
2012,"670,6166079105761","9255,59754600172","625,8901040412725","2591,741012037833","1631,509429922614","112,94206104901119","3372,1758865004294","30362,186563198626","3937,0657420464313","120703,69675322442","820,1406319862424","2460,0723224419603","12406,351948409285","165053,8291470335","171139,80290799655","9070,036619948409","21529,71839810834","1853,4762811693895","2672,3234213241617","769,6741006018917","2078,376520206363","19814,827645743764","1103,5514256233878","131,0657798796217","1512,3075692175407","325,7112820292347","364,5785786758383","13,175","2484,2638529664655","13223,812392089423","7385,653775580396","4071,071769561479","5601,778759243337","1939,6489578675837","17896,15018400688","1067,0016706792776","1127,9709217540844","11380,883067067927","6085,974760963027","255,59730438521066"
2013,"713,5196517626827","9512,859248495271","644,1828357695614","2821,938937231298","1844,5080429922614","123,59322785898539","3640,6610877042135","31597,3225399828","4156,035512467755","126245,229505589","813,7285588993979","2481,9489656061905","12931,33964660361","171570,73635253657","179206,40991315563","9476,19170851247","22933,834416165093","1921,0775838349095","2812,992260533104","840,4276182287189","2131,427006878762","20954,706251074804","1138,091834049871","145,43409458297506","1505,2613043852107","320,2165227858986","363,7446586414446","17,763584694754943","2505,671088564058","13396,20663800516","7560,562855546002","4214,166064488392","5608,036457437663","1928,3703336199483","17781,634960447118","1122,4106706792775","1108,5407454858125","11948,687956147895","7635,673646603612","256,59991229578674"
