year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"25167,688668000003","265313,36952","22822,644096000004","31388,536296000002","41188,079088000006","2095,300368","80142,49458","601315,48314","102168,66779999998","3069946,9968120004","24005,413152","63840,600432000014","344751,742476","4350297,371868","4411030,575060001","331380,65707200003","661732,341408","71583,595164","33887,674944","12077,601120000003","51470,764956000006","369013,65811200003","35069,438376","1649,3707080000004","57511,312632","0,0","11657,062224000001","16,998408","48205,919016000014","481849,4832120001","179509,14835200002","155730,677904","187715,58318000002","58323,557628","584155,177416","33905,383596","30943,234943999996","432577,41508800007","60733,161324","9140,038488000002"
2005,"25687,690596","295702,392168","23478,080184","37421,590572","42639,78261599999","2136,7475280000003","83329,799796","685164,2624280001","110495,47302000002","3297864,9811320007","22989,707424","66384,103212","360682,8966","4650698,516904","4724143,395624","314661,117312","666316,7448839999","74814,06063600001","56845,48989600001","15086,199348000002","52745,498567999995","451678,2301440001","35732,76973200001","2617,203276","57957,252444000005","12559,508136","13336,033319999999","21,980700000000002","57937,38026399999","496144,5057","180175,69494000002","159062,853672","194256,863712","61066,742976","610276,3256880001","34265,428488","32046,166404000003","431047,671372","73444,840452","9166,919688"
2006,"26116,584300000002","319540,874256","23704,233732","42232,254408","45478,189584","2265,691572","86908,02015600001","828757,0592640002","114681,335076","3556108,2058200003","21192,026184","69782,78239200001","380670,790356","4947089,704416","5033282,9875920005","346089,1508640001","639421,650252","71563,029228","60153,627168000006","17117,034983999998","56786,331888","492954,26597999997","37624,53009600001","2722,8012120000003","58016,564388","12674,547107999999","13509,565524","27,00486","64395,651096","500141,30076","187378,14250800002","166980,27078000002","190997,89491600002","63550,480032","633821,25636","33764,748912","32553,186768000003","425138,266584","86193,32504400001","9218,14452"
2007,"25570,984788","338259,99438000005","23922,653616","48165,88262399999","43354,00335600001","2910,3008040000004","91516,995756","930508,703856","124889,48424000002","3884643,8226","24427,959768","78776,49906","412112,87352","5329596,306312","5431029,04044","341097,838992","687994,2685799999","70484,09241600001","65754,712656","19328,029308","73309,194576","576742,548528","38527,916112","4883,221188","56904,106356000004","12827,384712000005","12840,591240000002","32,991983999999995","75067,458768","507529,141452","189860,20693200003","177660,27615599998","198074,60600400003","65898,63741600001","661018,4206200001","33463,402200000004","37779,466680000005","424301,5014480001","101432,69226000001","9241,706952"
2008,"25719,103836000006","348476,970384","24638,4909","57846,393504","48047,21204400001","3821,5783080000006","100141,58145600001","971617,5243000002","129337,89742800001","4175019,1057680002","26345,016792","75917,045988","443007,402768","5686724,926260001","5855811,690132","351591,66774000006","761711,1298560002","70721,24724000001","65622,872844","22165,747020000003","79153,928208","674287,801164","40913,91637199999","5084,621028","54495,798444","12753,827424000003","12893,482224","38,016144000000004","83061,829728","522827,53992000007","213318,365868","181910,53584000003","222789,514428","68520,023532","661727,125584","34500,719124","38225,394864","422361,83048400003","169086,76387199998","9963,958572000001"
2009,"25875,147276","358787,504268","25405,991964000004","71412,32142000001","48955,46904","4392,012348","110547,70668000002","983402,5453560001","133454,024928","4360716,970884","28940,335163999996","78035,57935200002","495705,80455199996","5955214,982292001","6150663,8506080005","327067,014348","801321,003144","73727,89596000001","87274,49202000002","26357,924052000002","81612,63021599999","706375,143252","41368,693176","4931,873208","61010,03134800001","13104,418644000001","13194,797328000002","38,979108000000004","94723,005204","526709,9061360001","235335,88702800006","191244,25180800006","221319,388044","81746,238672","683883,1823760001","42613,158924","42989,707116","435289,9273919999","195448,826448","10059,747372000002"
2010,"26644,273884000002","381497,76162","27100,72684800001","91794,95128800001","58083,65233200001","4528,731744","120023,352648","1130683,908312","154025,634564","4731399,643572","32660,67006","83387,818332","537644,0842560001","6464426,845608001","6695008,755876001","372519,48290400003","858253,1550120001","78939,414504","97521,301584","29176,793315999996","81889,766928","734032,2744360002","41731,034075999996","5122,26306","55399,494924","13397,406840000001","13457,075796000001","183,31776","93581,707932","539066,143548","270157,71312000003","188640,193572","231253,47162","81081,72338400001","723022,7035319998","45053,89563600001","45508,025196","454527,39258000004","230581,913868","10180,974636"
2011,"26941,473719999998","374085,17172","26937,986148000007","95012,279568","61570,921500000004","4499,437284","121248,190944","1147617,0809280002","156057,50008800006","4535723,234412","33118,037784","91972,02092400003","499609,4415120001","6282907,335720001","6524665,6092840005","358705,41037200013","718711,6937400001","76942,87218","107035,690284","31116,404808000003","83464,24971599999","699470,816616","42025,516128","5147,9819640000005","57160,057752","13610,860236","14234,36202","337,71762","100513,325664","540652,95594","293062,15008000005","183857,17190400005","218155,20224400001","81029,10808800001","713111,53212","44500,54410000001","48263,120424","444190,957452","241758,315432","10446,374520000001"
2012,"28077,376140000004","387513,358056","26204,766875999998","108511,012692","68308,036812","4728,658212","141186,260016","1271204,0270280002","164837,068488","5053622,375664","34337,64798","102998,307996","519429,143376","6910473,718727999","7165281,268151999","379744,293204","901406,249892","77601,34494000001","111884,837004","32224,715244000003","87017,468148","829607,203872","46203,491088","5487,462072000001","63317,293308","13636,879956","15264,175931999998","551,6109","104011,15899599998","553654,577232","309222,55227600003","170447,632848","234535,27309200005","81209,222568","749276,0159040001","44673,225948","47225,88655200001","476494,812252","254807,59129200003","10701,347940000001"
2013,"29873,640779999998","398284,39101600007","26970,646967999997","118148,939424","77225,862744","5174,601264000001","152427,19842000003","1322916,700104","174004,894836","5285635,268940001","34069,18730399999","103914,23929199998","541409,328324","7183323,5896080015","7503013,970244001","396749,1944520001","960193,7793360002","80431,67628","117774,359964","35187,02352","89238,585924","877331,6413199999","47649,628908000006","6089,034672000001","63022,280292","13406,825376000003","15229,261368000001","743,725764","104907,437136","560872,3795200001","316545,64563600003","176438,70478800003","234797,27040000007","80737,009128","744481,492524","46993,08995999999","46412,383932000004","500267,66734800005","319690,384236","10743,325128"
