id,geo,year,siec,unit,GEP_NPUMP_MIX,GEP_RED,GFC_ELC,NMLPRD_MIX,NMLPRD_PURE
0,AL,2004,E7000,GWH,"0,0",,,"0,0","4256,8"
1,AL,2004,R5110-5150_W6000RI,GWH,,"0,0",,,
2,AL,2004,R5292P,GWH,,"0,0",,,
3,AL,2004,R5292SB,GWH,,"0,0",,,
4,AL,2004,R5292SP,GWH,,"0,0",,,
5,AL,2004,R5293SB,GWH,,"0,0",,,
6,AL,2004,R5293SP,GWH,,"0,0",,,
7,AL,2004,R5300,GWH,,"0,0",,,
8,AL,2004,R5300B,GWH,,"0,0",,,
9,AL,2004,RA000,GWH,,"4256,8",,,
10,AL,2004,RA100,GWH,,"4256,8",,,
11,AL,2004,RA200,GWH,,"0,0",,,
12,AL,2004,RA300,GWH,,"0,0",,,
13,AL,2004,RA410,GWH,,"0,0",,,
14,AL,2004,RA420,GWH,,"0,0",,,
15,AL,2004,RA500,GWH,,"0,0",,,
16,AL,2004,TOTAL,GWH,,,"6083,0",,
17,AL,2004,W6210,GWH,,"0,0",,,
18,AL,2005,E7000,GWH,"0,0",,,"0,0","4425,133"
19,AL,2005,R5110-5150_W6000RI,GWH,,"0,0",,,
20,AL,2005,R5292P,GWH,,"0,0",,,
21,AL,2005,R5292SB,GWH,,"0,0",,,
22,AL,2005,R5292SP,GWH,,"0,0",,,
23,AL,2005,R5293SB,GWH,,"0,0",,,
24,AL,2005,R5293SP,GWH,,"0,0",,,
25,AL,2005,R5300,GWH,,"0,0",,,
26,AL,2005,R5300B,GWH,,"0,0",,,
27,AL,2005,RA000,GWH,,"4425,133",,,
28,AL,2005,RA100,GWH,,"4425,133",,,
29,AL,2005,RA200,GWH,,"0,0",,,
30,AL,2005,RA300,GWH,,"0,0",,,
31,AL,2005,RA410,GWH,,"0,0",,,
32,AL,2005,RA420,GWH,,"0,0",,,
33,AL,2005,RA500,GWH,,"0,0",,,
34,AL,2005,TOTAL,GWH,,,"5814,0",,
35,AL,2005,W6210,GWH,,"0,0",,,
36,AL,2006,E7000,GWH,"0,0",,,"0,0","4552,667"
37,AL,2006,R5110-5150_W6000RI,GWH,,"0,0",,,
38,AL,2006,R5292P,GWH,,"0,0",,,
39,AL,2006,R5292SB,GWH,,"0,0",,,
40,AL,2006,R5292SP,GWH,,"0,0",,,
41,AL,2006,R5293SB,GWH,,"0,0",,,
42,AL,2006,R5293SP,GWH,,"0,0",,,
43,AL,2006,R5300,GWH,,"0,0",,,
44,AL,2006,R5300B,GWH,,"0,0",,,
45,AL,2006,RA000,GWH,,"4552,667",,,
46,AL,2006,RA100,GWH,,"4552,667",,,
47,AL,2006,RA200,GWH,,"0,0",,,
48,AL,2006,RA300,GWH,,"0,0",,,
49,AL,2006,RA410,GWH,,"0,0",,,
50,AL,2006,RA420,GWH,,"0,0",,,
51,AL,2006,RA500,GWH,,"0,0",,,
52,AL,2006,TOTAL,GWH,,,"6135,0",,
53,AL,2006,W6210,GWH,,"0,0",,,
54,AL,2007,E7000,GWH,"0,0",,,"0,0","4529,437"
55,AL,2007,R5110-5150_W6000RI,GWH,,"0,0",,,
56,AL,2007,R5292P,GWH,,"0,0",,,
57,AL,2007,R5292SB,GWH,,"0,0",,,
58,AL,2007,R5292SP,GWH,,"0,0",,,
59,AL,2007,R5293SB,GWH,,"0,0",,,
60,AL,2007,R5293SP,GWH,,"0,0",,,
61,AL,2007,R5300,GWH,,"0,0",,,
62,AL,2007,R5300B,GWH,,"0,0",,,
63,AL,2007,RA000,GWH,,"4529,437",,,
64,AL,2007,RA100,GWH,,"4529,437",,,
65,AL,2007,RA200,GWH,,"0,0",,,
66,AL,2007,RA300,GWH,,"0,0",,,
67,AL,2007,RA410,GWH,,"0,0",,,
68,AL,2007,RA420,GWH,,"0,0",,,
69,AL,2007,RA500,GWH,,"0,0",,,
70,AL,2007,TOTAL,GWH,,,"5688,0",,
71,AL,2007,W6210,GWH,,"0,0",,,
72,AL,2008,E7000,GWH,"0,0",,,"0,0","4567,255"
73,AL,2008,R5110-5150_W6000RI,GWH,,"0,0",,,
74,AL,2008,R5292P,GWH,,"0,0",,,
