year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"1962,6068521066209","26964,32665606191","2653,1421702493553","37618,26848581256","10064,704280309543","1553,957369733448","27974,96702579536","223635,5277205503","15543,546706792777","839529,8670550301","3121,034288907996","19835,443092863286","93523,77555803955","1041492,2951986243","1186459,248159931","26551,987984522788","161767,76149699054","7228,0189449699055","18286,60371023216","11447,912380911437","1988,409539982803","133551,7513172829","4698,819129836629","4017,0580455717973","4108,708971625108","0,0","1760,8516122098022","377,69570249355115","52304,24249527085","19154,23418744626","60519,02969475494","18535,275627687017","26864,88784694755","10992,190939810833","35480,66993379191","4997,4103482373175","10918,909382631125","60515,51615477214","144966,954961307","1057,1957644024076"
2005,"1874,220015477214","27925,058534823733","2795,8111900257954","36511,19889509888","10343,53113155632","1553,8964634565777","27695,853564918314","220201,60385554598","15597,981824591574","842577,667327601","3134,2259423903697","20424,76173172829","96599,14887532243","1045586,8187730007","1188925,3077024936","25577,325242476352","161271,52639380912","7448,5646595012895","19444,010220120377","11984,088788478073","1989,8885649183144","137095,09300343937","4889,345801375752","4114,683441960447","4198,496823731728","822,9089690455719","1918,5738091143596","404,97333104041275","51583,47837661221","19338,888834909718","60577,45238005159","18580,37947377472","26750,910382631126","10263,690624247636","35150,84528202924","5088,2190610490115","11440,166291487532","62608,39135683577","143338,48892949268","1102,3119011177987"
2006,"1887,8840472914874","27910,08463628547","2915,841887360275","36658,50832588134","10742,922895958727","1580,8216964746346","27922,075155631985","225405,16373172827","15866,995403267412","842382,9957136714","3152,3269836629406","20842,747561478933","93814,09288650044","1048351,1141633706","1189347,8998426483","26957,101583834912","158049,65906792777","7425,444524505589","19199,629458297506","12568,980557179708","2113,9993112639722","135382,44629922614","5097,709705932932","4078,702230438521","4346,600484092864","850,2004307824591","1931,0477850386933","408,1210060189166","51302,4142149613","19246,11638693035","62857,892404127255","18286,42396216681","26958,466759243336","10473,636882201205","34994,69084866724","5144,2393809114365","11396,853398968186","68530,30412123818","140996,78667927772","1122,4669630266553"
2007,"1843,716965606191","27582,197785898537","3039,6130576096302","35394,85588650043","10642,873326741188","1655,7910369733445","27392,99108426483","212611,17462768705","15878,884201203782","826215,5525004299","3392,0527876182286","21299,195005159072","96040,19027429062","1030553,3022914876","1169449,682049011","26967,661206362853","155013,37326483236","7462,514364574377","18243,275838349095","12475,571175408426","2320,895629406707","134456,03278417885","5342,2997566638005","3977,386611349957","4475,689726569218","912,401777300086","2009,429875322442","421,23746431642303","50548,85080051591","19573,837539982807","63230,75939122958","18310,6970627687","26191,31382115219","11014,014305245058","35295,134763542555","5084,357631986242","11166,936611349956","72088,19932932072","138896,38175752363","1165,330747205503"
2008,"1879,3545614789336","27768,781365434217","3528,0110412725708","36757,76924763543","10320,68468271711","1697,2806526225277","27266,04533361995","221173,21454600172","15753,903766981945","834748,0290911435","3338,6677996560616","20666,570423903693","92673,58677987961","1038737,8911212382","1178195,7484926914","26179,150893379192","157688,46622785897","7508,3531444539985","18164,90711693895","12607,928525365436","2681,642136715391","134300,10840584696","5277,764546861565","4016,956256233878","4240,246370593293","922,6937429062768","1939,3670240756664","439,2382166809974","51329,60506534824","19631,00902321582","63784,62958899398","17879,894018916595","26556,22440928633","9989,980828890799","34635,11298710232","5455,031937231299","11257,771811693896","69900,66519604472","139457,85737145314","1277,6357300085983"
2009,"1934,9948349097165","26712,935190025797","3302,1097798796213","34647,02645399828","9114,98472398968","1690,27062338779","26185,287136715386","207411,23828460876","15182,516723129838","789942,290749785","3012,954856405847","19746,3988460877","86188,4391083405","985797,6077987961","1115891,9826870163","24411,871530524502","152320,25584866726","7307,466030954428","17725,647918314702","11542,456654342219","2705,358456577816","126599,27399742046","4846,830746345658","3729,2994084264833","4122,085208082545","791,0759544282029","1792,1630653482373","400,152445399828","49271,68568099742","18999,40647033534","62932,05639638865","17691,574854686158","23942,920610490113","8932,368797936371","33464,436509028375","5025,57947205503","10571,962539982804","68872,05721324161","130094,37488822013","1287,7933396388648"
2010,"1968,4775563198623","28276,89094582975","3476,5472304385203","37253,17819862424","9318,792845227857","1671,616776440241","27013,459932932074","222416,15436371454","15996,989842648325","824494,8726414446","3184,381716251075","18518,98380567498","87625,03980911436","1030616,9780421325","1166464,3734144454","26887,6628650043","157352,4306199484","7359,766987102321","18104,360196904556","11447,188548581256","2676,403974204643","128847,73204471194","4936,560998280309","3989,9606431642305","4211,776330180567","784,9537196904556","1914,9236577815989","422,88328116938953","53093,53808340499","20652,882075666377","67835,11871711092","17563,39431212382","24282,924555460017","9485,488991401548","36210,69232330181","5244,530477214102","11550,967822012039","73019,82106792777","135847,39537231298","1307,8288013757524"
2011,"2105,029648323302","27313,04328718831","3589,621785898538","34433,636045571795","9706,341849527085","1620,577475494411","26181,6175227859","211356,98122269992","15086,90525623388","785084,2291289768","3118,5105821152188","18453,160159931213","84499,72216852967","986570,007510748","1111069,2785528805","25484,652018916593","149531,33062080824","7084,587833190026","18095,710711092004","10461,531569217539","2667,8576216680995","123556,73801289767","4892,2969828030955","3980,5824479793637","3929,5675468615646","787,7017171109201","2044,9049724849529","413,69727515047293","49397,54149785038","19705,90134651763","66172,1601728289","16741,381186586415","24612,575051590713","9816,32521410146","34545,879984522784","5220,949099742046","10678,333928632846","78243,71853568358","124499,2710421324","1392,0557472055032"
2012,"1915,1135889939812","27454,368453998282","3487,8394892519345","34588,798952708516","9625,229395528804","1508,6259716251075","26143,71536027515","214994,25870077388","14637,669512467755","786372,3308813414","3186,792453138435","16765,10380739467","81396,62192605331","986074,745044712","1114509,7217704214","25741,047249355113","153630,0477987962","6771,133235597592","17068,44163972485","10340,388966466036","2756,3993903697337","122468,50434049871","4985,3464600171965","3886,7314368013754","4069,075554600172","768,6372244196045","1979,81277300086","436,2414952708512","49777,11893465176","20013,95809200344","65913,01493293207","15490,457405846948","24630,950101461738","9060,797588134135","34912,260985382636","5099,654408426483","10553,145478933791","81569,47580309544","128434,97772570938","1345,7836354256233"
2013,"2161,1363404987105","28116,673053310402","3322,3530954428206","35996,46412983663","9058,88463628547","1394,9280705073088","25995,19114789338","220319,58045055892","14477,833110920034","788271,759017197","3204,1050722269993","15015,0918288908","79266,13024763543","983660,8162175408","1113331,598282889","25204,31091573517","156528,90760189164","6684,795462596733","17201,80831040413","10423,8707927773","2870,0556147893376","119008,5237712812","4857,735274290628","3834,237012897679","3881,948347377472","715,7122820292348","1925,6870877042134","449,53116079105763","49753,84739724849","19988,46606964746","64528,91934909717","15348,450007738607","23537,196680137575","8934,302749785038","33904,42950300946","4983,008521926054","10684,412274290627","80098,14809544283","129670,78206534823","1351,6503043852106"
2014,"2161,555417024935","27043,37797764402","3485,2277815993125","33590,741578675836","9299,071937231298","1400,9075073086842","25229,760986242476","209010,54440756663","13861,626725709373","751606,1196784179","3126,2239948409288","15129,998337059329","78077,05800429921","942441,5177145314","1065303,3962648322","25110,075015477218","146054,89171883062","6325,446465176268","16960,626683576957","10380,390032674119","2898,861506448839","113447,44985640584","4934,513627687017","3684,5038650042993","3910,4947824591572","691,4908512467755","1893,3770128976785","458,9482536543421","45472,946218400684","19385,40797850387","62718,15389337919","15829,036895958729","23412,732614789336","8371,65588650043","33027,9787300086","4772,395835769561","10171,619768701634","82288,62495098883","122861,87855030094","1327,2532665520205"
