year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"82170,42368400001","1128942,4284360001","111081,75638400001","1575001,6649640002","421389,038808","65061,08715600001","1171255,919436","9363172,274604","650777,21352","35149436,47386","130671,46360799999","830470,3314120001","3915653,435064","43605199,415376","49674675,80196","1111678,6329360001","6772892,638356","302622,697188","765623,5241400001","479301,19556400005","83250,73062","5591544,724152001","196730,159328","168186,186252","172023,427224","0,0","73723,3353","15813,363672000001","2189874,024792","801949,4769600001","2533810,73526","776034,91998","1124779,1243760001","460221,050268","1485504,6887879998","209231,57646","457152,898032","2533663,6303680004","6069476,470320001","44262,672264"
2005,"78469,843608","1169166,350736","117055,02290400001","1528650,87534","433062,961416","65058,537132","1159569,997056","9219400,750224","653056,3030320001","35277041,775672","131223,771756","855143,924184","4044413,1651119995","43776628,928388","49777924,782888","1070871,453252","6752116,267056","311856,50516400003","814081,819896","501749,829396","83312,654436","5739897,353867999","204707,13001199998","172273,56634800002","175782,66501599998","34453,552716000006","80326,84824","16955,423424","2159697,072672","809680,5977400001","2536256,776248","777923,327808","1120007,1159","429720,19905600004","1471695,5902680003","213033,55564800004","478976,88229200005","2621288,129328","6001295,8545","46151,594676"
2006,"79041,929292","1168539,4235520002","122080,46814","1534818,426588","449784,695808","66185,84278800001","1169041,442616","9437263,39512","664319,3635440001","35268891,264539994","131981,626152","872644,154904","3927808,4409720004","43892364,447792","49795617,870612","1128639,9291120002","6617223,125856","310888,511352","803850,0861600001","526238,0779680001","88508,92316399999","5668192,261656","213430,909968","170767,104984","181983,46906800003","35596,191635999996","80849,10866400001","17087,210280000003","2147929,478352","805796,4008879999","2631734,239176","765615,998448","1128697,0862760001","438510,22898400004","1465157,716452","215379,01440000004","477163,458108","2869226,772948","5903253,464688","46995,44680800001"
2007,"77192,74191600001","1154811,4569","127262,51949600001","1481911,8262560002","445595,82044400007","69324,65913599999","1146889,750716","8901604,659312002","664817,123736","34591992,752088","142018,466112","891754,6964760001","4021010,686404","43147205,66034","48962519,288028","1129082,039388","6490099,911852002","312440,55141600006","763809,4727999999","522327,213972","97171,25821200002","5629405,180608001","223671,406212","166525,22264400002","187388,177472","38200,437612","84130,81002","17636,370156","2116379,285316","819517,4301240002","2647345,434192","766632,264624","1096577,927064","461134,7509320001","1477736,7022799999","212871,885336","467537,302044","3018188,72952","5815313,711424","48790,067724"
2008,"78684,81678","1162623,338208","147710,766276","1538974,2828600002","432106,426296","71061,74636399999","1141574,786028","9260080,146612","659584,442916","34949230,481988","139783,343436","865267,9705079999","3880057,7312999996","43489878,025464006","49328699,59789201","1096068,689604","6602100,704027999","314359,729452","760528,331172","527868,7515000001","112274,99298000001","5622876,938736001","220969,446048","168181,924536","177530,63504400002","38631,341628","81197,418564","18390,025656","2149067,9048760002","821911,0857840001","2670534,871632","748595,402784","1111856,0035680002","418260,517344","1450102,910544","228391,27714800002","471340,39021200006","2926601,0504280003","5838821,572428","53492,052744"
2009,"81014,36374800002","1118417,170536","138252,732264","1450601,7035760002","381626,18042399996","70768,25046","1096325,60184","8683893,7245","635661,6101640001","33073303,829112","126146,393928","826742,2268879999","3608537,5685880007","41273374,243319996","46720165,53114","1022076,2372399999","6377344,471872001","305948,987784","742137,427044","483259,57520400005","113267,94786","5300458,403724","202927,109688","156138,307632","172583,463492","33120,76806","75034,28322","16753,582584","2062906,936092","795467,1501000001","2634839,3372040004","740710,856016","1002442,20012","373980,416832","1401089,0277600002","210410,961336","442626,92762400006","2883535,291404","5446791,287820001","53917,33154399999"
2010,"82416,218328","1183896,87012","145556,07944399997","1559716,0648199997","390159,21884399996","69987,25119600001","1130999,5404720001","9312119,550900001","669761,9707320001","34519951,327752","133323,693696","775352,8139760001","3668685,166728","43149871,636668004","48837530,386116005","1125732,668832","6588031,565196","308138,724216","757993,352724","479270,89015200007","112055,681592","5394596,845248","206683,93587599997","167051,672208","176338,651392","32864,442336","80174,02370399999","17705,277216000002","2222920,252476","864694,8667439999","2840120,750448","735344,1930600001","1016677,485288","397138,45309200004","1516069,2661920004","219578,00202","483615,92077200004","3057193,868472","5687658,749448","54756,176256000006"
2011,"88133,38131600001","1143542,4963480001","150290,28493199998","1441667,473956","406385,12055600004","67850,337744","1096171,962444","8849094,089832","631658,5492680002","32869906,505172003","130565,80105199998","772596,9095760001","3537834,367752","41305713,07446","46518248,554452","1066991,4107279999","6260577,750432","296617,5234","757631,2160520001","438003,4037399999","111697,862904","5173073,507123999","204830,690076","166659,02593200002","164523,13405199998","32979,495492","85616,081388","17320,677516000003","2068176,267432","825046,6775760001","2770496,0021160003","700928,1475200001","1030479,29226","410989,90406399994","1446366,903192","218590,696908","447080,48492400005","3275908,0076520005","5212535,479991999","58282,59002400001"
2012,"80181,97574400001","1149459,4984320002","146028,863736","1448163,8345520003","402989,104332","63163,152180000005","1094585,074704","9001379,623284","612849,947148","32923836,74934","133424,62642800002","701921,366208","3407913,7668000003","41284977,425532006","46662293,031084","1077726,166236","6432182,84124","283493,806308","714621,514572","432931,40524800005","115404,92967600001","5127511,339728001","208726,48558799998","162729,67179599998","170364,05532","32181,303312000004","82890,80118000001","18264,558924","2084068,4155559998","837944,397396","2759646,109212","648554,470668","1031248,6188480001","379357,47342","1461706,5429360003","213512,33077200002","441839,094912","3415150,812924","5377315,64742","56345,269248"
2013,"90482,45630400002","1177188,867396","139100,27940000003","1507099,9601880002","379277,381952","58402,84845600001","1088366,66298","9224340,194304","606157,916688","33003362,006532002","134149,47116400002","628651,864692","3318714,3412080007","41183911,053396","46612967,356908","1055254,08942","6553552,303475999","279879,01642800006","720205,3103400001","436426,622352","120163,48847999999","4982648,873256002","203383,66046400002","160531,83525600002","162529,41340800002","29965,441824","80624,66698800001","18820,970640000003","2083094,082828","836877,0974039999","2701696,7953080004","642608,904924","985455,350604","374061,387528","1419510,6544320001","208628,600796","447334,9731","3353549,26446","5429056,3035120005","56590,894944"
