,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"233,018","2749,7514952708507","182,072","676,7063903697334","708,942","4,49","1722,0108650042991","9591,177504729148","1823,951007738607","44378,29856921755","570,8655356835769","931,4740963026654","3913,6699810834048","64951,52922957867","66082,73520636286","6682,472326741186","9690,276739466895","1188,4829380911435","691,3947652622528","155,64131298366294","0,8636689595872744","3193,2756870163366","799,7956233877901","25,66879105760963","1102,5071642304383","0,0","169,581","0,0","880,4574204643163","1151,4394436801376","4033,6767738607055","2612,2561152192607","3078,6369380911433","802,5219999999999","7326,135372312984","450,09969475494415","347,708690455718","5537,321823731728","1131,2069767841788","216,299"
2005,"230,032","3249,14204127257","181,738","804,6132562338779","691,315","2,293","1787,5026809974206","11213,104156491832","2007,0168907996563","48168,17182201204","542,3989191745486","972,7348392089424","3948,6292674118663","70173,773505589","71501,32632588134","6239,275353396388","9705,745516766983","1244,2767833190026","1237,9033086844368","194,80451590713673","1,0314247635425624","4841,75692605331","812,8575709372312","46,76630352536543","1119,6470988822014","143,188","206,458","0,0","991,7955485812554","1225,8478460877038","4035,6925339638865","2649,7205855546003","3184,1879071367157","802,5219999999999","7817,703578675839","458,76141788478077","374,1245047291487","5326,8224737747205","1327,5518202923474","216,299"
2006,"230,032","3717,0400756663794","181,49900000000002","884,7772828890801","741,384","3,3573276010318143","1858,7561513327598","14048,586051590712","2080,563515907136","52600,02055288048","497,44438091143587","991,8679836629407","4163,069066208083","75306,12970593294","76801,18736027516","6973,80047033534","8827,179733447978","1157,270829750645","1313,9212889079963","200,40325021496133","0,8405391229578676","5628,894512467755","857,7707188306106","48,47772141014618","1125,532049011178","146,317","206,864","0,0","1062,9237704213242","1192,5339948409287","4197,787097162511","2739,8230954428204","3101,605889079966","802,3549999999999","8254,823380911437","442,9812235597592","386,0898392089424","5131,0132046431645","1495,0576543422185","216,299"
2007,"214,985","4065,837122098022","181,21200000000002","1016,0159630266552","677,779","6,046559759243336","1950,8437747205503","15772,460669819431","2289,234958727429","58305,48053396389","573,1726199484092","1105,8731521926054","4424,090147033534","81948,78978245916","83680,51253568358","6823,644348237318","9690,259944969905","1121,8938916595014","1441,271362854686","221,51397076526226","0,7519724849527084","7359,19731728289","874,0621272570936","99,38239208942389","1098,706765262253","152,52700000000002","191,69799999999998","0,0","1380,8426844368014","1185,8020257953572","4236,615810834049","2844,4855932932073","3236,830098882201","801,949","8688,839350816854","440,4764926913156","509,412663800516","4995,027542562339","1731,7207532244197","216,32299999999998"
2008,"215,081","4256,835979363715","180,042","1220,7363671539122","756,0645116079105","25,14026139294927","2135,895366294067","16151,447229578676","2354,4954170249353","62726,98695012898","614,8823009458298","975,4386543422183","4546,9587059329315","87842,73921410146","90687,73652192605","7003,010833190026","11011,865539982804","1117,7162734307822","1416,7572106620805","248,15387704213242","0,7558968185726569","9317,913252794497","927,8770601891658","103,07265004299225","1039,6223869303524","152,455","191,722","0,0","1464,8475941530526","1277,9738555460017","4760,113951848668","2840,4996311263967","3798,5803963886506","804,2419999999998","8776,12513671539","462,77662768701634","515,9069982803096","4771,311167669819","2845,0013078245915","233,114"
2009,"209,993","4454,637328460877","179,851","1467,999116938951","744,3514574376612","38,51213757523645","2356,417294926913","15695,159245055891","2414,349631126397","64253,29949097162","671,3011530524504","892,5788245915735","5096,633015477214","90846,64560017196","94060,68653482372","6347,421274290628","11635,69607910576","1162,995947549441","1918,7079312123817","284,0253301805675","0,7364858125537403","9529,92467927773","933,300675838349","98,27169991401549","1195,1855950128975","159,501","195,949","0,0","1710,2274256233877","1251,6734866723991","5244,182515047291","2929,1427437661223","3756,5901908856404","1055,221","8995,752141014618","629,0184780739468","644,2626887360275","4602,176091143595","3214,0429346517626","234,71400000000003"
2010,"205,00099999999998","4907,926348237316","179,25300000000001","1873,299214961307","902,3190085984522","35,526120378331896","2515,3554127257094","18505,29573086844","2829,138393809115","70136,36166380052","756,3544067067928","965,2580593293206","5470,000858985382","99591,82617798797","103421,27375236456","7380,812553740327","12583,337265692175","1243,6726706792776","2145,366931212382","314,6929097162511","0,864","9536,69905073087","934,5266139294927","102,0997377472055","1051,570506448839","161,006","192,96400000000003","0,74","1678,6276655202064","1491,434675838349","6017,706177987963","2684,7458013757523","3953,9684299226133","1026,607","9847,940489251936","664,4780653482374","690,365754084265","4468,745591573518","3829,4475743766125","236,338"
2011,"208,011","4816,500543422185","178,96699999999998","1860,6439226139296","968,3625193465177","41,004661220980225","2694,6240077386074","17988,112957867586","2823,023335339639","66842,85257093723","734,0627497850387","1168,0658890799657","5942,853665520206","96420,66914961305","100154,6282355976","7228,617599312123","11150,564979363717","1212,0392304385211","2351,950377472055","311,3700988822012","1,15","7572,320150472914","927,6921788478073","101,10175494411006","1087,4691668099742","173,02","208,321","3,852184006878762","1825,284347377472","1456,7917532244196","6449,218326741185","2706,1066216680997","3694,798295786758","1022,07","9383,804485812552","654,2297755803957","722,9983241616509","3569,41401977644","3733,9570859845226","241,951"
2012,"206,50599999999997","5001,073786758383","178,824","2050,9694144453997","1097,2371031814273","38,72466294067068","2851,1305313843504","20015,410145313846","2954,6730610490113","73571,8224393809","743,7961668099742","1268,5221220980222","6431,908969905417","104783,37450558899","108712,31043336197","7664,752451418744","12590,834337059327","1258,7024625967329","2457,3265098882202","308,7516027515047","1,74","9624,136331900258","1014,0315219260533","104,10849097162512","1227,7291418744628","175,24099999999999","226,88","5,831918314703353","1852,0154737747202","1380,233954428203","6692,072072227001","2283,6946620808253","3862,508977644024","1025,0929071367154","10037,899348237317","651,1008030954429","694,4314359415304","3528,755990541703","3928,9349277730007","247,49200000000002"
2013,"201,49","5121,333125537402","178,32199999999997","2153,412582975064","1138,0435889939808","37,52054772141014","3100,853867583835","20455,043027515047","3006,932687876182","74516,48222355975","726,1387076526225","1079,3368245915735","5256,822104901118","105836,25608942391","110699,42695270851","7827,545224419604","13552,838432502149","1246,2318245915735","2582,934913155632","342,6482459157352","14,311","10110,421096302667","1039,584931212382","113,44468787618229","1224,8081272570937","166,882","222,676","5,304620808254514","1772,1472648323302","1291,697871023216","6707,917658641444","2361,60660361135","3750,7776973344794","1031,1697764402406","9786,084627687014","682,9311676698193","653,5949002579537","3392,8065494411003","4863,1708632846085","247,65900000000002"
