,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","38015,013564","0,0","70483,27075200001","0,0","0,0","7312,999824","77340,663","78029,475336","209,34","14263,339032000002","0,0","0,0","0,0","0,0","10582,011396000002","36,84384","21,855096000000003","0,0","0,0","0,0","0,0","0,0","0,0","567,018324","0,0","0,0","0,0","6290,373924","0,0","41,868","0,0","688,8123360000001","0,0"
2005,"0,0","3088,476756","0,0","0,0","0,0","0,0","0,0","76541,026068","0,0","123335,92670400003","0,0","0,0","10773,013212000002","132484,126572","135363,22146","0,0","24750,519408","0,0","108,01944","45,971064","0,0","7400,001528","137,74572","22,650588000000003","108,8568","0,0","0,0","0,0","0,0","0,0","2079,332352","0,0","0,0","0,0","6960,848076","0,0","467,66556","0,0","2879,0530200000003","0,0"
2006,"0,0","10720,845684","0,0","0,0","227,25950400000002","0,0","0,0","139993,989732","160,186968","203890,544856","0,0","1875,6864","7163,991612000001","218320,560396","225868,272228","41,868","29775,181824000003","0,0","458,998884","111,452616","0,0","6659,984628","808,0524","21,394548","100,4832","0,0","0,0","0,0","1765,9503719999998","217,211184","3792,9058560000008","2998,921104","0,0","0,0","9790,62246","170,82144000000002","1681,8375600000002","0,0","7547,711832000001","0,0"
2007,"0,0","13485,47346","0,0","0,0","97,259364","0,0","0,0","158913,00849600002","240,280452","284036,321988","0,0","3458,2968","15990,017220000002","302680,644804","317290,56714000006","83,736","59983,02756000001","122,25456","1208,0174040000002","901,920456","8,79228","5845,986972","2225,2842","1877,7798000000003","71,1756","0,0","0,0","0,0","13030,661376000002","1259,5150440000002","4048,5937320000003","5102,704368000001","0,0","0,0","12927,917304000002","576,480492","2490,7273200000004","0,0","14609,880468","0,0"
2008,"0,0","16546,610411999998","0,0","0,0","175,00824","592,0135200000001","4603,009788","124411,013208","213,61053600000002","328986,05799600005","0,0","2796,7824","25643,982528","374775,4148760001","408489,7893480001","3324,3192000000004","96943,846752","66,57012","6855,0057719999995","2326,521024","12,97908","30505,987764000005","2571,9512400000003","1879,5382559999998","83,736","0,0","0,0","0,0","12048,228756","3397,043916","18298,82808","5257,197288","0,0","0,0","15577,282476000002","1028,6130240000002","3025,80036","0,0","33714,41634","0,0"
2009,"0,0","21399,362820000002","0,0","5527,538964","156,879396","628,982964","8155,007172000001","110232,121932","363,581712","379033,01366399997","0,0","3165,2208","44397,99950400001","438218,9163720001","479591,282988","6072,53472","103273,53472800001","296,42544000000004","7040,020464","3241,253088","15,90984","47901,890556","2157,87672","1766,2015800000001","171,65879999999999","0,0","0,0","0,0","15605,543376","3972,8545200000003","26623,358784000004","8712,52146","0,0","0,0","16550,671607999997","1242,935316","3535,7526000000003","0,0","41372,408484","0,0"
2010,"0,0","20742,370164","0,0","14991,925968","561,4080120000001","628,982964","9682,016867999999","121325,09040000002","1121,3925120000001","426160,053144","0,0","5187,4452","59447,99638800001","499245,96438","547408,1482919999","5948,731044","101403,75171600001","120,16116000000001","7286,999796","3876,725592","22,190040000000003","59435,435988","1875,26772","1725,966432","1138,8096","0,0","0,0","0,0","9577,221264","4828,00842","36317,3499","12942,654840000001","0,0","0,0","17996,666724","1867,564008","4044,0301200000004","0,0","48162,18391199999","0,0"
2011,"0,0","20841,094908000003","0,0","14513,374727999999","701,7076800000001","665,994276","12565,005480000002","119106,50508000005","5463,313452","439904,228976","0,0","4304,0304","71219,98008000001","531155,66058","575688,516912","8221,367952","101764,695744","147,37536","6899,009040000001","4094,4391920000003","48,148199999999996","58637,264436","1884,8973600000002","1919,815272","935,7497999999999","0,0","0,0","76,61844","13784,871528","4764,620268000001","38331,619380000004","12270,505968","8205,70932","0,0","18937,775628000003","1465,0031880000001","4198,10436","0,0","44532,85633200001","0,0"
2012,"0,0","20555,638884000004","0,0","14451,870636","3512,1390480000005","665,994276","11525,004359999999","124297,96960799998","9487,49814","469690,170876","0,0","4304,0304","87882,983532","565126,057872","602671,3124759999","8122,936284000002","112122,504","1535,2995600000002","6468,982812","3553,211556","72,85032","57293,97152399999","2538,03816","1987,2646200000001","805,54032","0,0","0,0","120,16116000000001","13469,814828","5460,00588","33802,087932","11442,356928000001","7465,483080000001","0,0","21639,392064","2134,053828","3941,8722000000002","0,0","37545,212736","0,0"
2013,"0,0","21030,003324","0,0","14344,018668","4251,402324","628,982964","11601,999612000001","113417,14629599999","9487,49814","406459,023876","0,0","5078,588400000001","37202,02074","503949,45736799994","547805,6430840001","9407,404656","112541,18400000001","1329,7276800000002","5958,988704","4280,79366","158,26104","52430,626511999995","2457,6516","2240,9847","784,6063200000001","0,0","0,0","131,8842","12836,477592000001","5314,221504000001","31297,627908000006","10943,792784","8518,0446","0,0","25045,186392","2427,799716","4275,14148","0,0","43856,18571600001","0,0"
