year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","0,04717346821645847","0,0","0,667580668192361","0,0","0,0","0,28379806791459605","0,18199466254152366","0,3258438565654847","0,1173086297861737","0,6456194718832721","0,02568947235024233","0,06414837097266846","0,11469699126696654","0,12801043268017628","0,4308355750252342","0,04741880828373938","0,0006760164244950496","0,793670523203778","0,06746139073204274","0,00028186703545100464","0,07685310088502034","0,01474931235824929","0,22789437905138132","0,012094134033966695",,"0,0",,"0,5611229864582735","0,003013740608840075","0,3105066747889158","0,10984112135352059","0,0002543686221042517","0,0","0,09356901642639937","0,02842636105202061","0,0045403353173841966","0,0018163296833391708","0,7260172153899898","0,0"
2005,"0,0","0,056341791069914875","0,0","0,6977148048741582","0,0","0,0","0,2791940577671297","0,22468719445132262","0,3422450802674193","0,12553742812843768","0,3646205288034841","0,02340962136979419","0,048142217840386706","0,12438907142131454","0,13966960269578413","0,40341129260484415","0,0483158451393811","0,0022780540731932265","0,8934112162631286","0,06541720025109855","0,0005111928184140021","0,08291937671746731","0,015202259221463519","0,21985940580855945","0,013776848725844958","0,0","0,0",,"0,5115126987244715","0,00272950269296998","0,3916993163334737","0,11474823795826346","0,00036898966570643254","0,0","0,09662438971574488","0,026830637836052426","0,007240677401574305","0,0008025198746407306","0,6964766158178164","0,0"
2006,"0,0","0,0726272939268994","0,0","0,6833121499747611","0,0","0,09791535060012634","0,3156090473262155","0,24634526774756937","0,3309878650009677","0,13729403177704477","0,31196624525226374","0,01986276634163958","0,047470670603823165","0,13468996314696072","0,14892798807699126","0,4367765469645639","0,04746593072031862","0,0017621992246323413","0,8503119803269827","0,05226451910888289","0,00021487992305252283","0,09091978761136815","0,05285530068831236","0,24569053742580246","0,014239186087614902","0,0","0,0",,"0,4465486300516765","0,003151401387992506","0,4421124419513745","0,1079177814254046","0,0002716836896560813","0,0","0,10497553842538848","0,025763355211135423","0,083139650291396","0,0013411120148451943","0,6282963485860568","0,0"
2007,"0,0","0,08806531695842162","0,0","0,7013674445478767","0,0","0,4007250418293362","0,36120681605199767","0,27761397561463425","0,3236067135882501","0,14769360763453543","0,2356284856284856","0,02940464855532085","0,045134459338937165","0,14667682410056804","0,15953621010723681","0,4167029585731446","0,05174583422927477","0,0011171554540965608","0,8477206811363271","0,0602154704175346","5,463400248481905e-05","0,09295320805275713","0,09711352247533067","0,2648804240318531","0,013836730709192424","0,0","0,0",,"0,5294989131037589","0,003090711419313936","0,48280230710665173","0,10632071826478741","0,0021493328983237044","0,0","0,12103269920744297","0,026750715080557822","0,09719308821810621","0,0021525597656602397","0,576337538033144","0,0"
2008,"0,0","0,09019396440438461","0,0","0,7359411108579048","0,004150710447059201","0,7964662847677547","0,3893107908972332","0,2875597659890566","0,31790544971366735","0,1549308773740976","0,19272710057179526","0,028949531814439548","0,04569105925505063","0,1556773773916878","0,16730568555120723","0,42293307892783033","0,05307401316149987","0,003315449286589164","0,829930426317013","0,06372387065047251","3,101665440595252e-05","0,10028275085865758","0,11314778812486523","0,2750482779864229","0,014833325493776164","0,0","0,0",,"0,5107862572712133","0,003112659471462895","0,5372144115674533","0,0990946629825955","0,0014011430806994691","0,0","0,1288194546878278","0,06501734607724281","0,10377964670357101","0,003155446387614284","0,5116317809853099","0,0"
2009,"0,0","0,09201493497316611","0,0","0,6610310393212127","0,0018210446035377766","0,8635534714081022","0,42625171362982833","0,28704193896344055","0,31990031524494156","0,1540994150695912","0,5916650587732343","0,03017226614975219","0,04415684933182952","0,15910769523801674","0,17082806031915596","0,37951642971898736","0,05419993242200193","0,0037879029226426755","0,8101678083249387","0,062411298254927666","3,384053406376005e-05","0,09745568300712071","0,14855880671029023","0,2898994056292803","0,015803361762836022","0,0","0,0",,"0,561399177643508","0,0017685478796162703","0,6015395284838451","0,10242273686538615","0,0006152469148919527","0,0","0,1358975134363817","0,04179777126802839","0,11100658163603856","0,005243084604110454","0,4770929702614631","0,0"
2010,"0,0","0,09530412198436275","0,0","0,6026555969069125","0,00759485922925509","0,47494388403602245","0,40890961256314007","0,2910282167929325","0,37190734897025796","0,162262504663879","0,7403787085968814","0,02447738527932626","0,04649523224107946","0,16879175388184264","0,180730977743953","0,4351458903821708","0,05616072108291933","0,004692550382738936","0,7595539636922425","0,07016792132308901","0,0","0,09233382293045167","0,18065436305618832","0,3046442498126297","0,020639681427488923","0,0","0,0","0,0","0,596422522102033","0,0026776483043146056","0,6088192783419026","0,1143748432574068","0,006233962666976004","0,0","0,14309684619525823","0,04764856107615879","0,13066131600024786","0,006248457495111143","0,4689913846939023","0,0"
2011,"0,0","0,09664336822577804","0,0","0,5390127295524406","0,011232348001465484","0,3038617108338681","0,3654092202107296","0,28795945813520013","0,33366082707346667","0,16515179353721918","0,6861639695675856","0,023997821322954523","0,05116730393958044","0,16996193791394007","0,1813020159338138","0,43800787709172323","0,06085101121750026","0,007842813506150417","0,6831360631460583","0,06657909648173904","0,0","0,09974105004207937","0,15931491681507315","0,3199894001080638","0,036032152291986475","0,0","0,0","0,49595959595959593","0,5879187658268746","0,0025988501996756404","0,5897426903480147","0,11683244483163759","0,010513905975671391","0,0","0,13522966737710898","0,05576159433258498","0,14621553490962846","0,005940440723137561","0,431605209504646","0,0"
2012,"0,0","0,09701692901554948","0,0","0,4887790026139072","0,010888992881883532","0,21436470269316663","0,41543134269088194","0,30191535446666784","0,31974167240508233","0,1698481261116226","0,6566842302436003","0,01995752624521086","0,052598810305164834","0,1760812692348503","0,1864103353594079","0,4322117142332975","0,060717781188092734","0,013440160756379375","0,641318067721742","0,08100058208261182","0,0","0,10033841199709403","0,17951211705759004","0,293819266037842","0,08160611366713691","0,0","0,0","0,3476901430469789","0,5783508187187368","0,0024204912073577944","0,5949439562504406","0,11622452003330923","0,010684045065493773","0,0005756459731213625","0,13883826147842965","0,058237289775236636","0,16337265041134832","0,009000998115518851","0,38410359707939357","0,0"
2013,"0,0","0,09482348202082257","0,0","0,4238527664231137","0,01622976817813069","0,17117574729998142","0,4596322856595663","0,29729614656772335","0,27940495023024087","0,17103556490985578","0,5301753485205318","0,017268161236744704","0,05748020585343454","0,17348736971376605","0,18500409136853696","0,4471659038623016","0,06179090100036361","0,016767558379637157","0,6582291488145474","0,08219410510396463","0,0","0,12904966668620305","0,24311893140170004","0,2602204710490191","0,13612876946680968","0,0","0,0","0,16661953509416896","0,5011989208660041","0,0028822441047790933","0,5037036067633356","0,11655833928077669","0,01184909244566181","0,0019489222755063415","0,12832037026932877","0,054074984027813765","0,153114081587788","0,011886625132516043","0,3655051639115835","0,0"
2014,"0,0","0,0902837960229486","0,0","0,3657940807654503","0,028678495684414287","0,15683728155339804","0,48802189456923134","0,289249916530161","0,2527487124376376","0,168229413886598","0,5579482226993653","0,01693574377074939","0,05277913799152586","0,17191775985123753","0,1855978973088938","0,43488207302666554","0,0641020301638068","0,020920157448406362","0,6802454194982394","0,08231537527503127","0,0","0,13380358532205963","0,2575339818956439","0,28445841192096144","0,17578950909034533","0,0","0,0","0,08621979901646357","0,42777184409349805","0,0018640769560906484","0,5005863897074794","0,11076286831509019","0,02083095781778449","0,002075794375117112","0,12210988260844233","0,05200826470426591","0,2193232276454374","0,01378294700514879","0,3642600060068917","0,0"
2015,"0,0","0,09039075629059004","0,0","0,38795149274830065","0,037312185825553776","0,13378942970545227","0,48547879994505666","0,2719740344699673","0,23357208633862994","0,16658408595965715","0,5307759245627733","0,017055005203255653","0,05620181307205275","0,16885620121405595","0,1853119403536955","0,41400925920990106","0,06788088335395498","0,03240054933373735","0,6684221302222411","0,06513909125368936","0,0","0,13216367448103705","0,25045193706141916","0,2931570164843221","0,2004196468267725","0,0","0,011437865052539282","0,06538102031780389","0,3752666917205336","0,0018612283145726246","0,4508755769656139","0,11015642600534073","0,020472394468779718","0,002168858674543619","0,11718751534832293","0,05453400769560845","0,2527830854958937","0,014056369689099483","0,36514043348318787","0,0"
2016,"0,0","0,09099512474306222","0,0","0,3749491250195301","0,04832444094962514","0,12394687684653946","0,4910133750815459","0,2629657565709219","0,2532540981454598","0,16532750255049322","0,5612195395716849","0,019146946724247382","0,055711452172309744","0,16656928128031612","0,18173005369594913","0,39878932256590915","0,07574188552830428","0,050948144901028634","0,6366520562076928","0,08574977587793924","0,0","0,1338910651845991","0,21780462653565089","0,29615575790264076","0,21553912908789497","0,0","0,019487409682862458","0,0609889504790573","0,32541197560189616","0,0016698933473520282","0,3540132668898276","0,10482466882435282","0,02085478804779029","0,0031785511692424013","0,12234727130979577","0,057777986921774445","0,2609268979605495","0,01682467973758832","0,33861093330491265","0,0"
2017,"0,0","0,09284972483192844","0,0010531515032157982","0,3627426668835815","0,05274552287573865","0,11604778253430417","0,49939568531075423","0,24500921438306744","0,29330824496983765","0,16103639334482478","0,5842924195775215","0,02059581637099946","0,05918924177587981","0,16326169507146135","0,1776648183397442","0,3826611294775837","0,07541133136997386","0,060407592645950255","0,6257144226593444","0,08119860336882154","0,0","0,1318202438838052","0,2245739699163769","0,30078260000035084","0,22930582898649998","0,0","0,0273698484095533","0,05660827145922123","0,2758971319060708","0,00172083778323419","0,2876272206148951","0,1080653367198289","0,020694767896518595","0,00740131740851122","0,1258384579135112","0,0565524709330596","0,2608247660497197","0,020103217513040193","0,3154576668052658","0,0"
2018,"0,0","0,09123552297478034","0,0013339402761589855","0,3123367518714103","0,17387093782520815","0,12015949178887612","0,4818911000796652","0,22529848260895374","0,26533780490361647","0,1567069178120174","0,6345057530301654","0,020293732178692105","0,05926652694675872","0,15973706160398382","0,17472170374591203","0,38904641045699867","0,07661683120498947","0,07329404570625905","0,5965681713181372","0,08225756152325858","0,0","0,13197549562362546","0,2338401592696952","0,334491374694591","0,23105665953713986","0,0","0,02891054579687199","0,04508392802284414","0,24601104018522868","0,0014038767957096434","0,28662747505839287","0,10848200894834621","0,01713526230243861","0,009753029424863505","0,1226015623600531","0,052415681739551176","0,24893475075503826","0,023157100370258223","0,30640567851793593","0,0"
