year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","0,029070643882563356","0,0","0,011265495783670667","0,0","0,0","0,010479561526957979","0,01720386058629787","0,07740028755524789","0,017106816744111658","0,0035252643948296123","0,002014553891584054","0,012169942834585808","0,018201149464833883","0,018230878446676778","0,11508082456043651","0,006535071595290593","0,00023678586861936078","0,017616378472896835","0,004068834223001978","0,0002625536356256523","0,012362923742105198","0,0005289434974474345","0,006301180907162848","0,005558208075449455",,"0,0","0,0","0,024947134913268217","0,0029526425739805568","0,006860006888738469","0,030085866659122093","7,231050129255021e-05","0,0","0,04790346238442562","0,008320633827075439","0,0006993496048674732","0,0005066092509515588","0,018444661260326234","0,0"
2005,"0,0","0,03543830205859144","0,0","0,016400312999250106","0,0","0,0","0,010559215715656461","0,023837878899262418","0,08435464575302407","0,01904011704358666","0,0041096894265441435","0,001922571867040043","0,009207768587583173","0,020405046435401034","0,020666548028985505","0,10859065949747138","0,006637542165152983","0,0008015114215377569","0,039476931138794275","0,004707598849926612","0,0004852636426433341","0,013509893516211418","0,0005816228491571317","0,006989164773386214","0,005927275304791608","0,0","0,0","0,0","0,03220740352242543","0,002659170945562858","0,010481328607259473","0,03178900997504211","0,00010617589807113785","0,0","0,04918092324629137","0,007688142239048135","0,0011393171218001211","0,0002114506760202495","0,022547024606052915","0,0"
2006,"0,0","0,046357605715919036","0,0","0,021156531400455005","0,0","3,3316445835949394e-05","0,012927668909120095","0,02953493462171386","0,07932568000827386","0,021693820196470787","0,00445335114673792","0,0017726503160870443","0,00948999001053683","0,022746245199583383","0,022793429783849004","0,11539423559164684","0,006672717005110252","0,0006135653726015172","0,029362141828820878","0,004445028964001575","0,00020090634441087614","0,014480224048844607","0,002125246802300627","0,007793828286221625","0,005754561427219894","0,0","0,0","0,0","0,029208301466431684","0,003177983454828405","0,013304936773892767","0,031628295689283714","7,621867725592222e-05","0,0","0,05435897023780525","0,0072732370209116675","0,013772959889349932","0,00033126045030806937","0,023139880808005643","0,0"
2007,"0,0","0,05782746191620017","0,0","0,025485495547797228","0,0","0,0002950053560819347","0,016690952675259933","0,03827352740949877","0,08090496794036386","0,024543714100020368","0,003373080859774821","0,002743566039423851","0,009787399314409227","0,02590517532263293","0,025611329675232324","0,10612648984030192","0,007394040837147587","0,0003795622021114503","0,03554323487916989","0,005826464328975227","6,2119061534608e-05","0,014829707517140548","0,004522152421887916","0,008753022220918588","0,005343971174880969","0,0","0,0","0,0","0,031573297277925294","0,00306140253477785","0,016658167586051823","0,0343255864506281","0,0006041320510883977","0,0","0,06440184642071903","0,007409245678365636","0,016004321842185233","0,0004996947368421053","0,02341997532036391","0,0"
2008,"0,0","0,05941804640155013","0,0","0,03384422653883007","0,00039613406613204724","0,002272141069638958","0,02017485311725559","0,04373956377386931","0,0824512095820966","0,02729327754248844","0,0038006224066390037","0,0027924990879241154","0,010850426253338178","0,02888713103332503","0,028334502175246412","0,11534563877433372","0,007620348547450361","0,0011227883464147931","0,04413014478237115","0,006880761898989485","2,8177567255723566e-05","0,016692367018216553","0,005556507679870656","0,009850494476493058","0,005745445214267385","0,0","0,0","0,0","0,038125831624838936","0,003117466449936002","0,023488823834457436","0,03375485885367405","0,00039337484351321077","0,0","0,06915879527782035","0,019480743243243243","0,01765650080256822","0,0007183532321982987","0,02416865749166789","0,0"
2009,"0,0","0,06314403160091513","0,0","0,040801457298427886","0,0001986033158758103","0,005084762012505777","0,027188132005842223","0,050515376685184195","0,0903940953781627","0,03032069981515683","0,035298386186660646","0,0033236889140098686","0,01229186122319525","0,032913167368822126","0,032397217536080825","0,10378570240273784","0,008177903709310395","0,0013589754754155462","0,05636846044277057","0,00875925664415854","3,14244980396816e-05","0,01832888529155215","0,008717957475877381","0,011901208326172719","0,006628270801605981","0,0","0,0","0,0","0,05091451485048321","0,001860350762170136","0,03507259654348843","0,0384716574730604","0,00019007552539813195","0,0","0,07916330574073656","0,014109112709832134","0,019720171862950314","0,001296648770082132","0,028503375256513336","0,0"
2010,"0,0","0,06324314350737446","0,0","0,04303462451262926","0,0009385597466562529","0,006599628193136642","0,030732906414575253","0,053317349778538484","0,12174525152150849","0,033050128319524245","0,07621112255406798","0,003012382477446768","0,013845448244231638","0,035972346351753115","0,03553446598741649","0,12036428845626544","0,008320176270081652","0,0017606680913882507","0,05395054738523705","0,010975637001373979","0,0","0,0185507893005251","0,013364985433357613","0,011534891882665994","0,008679215146916303","0,0","0,0","0,0","0,05726164939161784","0,0026306129940046495","0,04047643737026463","0,0464457051118372","0,001893738719451444","0,0","0,07980109352059153","0,015342955308567599","0,023223995790212244","0,0015819877016071547","0,03213535689296862","0,0"
2011,"0,0","0,0645351255954832","0,0","0,04888610719708141","0,001417643057078058","0,010469405035132653","0,03876942707205431","0,060491982012135515","0,11969828834764572","0,03717085051375472","0,08370303290108241","0,0033141305044548427","0,01614694455246443","0,03966488510569236","0,0392350683889468","0,12872864126017425","0,009837794629330255","0,00294824203357773","0,043575664525807516","0,012151895035687808","0,0","0,02348548574528126","0,01438179335457442","0,01303917600720935","0,016104131676000995","0,0","0,0","0,0022533272143184947","0,05726463608880798","0,0027518244027566947","0,04813601706784971","0,05348569517966197","0,0032730856920925467","0,0","0,08062915064662705","0,017310937867875995","0,02822677925211098","0,001488645442545505","0,03585772529149827","0,0"
2012,"0,0","0,06542517821848191","0,0","0,05519050427602477","0,0017221861327742273","0,010561534255821946","0,048467015061618844","0,07139533105747592","0,12379197800388261","0,04136596616098759","0,10289945512491004","0,003265777863034721","0,01760255779983943","0,04430860576992441","0,043766943428442076","0,12748262477946615","0,010045349346580022","0,005209995450560913","0,038843880568987375","0,016068520156485865","0,0","0,0275128156023962","0,01952054180121995","0,013691910673357831","0,03662227452695094","0,0","0,0","0,0038779424585876202","0,05986068062768711","0,0025317635363921592","0,0635363309471365","0,05521262818344988","0,003586303950801146","0,00016411177904909096","0,08299628222412878","0,018421975088808547","0,03276348316562794","0,0024422760336511684","0,03952726499112452","0,0"
2013,"0,0","0,06534015555322589","0,0","0,05291477495533963","0,0030320474822549508","0,011389824819440833","0,05874759292484834","0,07528569645012277","0,12037743989463179","0,04464813417590756","0,0686487044492619","0,0036678869849663563","0,02111009187534373","0,0465878373479168","0,04685526758234604","0,138100998022352","0,010476205092812382","0,007055293926143794","0,043443076996039935","0,017466502474883416","0,0","0,040395393502177177","0,03195116487455198","0,013866410526173255","0,06627403817234204","0,0","0,0","0,00261750333185251","0,04967477015485834","0,0030815441960360137","0,05405309566112224","0,057231471230741945","0,004445256726487052","0,000545137573715609","0,07922153401121824","0,01789086953904483","0,031847579094563885","0,003566456672457745","0,048945406566554946","0,0"
