geo,year,siec,unit,GEP_NPUMP_MIX,GEP_RED,GFC_ELC,NMLPRD_MIX,NMLPRD_PURE
AL,2004,E7000,GWH,"0,0",,,"0,0","4256,8"
AL,2004,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2004,R5292P,GWH,,"0,0",,,
AL,2004,R5292SB,GWH,,"0,0",,,
AL,2004,R5292SP,GWH,,"0,0",,,
AL,2004,R5293SB,GWH,,"0,0",,,
AL,2004,R5293SP,GWH,,"0,0",,,
AL,2004,R5300,GWH,,"0,0",,,
AL,2004,R5300B,GWH,,"0,0",,,
AL,2004,RA000,GWH,,"4256,8",,,
AL,2004,RA100,GWH,,"4256,8",,,
AL,2004,RA200,GWH,,"0,0",,,
AL,2004,RA300,GWH,,"0,0",,,
AL,2004,RA410,GWH,,"0,0",,,
AL,2004,RA420,GWH,,"0,0",,,
AL,2004,RA500,GWH,,"0,0",,,
AL,2004,TOTAL,GWH,,,"6083,0",,
AL,2004,W6210,GWH,,"0,0",,,
AL,2005,E7000,GWH,"0,0",,,"0,0","4425,133"
AL,2005,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2005,R5292P,GWH,,"0,0",,,
AL,2005,R5292SB,GWH,,"0,0",,,
AL,2005,R5292SP,GWH,,"0,0",,,
AL,2005,R5293SB,GWH,,"0,0",,,
AL,2005,R5293SP,GWH,,"0,0",,,
AL,2005,R5300,GWH,,"0,0",,,
AL,2005,R5300B,GWH,,"0,0",,,
AL,2005,RA000,GWH,,"4425,133",,,
AL,2005,RA100,GWH,,"4425,133",,,
AL,2005,RA200,GWH,,"0,0",,,
AL,2005,RA300,GWH,,"0,0",,,
AL,2005,RA410,GWH,,"0,0",,,
AL,2005,RA420,GWH,,"0,0",,,
AL,2005,RA500,GWH,,"0,0",,,
AL,2005,TOTAL,GWH,,,"5814,0",,
AL,2005,W6210,GWH,,"0,0",,,
AL,2006,E7000,GWH,"0,0",,,"0,0","4552,667"
AL,2006,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2006,R5292P,GWH,,"0,0",,,
AL,2006,R5292SB,GWH,,"0,0",,,
AL,2006,R5292SP,GWH,,"0,0",,,
AL,2006,R5293SB,GWH,,"0,0",,,
AL,2006,R5293SP,GWH,,"0,0",,,
AL,2006,R5300,GWH,,"0,0",,,
AL,2006,R5300B,GWH,,"0,0",,,
AL,2006,RA000,GWH,,"4552,667",,,
AL,2006,RA100,GWH,,"4552,667",,,
AL,2006,RA200,GWH,,"0,0",,,
AL,2006,RA300,GWH,,"0,0",,,
AL,2006,RA410,GWH,,"0,0",,,
AL,2006,RA420,GWH,,"0,0",,,
AL,2006,RA500,GWH,,"0,0",,,
AL,2006,TOTAL,GWH,,,"6135,0",,
AL,2006,W6210,GWH,,"0,0",,,
AL,2007,E7000,GWH,"0,0",,,"0,0","4529,437"
AL,2007,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2007,R5292P,GWH,,"0,0",,,
AL,2007,R5292SB,GWH,,"0,0",,,
AL,2007,R5292SP,GWH,,"0,0",,,
AL,2007,R5293SB,GWH,,"0,0",,,
AL,2007,R5293SP,GWH,,"0,0",,,
AL,2007,R5300,GWH,,"0,0",,,
AL,2007,R5300B,GWH,,"0,0",,,
AL,2007,RA000,GWH,,"4529,437",,,
AL,2007,RA100,GWH,,"4529,437",,,
AL,2007,RA200,GWH,,"0,0",,,
AL,2007,RA300,GWH,,"0,0",,,
AL,2007,RA410,GWH,,"0,0",,,
AL,2007,RA420,GWH,,"0,0",,,
AL,2007,RA500,GWH,,"0,0",,,
