year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","3268,7028","0,0","6060,470400000001","0,0","0,0","628,8048","6650,099999999999","6709,3272","18,0","1226,4264","0,0","0,0","0,0","0,0","909,8892000000001","3,168","1,8792000000000002","0,0","0,0","0,0","0,0","0,0","0,0","48,754799999999996","0,0","0,0","0,0","540,8748","0,0","3,6","0,0","59,22720000000001","0,0"
2005,"0,0","265,5612","0,0","0,0","0,0","0,0","0,0","6581,3436","0,0","10604,980800000001","0,0","0,0","926,3124000000001","11391,584400000002","11639,142","0,0","2128,1616","0,0","9,288","3,9527999999999994","0,0","636,2855999999999","11,844000000000001","1,9476000000000002","9,360000000000001","0,0","0,0","0,0","0,0","0,0","178,79039999999998","0,0","0,0","0,0","598,5252","0,0","40,212","0,0","247,554","0,0"
2006,"0,0","921,8267999999999","0,0","0,0","19,5408","0,0","0,0","12037,3164","13,7736","17531,4312","0,0","161,28","615,9924000000001","18772,189199999997","19421,1756","3,6","2560,2048","0,0","39,4668","9,5832","0,0","572,6556","69,48","1,8396000000000001","8,64","0,0","0,0","0,0","151,84439999999998","18,6768","326,13120000000004","257,8608","0,0","0,0","841,842","14,688","144,61200000000002","0,0","648,9864","0,0"
2007,"0,0","1159,542","0,0","0,0","8,3628","0,0","0,0","13664,059200000002","20,6604","24422,7276","0,0","297,36","1374,894","26025,850799999997","27282,078","7,2","5157,612","10,512","103,8708","77,5512","0,756","502,6644","191,34","161,46","6,12","0,0","0,0","0,0","1120,4352000000001","108,29880000000001","348,1164","438,7536","0,0","0,0","1111,6008000000002","49,568400000000004","214,16400000000002","0,0","1256,2235999999998","0,0"
2008,"0,0","1422,7523999999999","0,0","0,0","15,048","50,904","395,7876","10697,4216","18,3672","28287,7092","0,0","240,48","2204,9856","32224,885200000008","35123,799600000006","285,84000000000003","8335,6704","5,724","589,4244","200,0448","1,116","2623,0428","221,148","161,6112","7,2","0,0","0,0","0,0","1035,9612","292,0932","1573,416","452,0376","0,0","0,0","1339,4052000000001","88,4448","260,17199999999997","0,0","2898,918","0,0"
2009,"0,0","1840,0140000000001","0,0","475,2828","13,4892","54,0828","701,2044000000001","9478,256399999998","31,2624","32590,972799999996","0,0","272,15999999999997","3817,5408000000007","37680,044400000006","41237,4276","522,144","8879,9256","25,488","605,3328","278,6976","1,368","4118,8212","185,544","151,866","14,76","0,0","0,0","0,0","1341,8352","341,604","2289,1968","749,142","0,0","0,0","1423,1015999999997","106,8732","304,02000000000004","0,0","3557,3868","0,0"
2010,"0,0","1783,5227999999997","0,0","1289,0736","48,272400000000005","54,0828","832,5035999999999","10432,080000000002","96,42240000000001","36643,1688","0,0","446,04","5111,6076","42927,426","47068,628399999994","511,4988","8719,1532","10,332","626,5692","333,3384","1,9080000000000001","5110,527599999999","161,244","148,4064","97,92","0,0","0,0","0,0","823,4928","415,134","3122,73","1112,868","0,0","0,0","1547,4348","160,5816","347,72400000000005","0,0","4141,202399999999","0,0"
2011,"0,0","1792,0116","0,0","1247,9255999999998","60,336000000000006","57,2652","1080,3960000000002","10241,316000000003","469,7604","37824,9552","0,0","370,08","6123,816","45671,166","49500,3024","706,9104","8750,1888","12,672","593,208","352,0584","4,14","5041,897199999999","162,072","165,0744","80,46","0,0","0,0","6,588","1185,2856","409,6836","3295,926","1055,0736","705,5640000000001","0,0","1628,3556","125,9676","360,972","0,0","3829,1364000000003","0,0"
2012,"0,0","1767,4668000000001","0,0","1242,6372","301,98960000000005","57,2652","990,972","10687,701599999999","815,778","40386,0852","0,0","370,08","7556,5764","48592,0944","51820,405199999994","698,4468000000002","9640,800000000001","132,012","556,2324","305,5212","6,264","4926,394799999999","218,232","170,87400000000002","69,264","0,0","0,0","10,332","1158,1956","469,476","2906,4564","983,8656","641,916","0,0","1860,6527999999998","183,49560000000002","338,94000000000005","0,0","3228,3072","0,0"
2013,"0,0","1808,2548000000002","0,0","1233,3636000000001","365,5548","54,0828","997,5924000000001","9752,1192","815,778","34949,1852","0,0","436,68000000000006","3198,798","43331,853599999995","47102,806800000006","808,8912","9676,800000000001","114,33600000000001","512,3808","368,08200000000005","13,608","4508,2224","211,32000000000002","192,69","67,46400000000001","0,0","0,0","11,34","1103,7384","456,9408","2691,1116","940,9967999999999","732,42","0,0","2153,4984","208,7532","367,596","0,0","3770,9532000000004","0,0"
