year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"838,8648000000001","9313,9308","655,4592","2114,8704","2552,1912","16,164","5978,4192","28009,6308","5666,3784000000005","141415,22880000004","2045,8296000000003","3314,8727999999996","12429,7488","211019,3568","212755,7268","20807,395200000003","32633,359199999995","4277,3004","2264,4864000000002","526,5684","2,4084000000000003","9279,363599999999","2874,204","77,34960000000001","3957,3504","0,0","610,4916","0,0","2262,816","4034,0556000000006","14168,278800000002","8926,8264","11081,8548","2889,0791999999997","23615,2188","1582,9740000000002","1241,9604000000002","19910,833199999997","1736,3736","778,6764000000001"
2005,"828,1152000000001","10695,1356","654,2568","2429,4924","2488,7340000000004","8,254800000000001","6208,509600000001","29268,9612","6243,0768","148955,958","1941,6995999999997","3464,2295999999997","12467,5812","222895,512","224609,2704","19516,9392","31762,857599999992","4475,062800000001","3934,1376","657,0216","2,4084000000000003","15347,1204","2912,382","152,1216","4008,4272","515,4768","743,2488","0,0","2391,9156","4309,973999999999","13881,942","9018,745200000001","11461,219200000001","2889,0791999999997","25246,8612","1616,3388","1296,7308","19166,0364","1713,7584","778,6764000000001"
2006,"828,1152000000001","11479,1508","653,3964000000001","2566,2960000000007","2649,4416","12,0384","6407,308799999999","32898,6252","6526,5732","155859,98039999997","1778,4180000000001","3374,118","13512,380400000002","231601,67639999997","233462,98440000002","21754,6884","28172,3112","4162,77","4299,228","672,1128","2,4084000000000003","18110,573999999997","3010,8312000000005","155,58839999999998","4030,0956","526,7412","744,7104","0,0","2587,0896000000002","4154,3423999999995","14169,045600000001","9077,7312","11164,402800000002","2888,4779999999996","26362,940400000003","1545,9156","1122,0156","18453,740400000002","1861,3080000000004","778,6764000000001"
2007,"773,946","12243,1536","652,3632000000001","2913,6780000000003","2431,6416","21,3228","6653,052","35790,1956","7259,76","167277,0816","2053,2203999999997","3626,8272","13654,7712","245178,2016","247269,52080000003","21476,4444","28566,2232","4026,1392000000005","4601,203200000001","667,2744","1,7207999999999999","24363,111600000004","2938,3487999999998","176,9184","3936,3696","549,0972","690,1128","0,0","2650,6872","4041,1044","14112,637199999997","9224,4204","11641,446","2887,0164","27175,2372","1501,1208000000004","1472,9976000000001","17952,7104","2091,3156000000004","778,7628"
2008,"774,2916","12625,8444","648,1512","3407,994","2701,9764","36,0288","6844,8816","39112,38","7486,156800000002","177172,64640000003","2202,2352000000005","3211,866","13156,6644","257326,21800000002","261707,81040000002","21704,3028","30077,845200000003","4011,5231999999996","3910,8347999999996","628,65","1,4616000000000002","29094,580800000003","3097,9332000000004","187,8912","3721,5791999999997","548,8380000000001","690,1992","0,0","2781,1332","4185,7236","14442,991200000002","9200,3436","13667,497200000002","2895,2711999999997","27087,699600000004","1488,3048000000001","1437,0588","17132,673600000002","4381,6032","839,2104"
2009,"755,9748","12885,2496","647,4636","3698,4528","2663,8848000000003","76,3524","7209,716399999999","37969,21800000001","7633,0188","177230,7648","2319,8652","2873,7756","13450,6476","260462,92320000002","265159,2204","19625,0184","31730,162399999997","4153,5684","5579,28","665,9172","1,1196","28297,933200000003","3142,7352","177,71040000000002","4273,0884","574,2036","705,4164000000001","0,0","2946,096","4094,1540000000005","14973,001200000002","9150,1272","13520,462399999999","3798,7956","27499,226400000003","2099,3148","1849,1004","16489,936800000003","4696,3008","844,9704000000002"
2010,"738,0035999999999","14507,416799999997","645,3108000000001","4197,5028","3189,168","62,9388","7553,390399999999","46081,602","8666,712000000001","191391,6492","2493,81","2970,0756","13337,575200000001","282620,26800000004","288469,3644","22662,4212","35206,1748","4456,6632","6385,896000000001","702,2304000000001","1,2024","27252,363600000004","3157,6104","193,1076","3667,5828","579,6216000000001","694,6704000000001","2,664","3056,3172000000004","4847,5476","16589,771999999997","7743,1644","14200,0848","3695,7852","30186,93600000001","2164,4064000000003","1932,6744","15984,435600000004","5849,096400000001","850,8168"
2011,"748,8396","14139,658800000001","644,2812","4065,0048000000006","3408,516","74,37599999999999","7783,405200000001","43215,04800000001","8338,910400000002","175771,61280000003","2400,8616","3770,938800000001","13843,767600000001","265621,4352","271113,2712","21835,3392","29832,872400000007","4333,878000000001","7298,3628","664,8516","0,0","19700,344800000003","3128,7168","170,11079999999998","3797,8451999999997","622,8720000000001","749,9556","5,760000000000001","3204,5256","4729,8312000000005","17568,874799999998","7781,9436","12534,8256","3679,452","28583,0568","2151,3312000000005","1988,3052","12743,766","5491,828799999999","871,0236"
2012,"743,4215999999999","14788,133999999998","643,7664000000001","4576,7016","3627,6875999999997","66,7224","8229,4056","48070,6812","8444,826","194398,42319999996","2367,8424","4133,3616","14057,693999999998","288609,2856","294964,0596","23427,7704","34059,3048","4370,2488","7777,900799999999","668,9196000000001","0,0","26821,494","3364,92","174,816","4261,478400000001","630,8675999999999","816,768","7,9091999999999985","3279,1356","4398,4548","18060,447600000003","6324,076800000001","13197,5892","3688,4772000000003","30502,749599999996","2077,7291999999998","1869,732","12520,292400000002","6354,773999999999","890,9712000000001"
2013,"725,364","15175,015200000002","641,9591999999999","5015,2212","3696,822","65,8656","8908,5132","49886,586","8674,2972","201114,702","2408,2524","3381,9444","13930,7796","295996,8168000001","304130,26440000004","23652,36","37399,388399999996","4333,1904","8219,088","715,0500000000001","37,9116","27762,339600000003","3420,81","186,5484","4186,6704","600,7752","801,6336","5,9328","3432,8484","4070,591999999999","18788,6448","6616,3392","12692,6064","3706,0199999999995","29568,959999999995","2169,3923999999997","1703,3508000000006","11942,132399999999","8133,4476","891,5724000000001"
