year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,331380314189127","0,2016515487630193","0,18841206602162777","0,028445032984771277","0,1405600941533724","0,09263889995940469","0,09920194824393101","0,07197999933125636","0,20617334304623133","0,10145540953385632","0,3325809160685076","0,13465191177600352","0,09523620562707356","0,11701574900810528","0,10423628954563031","0,39549117327592975","0,1253190682768068","0,29430647756060574","0,06449676490469584","0,0284266214237316","0,5234317461489582","0,05713232431561753","0,30445576306070066","0,018288428160820613","0,4248781254671326",,"0,23307868236547435","0,010349222533775173","0,021777599162326855","0,2559682945105642","0,10206572122995018","0,32504259882316283","0,1733695754875815","0,14027453902505485","0,4662992352523578","0,18361409700606904","0,05062377158659433","0,1763375095814129","0,007281228741682587","0,5185708673112488"
2005,"0,37756715600475194","0,22861821422518191","0,16536714840895833","0,03414518742404031","0,14256643800524502","0,09969823992861086","0,10840098020145292","0,07710273347834368","0,22778670849096613","0,1075219817575935","0,32195642000305624","0,13384372091840088","0,09392370655610027","0,12446964618730698","0,11127179674794827","0,39158664106839625","0,12362046495980661","0,30027674280014927","0,09935155294994559","0,03442556931858303","0,537252844145508","0,08222908187351581","0,2932319383387321","0,03619331289338481","0,42679140724770387","0,5389551974766351","0,24681377995779957","0,010269350390235313","0,023787111712897872","0,28908996378223417","0,10160790312180941","0,32086399256108206","0,17927957939579667","0,1556267465108567","0,5073923695144011","0,1891423942289586","0,05031043449845813","0,17018246178806526","0,007512114584434786","0,4948993356104565"
2006,"0,3096390953593786","0,24558688615592983","0,18057409946255282","0,03712023363867803","0,14790224705700697","0,10434253129077464","0,11237092261061973","0,08409677649294299","0,2374038659944039","0,1154366135172819","0,30689354194428137","0,13095278422782905","0,11352785904488188","0,13211316309999574","0,11850181361144797","0,4145251081866143","0,1169818152651648","0,2909771375641637","0,1138033664182956","0,034916445571571225","0,5719410487130158","0,10093516974096399","0,2923069301265618","0,03638515542295818","0,42594482419832813","0,5208474980510536","0,2491724973011833","0,013627720261990281","0,026997446866952043","0,2852552219328313","0,10168197458913025","0,3421185475870848","0,1758205303818197","0,1575848956697665","0,5418115235387126","0,18524169537470567","0,04451442142154193","0,1520955523752478","0,008545972557029624","0,48925731151423657"
2007,"0,3314977627110519","0,2720855751938237","0,16834473827471075","0,04554725584992046","0,13862458183303963","0,130738698299526","0,12369171131839374","0,10248638306883044","0,26845663120030344","0,13162687348183197","0,32717107787938254","0,14675425854934165","0,11228898711943372","0,14804476653668022","0,1326597805603229","0,4147116191054647","0,12787236209526454","0,29164362627502677","0,13543690422567917","0,03761900871558694","0,5851332545515645","0,13334427085969358","0,29095966689595265","0,04367034416933356","0,42362950943691347","0,5012389089714099","0,22491288573568388","0,015066345455240717","0,029139193866506277","0,2940192677599781","0,10459734401861381","0,35019496935330735","0,19465150516688187","0,13188617598416627","0,561511846227236","0,20389804144395157","0,06232454865930562","0,14604136610604843","0,010000297971814232","0,49214326466503466"
2008,"0,37055736542488077","0,27326574772552675","0,1410327613177847","0,050177816287008306","0,17262248241239644","0,1447125047194457","0,12920515874389826","0,10329546659105215","0,2803612794598809","0,13631560312286314","0,35475619254070906","0,1471848464089752","0,11617617725244439","0,15329303507651193","0,1387630715043577","0,43301929523806454","0,13280139708255098","0,2864036823139034","0,11970342940797156","0,034859446302677434","0,6195957494393388","0,1531115491241587","0,31993767043241134","0,045937321415139926","0,42936870352167295","0,46810712224119083","0,24641752539179085","0,01696530333887633","0,030243464380766555","0,3102579399185027","0,10849332690281724","0,37508992080331227","0,23166555367098796","0,16729800507244433","0,5759188835990868","0,19232188089495098","0,06097416630768319","0,15039120804557593","0,024222020509262254","0,47794417371818115"
2009,"0,3472980078097449","0,29584295610263306","0,17008827328971685","0,05940264149370098","0,21638890308104786","0,17316445243724035","0,14262478199626816","0,11152957647542797","0,29504667322320177","0,14905505623756363","0,4179458193159995","0,17247406908523177","0,13271049810672184","0,16825300877973556","0,15307808073569049","0,4311645034363001","0,15040110702953888","0,3116358789406034","0,17018588832675757","0,04127846089455102","0,6209120533211774","0,16430745013613762","0,33721510160635243","0,04667918415433326","0,4788712817355822","0,6253396219757472","0,29207409604874324","0,02009453713496363","0,0337034788387254","0,3199770246984492","0,11542075261984784","0,3799499041872562","0,26433433831689646","0,26503290866825774","0,6129085198399531","0,2756441565420194","0,08177642542298788","0,15353305075995555","0,028942726733656336","0,4776076619223521"
2010,"0,31256579054210676","0,3094446205477633","0,14872160351912683","0,060502927860814744","0,2433355332791847","0,18844428424394288","0,14096902263922706","0,12053786142943447","0,30446552280168826","0,15056140270624374","0,4325948823630431","0,18657566531997016","0,12557042346411942","0,1702593072288701","0,15490554263082945","0,44196108237827425","0,16162501270067264","0,32795090009770583","0,18077301824606967","0,043076627950212","0,6387814962265236","0,15642057476998628","0,3253613365296179","0,0474732084774198","0,4074476995465604","0,7663850346288407","0,2650352090130893","0,07281798874018137","0,030998800280652907","0,33108773909124145","0,11733678713777208","0,3387131065914798","0,27227105360191906","0,23195957625194716","0,5911774651529391","0,28144297169604565","0,07898368494979717","0,14388306329614237","0,0319912924468876","0,4554909711218374"
2011,"0,31427206298888194","0,31535110181072523","0,14017300067828045","0,06608946862781864","0,24768413012850066","0,20016640477314418","0,15387439183486168","0,12570151961560225","0,32051853538043135","0,1540278734195954","0,4397637775251697","0,20111389352130085","0,13586311246072327","0,17527891433493506","0,16107627487217874","0,4594491678120457","0,159358738287493","0,3372637586962607","0,2004282391055111","0,0472278652949272","0,6514385366291394","0,13818418326148207","0,3279017648180084","0,04811089185156664","0,4471006589324947","0,8143832695128865","0,2733837084445863","0,1202680067001675","0,036879412785888493","0,33667459397532695","0,13138001093338275","0,35234638406247276","0,2430583873918797","0,21088832671947508","0,6014925057928232","0,3028721921937393","0,09257733043561873","0,12008827437438388","0,036731785633574515","0,4468301790715437"
2012,"0,3909963641573979","0,32960878605698335","0,14523127900885646","0,07277873680560747","0,2724101976606966","0,21835918781535107","0,16251618925219527","0,13416260268493918","0,33277331204880345","0,1659522702675466","0,43003490875070194","0,24121834904371312","0,14087247637219247","0,18714733907280495","0,17117678150177723","0,4838722806010465","0,17224090357451954","0,36467054833070184","0,23313404451232847","0,04806590956375288","0,6451969866783946","0,1698352343477247","0,3453749291616647","0,05035392265048949","0,4726460557296086","0,7985306929974226","0,29594743676596363","0,13396694214876034","0,03768514509311835","0,32723257222974855","0,1337206497217134","0,33166276737878997","0,257445031890101","0,23204989132053536","0,6274441135967909","0,3145703704156903","0,08803276139857819","0,12127196814981393","0,03894329322100415","0,49341102948058957"
2013,"0,377659197904499","0,33433518981205457","0,14382755082946722","0,07377839593103605","0,2923435732303369","0,22617296316003632","0,1771185256544941","0,13408255165179422","0,3479647658162597","0,16993310183393823","0,4300060905130798","0,27417540695412","0,14086184999998982","0,19128510017708397","0,17547272768244354","0,5077452747313658","0,1816216807940501","0,3721727352699432","0,23698907133688904","0,051333024266524634","0,5938874360823577","0,18092221005683207","0,3687520993736457","0,05471674224270929","0,4965047779114919","0,6863079883716171","0,31762505921331574","0,1539925219219459","0,04002084296975084","0,325308880995163","0,1410251792554037","0,34625716190299943","0,2619510628088634","0,25145066805098654","0,6354590965800402","0,33399898655586885","0,07875194473127076","0,12642745601008515","0,047179433693159814","0,4824312045311712"
