year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,30628646585523917","0,23501053980897543","0,20545807735614208","0,019929208326721005","0,09774359391148467","0,03220512382426074","0,06842440943102457","0,06422134138992242","0,1569948450520849","0,08733986387221497","0,18370815240895746","0,07687282497311562","0,0880444983687289","0,09976556534985148","0,08879837671504151","0,2980903358705445","0,0977030608252228","0,23654403925799958","0,04426153830900757","0,025198353836334852","0,6182620209177452","0,06599493991670856","0,1782616274789377","0,009806814368979644","0,3343225603633146",,"0,1581190294302922","0,0010749394216550085","0,022013101425128204","0,6008476806276837","0,07084552364309885","0,20067483291604132","0,1668910625311792","0,12672944358811167","0,3932368452452366","0,16204716405452255","0,06768683973613139","0,17073198269226078","0,010006326183318733","0,2064954061852663"
2005,"0,32735748428815703","0,2529172961416935","0,20057302627034646","0,02448014204922805","0,09846093158505015","0,032843461015187966","0,07186267323884173","0,07431765697042217","0,1691974681309916","0,09348473724365111","0,17519468550825915","0,07762915847802508","0,08918052678478308","0,10623701803334025","0,0949043861556881","0,2938364977014223","0,09868265274622139","0,23989899007127197","0,06982773537832117","0,03006717384669682","0,6331030853004281","0,078690994332786","0,1745555698519409","0,015192134994832211","0,3297097153392495","0,3645344861683146","0,16602211604462172","0,0012963816620991512","0,026826623509897733","0,6127657092004556","0,07104000534462528","0,2044711194356399","0,17344252635029173","0,14210815109494523","0,4146756501301107","0,1608452170071156","0,06690545533356995","0,16444116407855724","0,012238163595438853","0,19862628263129187"
2006,"0,3304143071143801","0,2734532252961514","0,1941689288479493","0,02751612417234592","0,10111102046792031","0,03423226896509033","0,0743412654058895","0,08781751918596971","0,17262982440282923","0,10082846605941871","0,16056800330368456","0,07996705415356485","0,09691684207028099","0,11270957412878364","0,1010788338980026","0,3066426607255502","0,09662990624474141","0,23018872237119617","0,07483189739439414","0,032527169166654005","0,6415887783741244","0,08696851539682601","0,17628435404057036","0,015944529903783946","0,31880128829900206","0,35606469471811897","0,16709603540769094","0,0015804136285259083","0,029980337690326594","0,6206794920017472","0,07119949260783581","0,21809924442343165","0,16921979974819865","0,1449235977442131","0,43259592414040604","0,15676898237305703","0,06822229618562281","0,1481717201973512","0,014600986652460384","0,1961497367534508"
2007,"0,3312615169937346","0,2929136114461769","0,1879787836256999","0,03250252934797711","0,0972944569201777","0,04198074451820412","0,07979580923002076","0,10453269264015128","0,1878553962902945","0,11229893144463382","0,17200551756935173","0,08833875433603632","0,10248987273608905","0,12352123908712012","0,11092217311146324","0,3021019085352614","0,10600672993086101","0,2255920113332335","0,08608784650831057","0,037003680434380175","0,754432904594692","0,10245177421492856","0,17225230870808092","0,029324213536344703","0,3036696718206929","0,33579156454402775","0,15262650195508007","0,0018706788136206092","0,035469756904557656","0,6193024367708767","0,07171720187318416","0,23174119373013172","0,18062975837415313","0,14290538130733407","0,44731813157250194","0,15719972671440802","0,08080524594472802","0,14058150085116752","0,01744234228683806","0,18941779306967377"
2008,"0,3268623463648612","0,299733334891696","0,1668022685222726","0,03758762842774694","0,1111930050563212","0,053778277393081615","0,08772231366850089","0,10492539037639834","0,19608997576747206","0,11945954311983223","0,18847035808713578","0,08773819045148407","0,11417546682213203","0,13075973501076124","0,11871003569658746","0,3207752133372472","0,11537405501725738","0,22496916943936526","0,08628590172685996","0,04199101946651221","0,7050005179880083","0,11991864814234704","0,18515644177843701","0,030232862669564806","0,30696560303799686","0,3301419750526093","0,15879177505917044","0,002067215386814684","0,03865016528307076","0,636112042972736","0,07987851727157498","0,2430024752536298","0,20037623011708133","0,16382140003820977","0,45633114779126666","0,1510597057594418","0,08109934064171105","0,1443182118800346","0,028959056510727967","0,186269886102242"
2009,"0,3193896252334485","0,3207993526208575","0,1837648453521055","0,04922944819653492","0,12828121222084077","0,062061903741459264","0,10083473969271912","0,1132444242818762","0,20994507579837798","0,13185005626941876","0,22941864815032398","0,09438925074111597","0,13737027677557662","0,14428708801912019","0,13164901666515821","0,32000256187464754","0,1256512027346675","0,2409810095925269","0,11759882851835428","0,0545419592376901","0,7205271372698814","0,1332668025006506","0,20385986495153002","0,03158656759380188","0,35351029648809945","0,3956556387901592","0,17585024820338388","0,0023266132962645146","0,04591724597302707","0,6621391041349554","0,08931697796713871","0,25819015646217147","0,22078019861644527","0,21858427605508063","0,48810829920591314","0,2025234743163029","0,09712402123107754","0,1509570313530154","0,03588329644373533","0,18657724861236136"
2010,"0,32328920720386783","0,32223901527954146","0,18618752958667395","0,058853629425554235","0,14887166450685355","0,06470795275724203","0,10612148666117995","0,12142068216926204","0,2299707079451845","0,13706275535122883","0,24497273631250951","0,10754822427791065","0,1465495292787716","0,14981335054806152","0,13708737323415768","0,33091291850889104","0,13027459667104166","0,25618141538310785","0,1286571989497504","0,060877457645605426","0,7307953132279761","0,13606805021631885","0,20190748690327112","0,03066274639634944","0,3141653544851445","0,4076566004993295","0,16784832760400187","0,010353848616069023","0,0420985448433267","0,6234177676778032","0,09512191095304148","0,25653319269036234","0,2274600106389604","0,20416487689047033","0,4769061148162829","0,20518401306837797","0,09409951831890723","0,14867470371029332","0,04054074339294327","0,18593289985044203"
2011,"0,30568977744541564","0,32712835151703823","0,17923970375189793","0,06590443447217552","0,15150879888456817","0,06631414718930982","0,11061055664447739","0,12968752160141034","0,24705990327978283","0,13799014711825586","0,25365017115630606","0,11904269844215934","0,1412190028074888","0,15210746572499736","0,14026034539212162","0,3361839718346544","0,11479957958998381","0,25940096626132103","0,14127676898235617","0,07104146803952872","0,7472322884792728","0,13521377874347562","0,20517196965165196","0,030889307886033567","0,3474286949453182","0,41270674499255616","0,16625804158791008","0,019497945140311796","0,04859998020807228","0,6552998401598886","0,10577966900373442","0,2623053055502439","0,2117026551455993","0,19715595757160506","0,4930364007543506","0,20357931389335066","0,10795174929678339","0,1355932329035005","0,04638017647265416","0,1792366213597975"
2012,"0,35017066964829713","0,33712658739574075","0,17944922808804836","0,07493006668376624","0,16950343341224647","0,07486418978147966","0,12898610010206824","0,14122324357254726","0,2689680716382484","0,15349433342592753","0,25735614855575134","0,14673767312773117","0,15241851141783413","0,16738470382338957","0,1535561328582558","0,35235693917525596","0,1401400227793006","0,273732064734037","0,1565651673263852","0,07443376676621653","0,7540186402114886","0,16179529383859115","0,22135902378579747","0,03372133681237405","0,371658758586541","0,4237516368989002","0,18414800815899166","0,030201161840003276","0,04990774689527228","0,6607294934515221","0,11205152401381517","0,26281159186589503","0,22742844819903624","0,2140704434682124","0,5126035862157365","0,20923019193539916","0,10688480737859078","0,13952379802636955","0,04738564889979166","0,18992451509813044"
2013,"0,3301594806360198","0,3383351661293101","0,1938935499219421","0,0783948925386885","0,2036131507408829","0,08860186447752598","0,14005132976293766","0,14341586197361808","0,28706198507931613","0,16015444935258022","0,25396438024231816","0,1652969554825252","0,16313827363849848","0,17442062703308187","0,16096409209039683","0,3759750361830539","0,14651500970347242","0,2873801591363365","0,16352886916148976","0,08062529121245932","0,742643102766219","0,17607735636942282","0,23428444939623969","0,037930387217524925","0,38775923059412165","0,44740956781962654","0,1888908436702962","0,03951580278327239","0,05036135333531267","0,6701968320794428","0,11716549621176606","0,2745662306202667","0,23826271809888636","0,21583892863562804","0,5244634763392425","0,22524759204012731","0,1037530859936245","0,1491755832096162","0,058885074378247956","0,1898419372697878"
2014,"0,31511114959950803","0,3471873114666727","0,2495211250177388","0,08408815752405568","0,19480752345786728","0,09611931377996433","0,1517266899272413","0,15015115172978757","0,3116137352261946","0,16902714413364547","0,26236641673783667","0,1704912029098337","0,17166838908560025","0,18280276206756618","0,17003606571050203","0,3966180087016976","0,15247808103902025","0,2858823704164122","0,14726620567586665","0,0910951863159298","0,7411063655893715","0,18062898374563352","0,24367774613584148","0,04832606646638179","0,4035719942824001","0,4580851327920759","0,2005570078162842","0,04988447744777197","0,05795856523200114","0,6922317512685717","0,1187499611723279","0,31477735146831504","0,24814693173205007","0,2341586551279535","0,536406124522248","0,21672625146996272","0,11860416103784034","0,1482967230320357","0,07210605818561988","0,19685838119762553"
2015,"0,34365094299364013","0,348727897690996","0,26710655205567246","0,08393924294371127","0,19669885500802223","0,10403270009143548","0,15198182703135468","0,15536000994978927","0,3262162145181509","0,17301251470853155","0,2830928447052782","0,17104502620701478","0,17300741778134318","0,18697897707654468","0,17570877558849862","0,40228501657693616","0,15725013115343173","0,2972959473296357","0,1462696518806501","0,09655691868250563","0,7382962693594279","0,18584513838695518","0,26548466138693844","0,05402285828860794","0,39253054897000933","0,44150018621259807","0,20122215070295815","0,05379981722946706","0,06068689543393748","0,6878560824180944","0,12144470116178849","0,3253326991673911","0,24828165179558384","0,2229840125716604","0,5510997042988751","0,22035575092912382","0,13084435243811754","0,1495066956016818","0,08911102398757262","0,1863441688829839"
2016,"0,35468649420257803","0,34624243805850163","0,25576803132965803","0,09138554276226774","0,2031557795434709","0,10336401618956693","0,15085279491761355","0,15571714443247586","0,33781728639019615","0,1760668855270546","0,2891134080947644","0,16838726779045868","0,18578659145945023","0,18941684908931525","0,1787590476315885","0,3987595526270313","0,1642101015139565","0,29052428036655525","0,1449917711963489","0,09807967995964771","0,741693629985697","0,18519950513802186","0,2641103151918951","0,05822560687940752","0,3895469577684827","0,4269451173925721","0,18665399598862378","0,0654692473625288","0,06269149542730867","0,6920871692928355","0,11674791072274829","0,3296192683655603","0,2511504944038233","0,21535970408518446","0,558232846254424","0,2142861083371554","0,1226428555888748","0,15077846973641829","0,09601530482297642","0,2467566311699559"
2017,"0,34449818050759584","0,3433116969397942","0,23494643466462012","0,09537083924951321","0,2026580622936883","0,11017374176650505","0,15012793849242262","0,16248288868050662","0,3687093599929385","0,18226606323532413","0,29397773962263196","0,18562879319113554","0,18810234318840127","0,1942853940778853","0,18415734050731575","0,4187824493989163","0,16817915133296313","0,2809983318525516","0,13729817704559985","0,11207122127748585","0,7486982670245074","0,19442192695021307","0,2681124091160694","0,06730696685673161","0,4098095376334613","0,40753777167200006","0,20356424741367482","0,07664943974727688","0,06943844744734923","0,7035556381420263","0,11392941039489458","0,3269010777850827","0,2466895007891033","0,20656151934508585","0,5679827761678743","0,21218779557679518","0,1165531018390196","0,13877334362477128","0,10405891586413255","0,2326954972043475"
2018,"0,34623606040064125","0,3476997902197313","0,3625208042560153","0,09948128013726727","0,22193347504355374","0,14588010832965972","0,15403577670977336","0,17355367274564015","0,37904781013134337","0,18776127358677613","0,3160037372848233","0,19804442046614582","0,18702192947373214","0,199161950223543","0,18994109370185372","0,422771826911099","0,1755728137562523","0,29043663049409546","0,1275503763339583","0,11757565324217256","0,7659964566048417","0,1898782343639916","0,2602952900270741","0,07194344749233139","0,42330050636206074","0,39918553873621293","0,1884750774444356","0,08416487655014376","0,07918193192713993","0,7136143377047495","0,11765483679095944","0,32438033382812387","0,23910710675319863","0,20632719430402677","0,5737676671029356","0,21355642249118614","0,12106874081300775","0,1498714395381198","0,11773862346220455","0,25062032326943756"
