,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
0,AL,2004,R5110-5150_W6000RI,KTOE,,,,"233,018",,"0,0",
1,AL,2004,R5160,KTOE,,,,"0,0",,,
2,AL,2004,R5292,KTOE,,,,"0,0",,,
3,AL,2004,R5292P,KTOE,,,,,,"0,0",
4,AL,2004,R5292S,KTOE,,,,,,,
5,AL,2004,R5292SB,KTOE,,,,,,,
6,AL,2004,R5292SP,KTOE,,,,,,,
7,AL,2004,R5293S,KTOE,,,,,,,
8,AL,2004,R5293SB,KTOE,,,,,,,
9,AL,2004,R5293SP,KTOE,,,,,,,
10,AL,2004,R5300,KTOE,,,,"0,0",,"0,0",
11,AL,2004,R5300B,KTOE,,,,"0,0",,"0,0",
12,AL,2004,R5300B,PC,"0,0","0,0",,,,,
13,AL,2004,R5300B,TJ_GCV,,,"0,0",,,,
14,AL,2004,RA000,KTOE,,,,,"234,37900000000002",,
15,AL,2004,RA200,KTOE,,,,"0,0",,"0,0",
16,AL,2004,RA410,KTOE,,,,"1,361",,"0,0",
17,AL,2004,RA600,KTOE,,,,,,,"0,0"
18,AL,2004,TOTAL,KTOE,,,,,"707,2810000000001",,
19,AL,2004,W6210,KTOE,,,,"0,0",,"0,0",
20,AL,2005,R5110-5150_W6000RI,KTOE,,,,"230,032",,"0,0",
21,AL,2005,R5160,KTOE,,,,"0,0",,,
22,AL,2005,R5292,KTOE,,,,"0,0",,,
23,AL,2005,R5292P,KTOE,,,,,,"0,0",
24,AL,2005,R5292S,KTOE,,,,,,,
25,AL,2005,R5292SB,KTOE,,,,,,,
26,AL,2005,R5292SP,KTOE,,,,,,,
27,AL,2005,R5293S,KTOE,,,,,,,
28,AL,2005,R5293SB,KTOE,,,,,,,
29,AL,2005,R5293SP,KTOE,,,,,,,
30,AL,2005,R5300,KTOE,,,,"0,0",,"0,0",
31,AL,2005,R5300B,KTOE,,,,"0,0",,"0,0",
32,AL,2005,R5300B,PC,"0,0","0,0",,,,,
33,AL,2005,R5300B,TJ_GCV,,,"0,0",,,,
34,AL,2005,RA000,KTOE,,,,,"232,325",,
35,AL,2005,RA200,KTOE,,,,"0,0",,"0,0",
36,AL,2005,RA410,KTOE,,,,"2,293",,"0,0",
37,AL,2005,RA600,KTOE,,,,,,,"0,0"
38,AL,2005,TOTAL,KTOE,,,,,"615,321",,
39,AL,2005,W6210,KTOE,,,,"0,0",,"0,0",
40,AL,2006,R5110-5150_W6000RI,KTOE,,,,"230,032",,"0,0",
41,AL,2006,R5160,KTOE,,,,"0,0",,,
42,AL,2006,R5292,KTOE,,,,"0,0",,,
43,AL,2006,R5292P,KTOE,,,,,,"0,0",
44,AL,2006,R5292S,KTOE,,,,,,,
45,AL,2006,R5292SB,KTOE,,,,,,,
46,AL,2006,R5292SP,KTOE,,,,,,,
47,AL,2006,R5293S,KTOE,,,,,,,
48,AL,2006,R5293SB,KTOE,,,,,,,
49,AL,2006,R5293SP,KTOE,,,,,,,
50,AL,2006,R5300,KTOE,,,,"0,0",,"0,0",
51,AL,2006,R5300B,KTOE,,,,"0,0",,"0,0",
52,AL,2006,R5300B,PC,"0,0","0,0",,,,,
53,AL,2006,R5300B,TJ_GCV,,,"0,0",,,,
54,AL,2006,RA000,KTOE,,,,,"232,325",,
55,AL,2006,RA200,KTOE,,,,"0,0",,"0,0",
56,AL,2006,RA410,KTOE,,,,"2,293",,"0,0",
57,AL,2006,RA600,KTOE,,,,,,,"0,0"
58,AL,2006,TOTAL,KTOE,,,,,"750,309",,
59,AL,2006,W6210,KTOE,,,,"0,0",,"0,0",
60,AL,2007,R5110-5150_W6000RI,KTOE,,,,"214,985",,"0,0",
61,AL,2007,R5160,KTOE,,,,"0,0",,,
62,AL,2007,R5292,KTOE,,,,"0,0",,,
63,AL,2007,R5292P,KTOE,,,,,,"0,0",
64,AL,2007,R5292S,KTOE,,,,,,,
65,AL,2007,R5292SB,KTOE,,,,,,,
66,AL,2007,R5292SP,KTOE,,,,,,,
67,AL,2007,R5293S,KTOE,,,,,,,
68,AL,2007,R5293SB,KTOE,,,,,,,
69,AL,2007,R5293SP,KTOE,,,,,,,
70,AL,2007,R5300,KTOE,,,,"0,0",,"0,0",
71,AL,2007,R5300B,KTOE,,,,"0,0",,"0,0",
