,geo,year,siec,unit,BIOFCON_LIM_TRA,BIOF_FS_SHR,FC_TRA_E_RED,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_MULTI,GFC_TRA_E_NMULTI,LIM_TT,NRG_MNBRFT_E,ST_MS_TRA
0,AL,2004,E7000,KTOE,,,,,,,,,,"0,0",
1,AL,2004,E7100,KTOE,,,,"0,722","0,0","0,0",,,,,
2,AL,2004,E7200,KTOE,,,,"0,31","0,0","0,0",,,,,
3,AL,2004,R5200,KTOE,,,,"0,0","0,0","0,0",,,,,
4,AL,2004,R5200,PC,,,,,,,,,,,
5,AL,2004,R5250S,KTOE,,,"0,0",,,,,,,,
6,AL,2004,R5251S,KTOE,,,"0,0",,,,,,,,
7,AL,2004,R5252S,KTOE,,,,,,,,,,,
8,AL,2004,R5253S,KTOE,,,,,,,,,,,
9,AL,2004,R5254S,KTOE,,,,,,,,,,,
10,AL,2004,R5255S,KTOE,,,,,,,,,,,
11,AL,2004,R5256S,KTOE,,,,,,,,,,,
12,AL,2004,R5257S,KTOE,,,,,,,,,,,
13,AL,2004,R5258S,KTOE,,,,,,,,,,,
14,AL,2004,R5259S,KTOE,,,,,,,,,,,
15,AL,2004,R5260S,KTOE,,,,,,,,,,,
16,AL,2004,R5261S,KTOE,,,,,,,,,,,
17,AL,2004,R5262S,KTOE,,,,,,,,,,,
18,AL,2004,R5263S,KTOE,,,,,,,,,,,
19,AL,2004,R5264S,KTOE,,,,,,,,,,,
20,AL,2004,R5265S,KTOE,,,,,,,,,,,
21,AL,2004,R5266S,KTOE,,,,,,,,,,,
22,AL,2004,R5267S,KTOE,,,,,,,,,,,
23,AL,2004,R5268S,KTOE,,,,,,,,,,,
24,AL,2004,R5269S,KTOE,,,,,,,,,,,
25,AL,2004,R5270S,KTOE,,,,,,,,,,,
26,AL,2004,R5271S,KTOE,,,,,,,,,,,
27,AL,2004,R5272S,KTOE,,,,,,,,,,,
28,AL,2004,R5273S,KTOE,,,,,,,,,,,
29,AL,2004,R5274S,KTOE,,,,,,,,,,,
30,AL,2004,R5275S,KTOE,,,,,,,,,,,
31,AL,2004,R5276S,KTOE,,,,,,,,,,,
32,AL,2004,R5277S,KTOE,,,,,,,,,,,
33,AL,2004,R5278S,KTOE,,,,,,,,,,,
34,AL,2004,R5279S,KTOE,,,,,,,,,,,
35,AL,2004,R5300,KTOE,,,,"0,0","0,0","0,0",,,,,
36,AL,2004,RA000,KTOE,,,,,,,"0,722","0,722",,,"0,0"
37,AL,2004,RHYD,KTOE,,,"0,0",,,,,,,,
38,AL,2004,RSYNF,KTOE,,,"0,0",,,,,,,,
39,AL,2004,TOTAL,KTOE,,,,,,,"732,2819999999999","732,2819999999999",,,
40,AL,2005,E7000,KTOE,,,,,,,,,,"0,0",
41,AL,2005,E7100,KTOE,,,,"0,722","0,0","0,0",,,,,
42,AL,2005,E7200,KTOE,,,,"0,31","0,0","0,0",,,,,
43,AL,2005,R5200,KTOE,,,,"0,0","0,0","0,0",,,,,
44,AL,2005,R5200,PC,,,,,,,,,,,
45,AL,2005,R5250S,KTOE,,,"0,0",,,,,,,,
46,AL,2005,R5251S,KTOE,,,"0,0",,,,,,,,
47,AL,2005,R5252S,KTOE,,,,,,,,,,,
48,AL,2005,R5253S,KTOE,,,,,,,,,,,
49,AL,2005,R5254S,KTOE,,,,,,,,,,,
50,AL,2005,R5255S,KTOE,,,,,,,,,,,
51,AL,2005,R5256S,KTOE,,,,,,,,,,,
52,AL,2005,R5257S,KTOE,,,,,,,,,,,
53,AL,2005,R5258S,KTOE,,,,,,,,,,,
54,AL,2005,R5259S,KTOE,,,,,,,,,,,
55,AL,2005,R5260S,KTOE,,,,,,,,,,,
56,AL,2005,R5261S,KTOE,,,,,,,,,,,
57,AL,2005,R5262S,KTOE,,,,,,,,,,,
58,AL,2005,R5263S,KTOE,,,,,,,,,,,
59,AL,2005,R5264S,KTOE,,,,,,,,,,,
60,AL,2005,R5265S,KTOE,,,,,,,,,,,
61,AL,2005,R5266S,KTOE,,,,,,,,,,,
62,AL,2005,R5267S,KTOE,,,,,,,,,,,
63,AL,2005,R5268S,KTOE,,,,,,,,,,,
64,AL,2005,R5269S,KTOE,,,,,,,,,,,
65,AL,2005,R5270S,KTOE,,,,,,,,,,,
66,AL,2005,R5271S,KTOE,,,,,,,,,,,
67,AL,2005,R5272S,KTOE,,,,,,,,,,,
68,AL,2005,R5273S,KTOE,,,,,,,,,,,
69,AL,2005,R5274S,KTOE,,,,,,,,,,,
70,AL,2005,R5275S,KTOE,,,,,,,,,,,
71,AL,2005,R5276S,KTOE,,,,,,,,,,,
72,AL,2005,R5277S,KTOE,,,,,,,,,,,
73,AL,2005,R5278S,KTOE,,,,,,,,,,,
74,AL,2005,R5279S,KTOE,,,,,,,,,,,
75,AL,2005,R5300,KTOE,,,,"0,0","0,0","0,0",,,,,
76,AL,2005,RA000,KTOE,,,,,,,"0,722","0,722",,,"0,0"
77,AL,2005,RHYD,KTOE,,,"0,0",,,,,,,,
78,AL,2005,RSYNF,KTOE,,,"0,0",,,,,,,,
79,AL,2005,TOTAL,KTOE,,,,,,,"758,985","758,985",,,
80,AL,2006,E7000,KTOE,,,,,,,,,,"0,0",
81,AL,2006,E7100,KTOE,,,,"0,0","0,0","0,0",,,,,
82,AL,2006,E7200,KTOE,,,,"0,0","0,0","0,0",,,,,
83,AL,2006,R5200,KTOE,,,,"0,0","0,0","0,0",,,,,
84,AL,2006,R5200,PC,,,,,,,,,,,
85,AL,2006,R5250S,KTOE,,,"0,0",,,,,,,,
86,AL,2006,R5251S,KTOE,,,"0,0",,,,,,,,
87,AL,2006,R5252S,KTOE,,,,,,,,,,,
88,AL,2006,R5253S,KTOE,,,,,,,,,,,
89,AL,2006,R5254S,KTOE,,,,,,,,,,,
90,AL,2006,R5255S,KTOE,,,,,,,,,,,
91,AL,2006,R5256S,KTOE,,,,,,,,,,,
92,AL,2006,R5257S,KTOE,,,,,,,,,,,
93,AL,2006,R5258S,KTOE,,,,,,,,,,,
94,AL,2006,R5259S,KTOE,,,,,,,,,,,
95,AL,2006,R5260S,KTOE,,,,,,,,,,,
96,AL,2006,R5261S,KTOE,,,,,,,,,,,
97,AL,2006,R5262S,KTOE,,,,,,,,,,,
98,AL,2006,R5263S,KTOE,,,,,,,,,,,
99,AL,2006,R5264S,KTOE,,,,,,,,,,,
100,AL,2006,R5265S,KTOE,,,,,,,,,,,
101,AL,2006,R5266S,KTOE,,,,,,,,,,,
102,AL,2006,R5267S,KTOE,,,,,,,,,,,
103,AL,2006,R5268S,KTOE,,,,,,,,,,,
104,AL,2006,R5269S,KTOE,,,,,,,,,,,
105,AL,2006,R5270S,KTOE,,,,,,,,,,,
106,AL,2006,R5271S,KTOE,,,,,,,,,,,
107,AL,2006,R5272S,KTOE,,,,,,,,,,,
108,AL,2006,R5273S,KTOE,,,,,,,,,,,
109,AL,2006,R5274S,KTOE,,,,,,,,,,,
110,AL,2006,R5275S,KTOE,,,,,,,,,,,
111,AL,2006,R5276S,KTOE,,,,,,,,,,,
112,AL,2006,R5277S,KTOE,,,,,,,,,,,
113,AL,2006,R5278S,KTOE,,,,,,,,,,,
114,AL,2006,R5279S,KTOE,,,,,,,,,,,
115,AL,2006,R5300,KTOE,,,,"0,0","0,0","0,0",,,,,
116,AL,2006,RA000,KTOE,,,,,,,"0,0","0,0",,,"0,0"
117,AL,2006,RHYD,KTOE,,,"0,0",,,,,,,,
118,AL,2006,RSYNF,KTOE,,,"0,0",,,,,,,,
119,AL,2006,TOTAL,KTOE,,,,,,,"610,06","610,06",,,
120,AL,2007,E7000,KTOE,,,,,,,,,,"0,0",
121,AL,2007,E7100,KTOE,,,,"0,0","0,0","0,0",,,,,
122,AL,2007,E7200,KTOE,,,,"0,0","0,0","0,0",,,,,
123,AL,2007,R5200,KTOE,,,,"0,0","0,0","0,0",,,,,
124,AL,2007,R5200,PC,,,,,,,,,,,
125,AL,2007,R5250S,KTOE,,,"0,0",,,,,,,,
126,AL,2007,R5251S,KTOE,,,"0,0",,,,,,,,
127,AL,2007,R5252S,KTOE,,,,,,,,,,,
128,AL,2007,R5253S,KTOE,,,,,,,,,,,
129,AL,2007,R5254S,KTOE,,,,,,,,,,,
130,AL,2007,R5255S,KTOE,,,,,,,,,,,
131,AL,2007,R5256S,KTOE,,,,,,,,,,,
132,AL,2007,R5257S,KTOE,,,,,,,,,,,
133,AL,2007,R5258S,KTOE,,,,,,,,,,,
134,AL,2007,R5259S,KTOE,,,,,,,,,,,
135,AL,2007,R5260S,KTOE,,,,,,,,,,,
136,AL,2007,R5261S,KTOE,,,,,,,,,,,
137,AL,2007,R5262S,KTOE,,,,,,,,,,,
138,AL,2007,R5263S,KTOE,,,,,,,,,,,
139,AL,2007,R5264S,KTOE,,,,,,,,,,,
140,AL,2007,R5265S,KTOE,,,,,,,,,,,
141,AL,2007,R5266S,KTOE,,,,,,,,,,,
142,AL,2007,R5267S,KTOE,,,,,,,,,,,
143,AL,2007,R5268S,KTOE,,,,,,,,,,,
144,AL,2007,R5269S,KTOE,,,,,,,,,,,
145,AL,2007,R5270S,KTOE,,,,,,,,,,,
146,AL,2007,R5271S,KTOE,,,,,,,,,,,
147,AL,2007,R5272S,KTOE,,,,,,,,,,,
148,AL,2007,R5273S,KTOE,,,,,,,,,,,
149,AL,2007,R5274S,KTOE,,,,,,,,,,,
150,AL,2007,R5275S,KTOE,,,,,,,,,,,
151,AL,2007,R5276S,KTOE,,,,,,,,,,,
152,AL,2007,R5277S,KTOE,,,,,,,,,,,
153,AL,2007,R5278S,KTOE,,,,,,,,,,,
154,AL,2007,R5279S,KTOE,,,,,,,,,,,
155,AL,2007,R5300,KTOE,,,,"0,0","0,0","0,0",,,,,
156,AL,2007,RA000,KTOE,,,,,,,"0,0","0,0",,,"0,0"
157,AL,2007,RHYD,KTOE,,,"0,0",,,,,,,,
158,AL,2007,RSYNF,KTOE,,,"0,0",,,,,,,,
159,AL,2007,TOTAL,KTOE,,,,,,,"687,0880000000001","687,0880000000001",,,
160,AL,2008,E7000,KTOE,,,,,,,,,,"0,0",
161,AL,2008,E7100,KTOE,,,,"0,0","0,0","0,0",,,,,
162,AL,2008,E7200,KTOE,,,,"0,0","0,0","0,0",,,,,
163,AL,2008,R5200,KTOE,,,,"0,0","0,0","0,0",,,,,
164,AL,2008,R5200,PC,,,,,,,,,,,
165,AL,2008,R5250S,KTOE,,,"0,0",,,,,,,,
166,AL,2008,R5251S,KTOE,,,"0,0",,,,,,,,
167,AL,2008,R5252S,KTOE,,,,,,,,,,,
168,AL,2008,R5253S,KTOE,,,,,,,,,,,
169,AL,2008,R5254S,KTOE,,,,,,,,,,,
170,AL,2008,R5255S,KTOE,,,,,,,,,,,
171,AL,2008,R5256S,KTOE,,,,,,,,,,,
172,AL,2008,R5257S,KTOE,,,,,,,,,,,
173,AL,2008,R5258S,KTOE,,,,,,,,,,,
174,AL,2008,R5259S,KTOE,,,,,,,,,,,
