year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0009859589611652343","0,023353989214101298","0,0","0,002348181260696504","0,0036223985331311414","0,0","0,0047060623813063905","0,018544571668694502","0,0017841901908495622","0,010637652924946586","0,0015839175069902482","0,0005137317263821803","0,007849604779112151","0,010827823680791064","0,009616915096458208","0,004799557047403423","0,010900002732654169","0,004238278728469857","0,004090299777974743","0,00017629829364233557","0,0","0,009802770475080456","0,001980594809264546","0,0006908156702470901","0,00586680337717682",,"0,0009169387663818938","0,0","0,0020575862059551793","0,012612340572460983","0,0075310325016080355","0,0016989355068348416","0,009267608631834774","0,0018114456280218577","0,037965574067969486","0,0035302794177032217","0,006864119282824765","0,0018401377809855015","0,0017537215858940492","0,0"
2005,"0,0009512704467150207","0,030909599320367787","0,0","0,0027062355035633854","0,003374188226590364","0,0","0,004322526430642387","0,03661847730634763","0,0017766430933028742","0,01624017892773189","0,001953447918938858","0,000417926910184491","0,010074959748286864","0,015738901001126893","0,01403145971703296","0,003658237129373975","0,016763160181513723","0,004411843113264995","0,004439025859762224","0,0004564690082262819","0,0","0,008067447593263721","0,004123533910710038","0,0007724771865958746","0,008622924649438509","0,00199923596077932","0,0010507644552412902","0,0","0,0019930230202779417","0,012526473615454652","0,010289580466591062","0,0018064105147522441","0,009921179892097067","0,0017843435942977671","0,04125890782928235","0,003454292493932632","0,010894034202961455","0,0018358350885884591","0,0030105104649992666","0,0"
2006,"0,0","0,0551018204090754","0,0","0,002514092933441847","0,005485208504935153","0,0","0,0042237633697059735","0,06432079334587375","0,0026094726624513527","0,0242813823694808","0,0014708192320324438","0,007110882027190217","0,006673301059858351","0,022889049957844472","0,020592152831428925","0,0039926809317368415","0,01947180662187571","0,004256987948542045","0,006451168123239883","0,0007590313125275522","0,0","0,007657177133842435","0,016703420371309993","0,0008920579079567246","0,007708719980376456","0,0020257280363340773","0,0012013384477270873","0,0","0,005619008093619153","0,014257328355499926","0,012472968832923023","0,013463456023033091","0,007991214003242542","0,0017184982462364298","0,050456287204773846","0,005952185489093243","0,02709757020876856","0,0016821995918361913","0,005634861889939068","0,0"
2007,"0,0","0,0626552979977947","0,0","0,0026198161026630734","0,004229280277126719","0,0","0,004114798255365105","0,07480004511849578","0,0028939461539534044","0,03233572775605824","0,0013428345679745086","0,012367777817341852","0,011906712057302838","0,029910830813519786","0,02723049991107962","0,0044075947766817865","0,035823592022887506","0,005677048296609195","0,010524883006738806","0,004696348109920832","0,0006996828104592584","0,007288710480062007","0,03628762519388211","0,020933183130134453","0,005617275633566467","0,004008762648465791","0,001227570715908794","0,0","0,0289773007062595","0,0193933239611266","0,011927052465207545","0,021532905065648155","0,008630770304804001","0,00267000453530542","0,06002303849951401","0,010759627500108622","0,03461170452159547","0,0016984988535152785","0,009637886715600476","0,0"
2008,"0,0","0,07439418353151228","0,0028909694091978078","0,0027663784907245676","0,004652498409171799","0,019208120117313533","0,02213578635186058","0,06003925280905566","0,0028418898666818337","0,037996807229010374","0,0014794933562854275","0,010343243001372996","0,019445135224910322","0,03671476258662884","0,03469540897015143","0,023224613052042046","0,057494469155461254","0,00507950222630979","0,04037719785114608","0,012488625852257742","0,0010653177224194397","0,023595733175821615","0,04124017471849226","0,02066163219657432","0,005862747009740184","0,0035448475417252916","0,0012826688633558608","0,0","0,026832191252529163","0,03308000150330337","0,03640683960814108","0,022180644123876915","0,007196613844009703","0,0027183922216844287","0,06672550390208769","0,014425588559093998","0,03807475285899845","0,001741368401777564","0,021203311098960537","0,0"
2009,"0,0","0,09035270716496407","0,0029637969859691673","0,01783611252525806","0,004989992849733441","0,020354768866403455","0,036749291797724695","0,05493727308766597","0,003990831496805778","0,04471805105204772","0,001927510381342489","0,010743227454368474","0,03470045276870553","0,04350728616970651","0,04131419593914807","0,03997920431634812","0,061461699433841124","0,007656502933449142","0,04172615099231832","0,018999906576980575","0,0013386267802855502","0,03622563792584757","0,042462467010604944","0,021121839664591538","0,007967048335193096","0,0027983190853054594","0,0010781784569425489","0,0","0,035553763937678486","0,036365649236175045","0,04951834476774141","0,035730479936367014","0,006869323712957956","0,0059113594139640555","0,07200955751593807","0,019510103759500384","0,048800883935739774","0,0009717875146057091","0,026593866471378243","0,0"
2010,"0,0","0,08526532005018128","0,003707170742604276","0,04356868849417142","0,009372369708137127","0,01993860348816066","0,04530544680849565","0,059808322744650734","0,008371935282044687","0,05019612281612971","0,0018980227147873349","0,018991412533104313","0,04733306454529076","0,04929823830641873","0,046944426596005805","0,03811069110108336","0,06051282159443205","0,0056756382093881294","0,047240595906194525","0,023824063271459167","0,0019580894957734823","0,045017481787297725","0,03580565645779061","0,019655261666110726","0,029563366886693847","0,003163409316327824","0,0007909921123952679","0,0","0,0227640160244942","0,03750550054503326","0,06184961654641742","0,05229386535393621","0,006963708243829848","0,0027001397240977716","0,07531636614412938","0,02771097402692759","0,048121660283296286","0,0010154109166723207","0,031043689474156394","0,0"
2011,"0,0","0,07795456250002454","0,004115777056758551","0,043122984683306144","0,0030547401575982043","0,0","0,005025368692960896","0,057307482890768244","0,03282048063194894","0,03031917090502297","0,0019145257747909563","0,003819394129675249","0,0032009029641952816","0,03283401833277994","0,032408567465933846","0,004118113196411569","0,004405114093925603","0,004373701294291806","0,04909666872996527","0,02720549203024347","0,004371875534604345","0,045309134426224106","0,035976942953687155","0,02061024676210889","0,02866278112971239","0,0024614948502315035","0,0006994140670233214","0,010079201595047422","0,03150875594563006","0,011127574596209283","0,06423894015718665","0,002970090311467028","0,01945426169379568","0,007600350830916888","0,08240773426204327","0,02121028440808521","0,051787368345592465","0,0012112189512981785","0,029508826902274465","0,0"
2012,"0,0","0,07915940148040958","0,003542764191223853","0,04422540528764907","0,0024293740915637854","0,0","0,05461060715256284","0,06060018878552558","0,05899404374874374","0,04481115437853243","0,00192708229360057","0,005685642495973435","0,0036473890742282356","0,04673305025101265","0,04240822794870723","0,004292947042387495","0,0660829351248858","0,004442564111072398","0,0474686731135494","0,024345830101900223","0,006979001607587506","0,047378354238481975","0,04722039204335556","0,02229813019810724","0,026984130567791087","0,0029572748962447618","0,0007524727561310803","0,01607906192399702","0,031046403944442642","0,012873320916457555","0,06011116606363501","0,003452859489618976","0,04021765622894238","0,008099278320469734","0,09463319133891196","0,02928733309885414","0,05014034455849691","0,0012738795660167542","0,013700873542173508","0,0"
2013,"0,0","0,07680652654672734","0,003116532068937155","0,04528113283124813","0,05388850825098265","0,008367378685289951","0,05588028641406367","0,0558340285133397","0,06033633347086458","0,04536912946841968","0,0017254582907315315","0,005755508205179247","0,003960970833469665","0,04832764555235389","0,043876966335366877","0,059029644516866785","0,06729158062299823","0,02156927388565677","0,04881167132018653","0,02887197130230394","0,01477101553542121","0,04585183758686162","0,04569782866028712","0,025626125624889234","0,026561603030316728","0,004415270041620867","0,0007274449403111161","0,01741996493886422","0,03114793295196084","0,012812973778462074","0,06056392173329746","0,004117565135620896","0,0456188941366526","0,00679504351638847","0,10974723088597545","0,03456319563454449","0,054410246034858535","0,0012011695036574321","0,014648970425751582","0,0"
