year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,016625020484355445","0,0","0,007384956412866557","0,0","0,0","0,005272066751099581","0,006945738003416073","0,006072455145915382","0,0012326151952856907","0,007777311833988316","0,0","0,0","0,0","0,0","0,006426031821934745","0,00081635757946267","0,00023249889095356614","0,0",,"0,0","0,0","0,0","0,0","0,0014157404454245804","0,0","0,0","0,0","0,02024001669390833","0,0","0,0006438532297931494","0,0","0,0004016961480679544","0,0"
2005,"0,0","0,008937255660249803","0,0","0,0","0,0","0,0","0,0","0,03459784968279156","0,0","0,0129626994629732","0,0","0,0","0,007518649792402818","0,011887548049355321","0,010516579332776964","0,0","0,013654968424692993","0,0","0,0006531329750890527","0,0002635136545911975","0,0","0,004542060625996207","0,002888932403372236","0,00022836620652916294","0,0026538357112381775","0,0","0,0","0,0","0,0","0,0","0,004909091753775599","0,0","0,0","0,0","0,023628718008773454","0,0","0,0064129835070924615","0,0","0,0016674405944735492","0,0"
2006,"0,0","0,03189698910450184","0,0","0,0","0,0025259787702373807","0,0","0,0","0,06239720399532568","0,0008677074923117398","0,02112795265071325","0,0","0,006670034438519329","0,0049024200407495454","0,019210154897854773","0,01722859543730637","0,00024193667404331584","0,016341813320666174","0,0","0,0025883529547313286","0,0005882216459820506","0,0","0,004054453359665832","0,015693506628677","0,00022521817735468688","0,0022215331355551747","0,0","0,0","0,0","0,003691480809008337","0,0012373825971248743","0,008129496183375991","0,01153651579119789","0,0","0,0","0,03269811271155299","0,0026795671185590236","0,0225284971187415","0,0","0,004324769215216344","0,0"
2007,"0,0","0,03954987831562299","0,0","0,0","0,0011314773792197822","0,0","0,0","0,07266229602297153","0,001250252708336238","0,029177468310281715","0,0","0,01185965065431961","0,010639892966713572","0,026223756381019807","0,02385507931856251","0,00046996798813048847","0,03260532220943678","0,0014669894713361812","0,0065894423216542215","0,004544662458286447","0,0006996828104592584","0,00355420759032265","0,035626046494169124","0,020185617668648924","0,0013881913907636276","0,0","0,0","0,0","0,027029986912821536","0,006977662804207238","0,007762481971308703","0,019622879921196767","0,0","0,0","0,0424146303537863","0,007976595652236882","0,030390540669634033","0,0","0,008308033722972927","0,0"
2008,"0,0","0,050229012135266496","0,0","0,0","0,0018784355597737969","0,019208120117313533","0,018022086608829528","0,05781238606323329","0,0011247631758444434","0,03460284932997154","0,0","0,009832343818811687","0,017879574832902242","0,03293497135018284","0,031224424722002413","0,019193895084332273","0,05396743118025846","0,0008196903014140431","0,036510491729508064","0,0123144401703208","0,0010653177224194397","0,019403741267293814","0,0404467778870756","0,019931280326806935","0,0017256061838823206","0,0","0,0","0,0","0,02479964535370435","0,01917822725077724","0,03257119499381642","0,020150595879339067","0,0","0,0","0,05197247221994063","0,012085519513037388","0,034285210061549234","0,0","0,0197956127048867","0,0"
2009,"0,0","0,06624040426844734","0,0","0,014830532273928826","0,0017251802184859943","0,020354768866403455","0,032558666662432026","0,05221084977505906","0,002017721280755786","0,04109828843946049","0,0","0,010264878676873432","0,03296997877279428","0,03951325232149648","0,03763648380177672","0,03607901862283321","0,0578709784660676","0,0036430134925282205","0,037643420001911856","0,01883446998006976","0,0013386267802855502","0,03178183115184301","0,04152071846793866","0,020301317071104902","0,004023761785451058","0,0","0,0","0,0","0,033278736605833505","0,022837132903738202","0,04598262693096872","0,03356749414167823","0,0","0,0","0,05616219817183667","0,01734017275337668","0,044753221357540875","0,0","0,025039375398001485","0,0"
2010,"0,0","0,062358138359916146","0,0","0,04043978760291182","0,0063548799259916435","0,01993860348816066","0,04072712171536083","0,0567161031789965","0,006264567094884194","0,04633333421642292","0,0","0,018554139826932853","0,045237027565323544","0,04509189020901448","0,043066669710682334","0,03396272688549152","0,0567590635126081","0,0015302096440529764","0,04289104156917134","0,023638466310449847","0,0019580894957734823","0,04019759127234423","0,034861538437589754","0,01878535012458555","0,025612293901072513","0,0","0,0","0,0","0,020279559833513774","0,02631930914980289","0,05827109263412544","0,05004164336284117","0,0","0,0","0,059861677374215314","0,025193643019080204","0,04419326811024937","0,0","0,029385669393069355","0,0"
2011,"0,0","0,06515467496091945","0,0","0,03979218059992585","0,007841544653292374","0,021707772739120525","0,052786510743218454","0,05502890206506991","0,03056154607149147","0,04823826756661575","0,0","0,017241194244527094","0,05701375883514508","0,048274111478300824","0,04562711716826103","0,04711035127877433","0,05567570176384377","0,0019122380519074845","0,04381318851955135","0,026981734066280915","0,004371875534604345","0,039846899810209495","0,034955153051083286","0,019691668681468984","0,023883869892218024","0,0","0,0","0,010079201595047422","0,028799513240764407","0,02702251539889916","0,06034918662228001","0,05111946136501708","0,03897534166811837","0,0","0,06376624321343262","0,01867045009492364","0,04728994248048883","0,0","0,027585867235876912","0,0"
2012,"0,0","0,06425949809942466","0,0","0,040801165109275096","0,03682516715665338","0,023485241075475515","0,049312638040722376","0,05785053994020446","0,05630151903910881","0,05336360028538961","0,0","0,02075361462152715","0,07637565480407117","0,05313843027829048","0,04924928572139241","0,04751483453332906","0,06145702065910567","0,020279948456744037","0,04251272143160197","0,02410918976963788","0,006675900383288763","0,04148600479469044","0,046173825945546566","0,021330580633100085","0,02171915462367388","0,0","0,0","0,01607906192399702","0,029397007768179932","0,0319511596352555","0,056041092918933444","0,05198615508345679","0,03408596713746503","0,0","0,07576084721139344","0,02695858445085589","0,04521279788702803","0,0","0,023433828060605302","0,0"
2013,"0,0","0,06220283583497977","0,0","0,041211042987587404","0,05157302212332973","0,02459943835403345","0,05010347631977962","0,05172173614991783","0,057324222035642934","0,04658522164433607","0,0","0,02463889695741107","0,0339638743069658","0,04808091413250066","0,04535824840908982","0,05498366214994997","0,06213173425480613","0,017364328879076803","0,04161211571915155","0,028647542901268034","0,014163987499718969","0,03910516569819538","0,04457028399699018","0,024510174298134377","0,02117695982931868","0,0","0,0","0,01741996493886422","0,028770344907446073","0,029927590735575327","0,05583326629884715","0,0507010606590199","0,039732541117174766","0,0","0,08881505541642906","0,03227504952269528","0,04895479053141189","0,0","0,027478266782156393","0,0"
