siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,GEP_NPUMP_MIX,GWH,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,AT	3574.539 	2958.855 	3877.193 	3748.451 	4375.092 	4403.564 	4626.926 	3100.056 	3832.030 	4419.345 	3832.019 	3925.298 	3263.976 	3965.610 	3754.119 
E7000,GEP_NPUMP_MIX,GWH,BA	336.000 	81.000 	111.000 	242.000 	173.000 	713.000 	239.000 	149.000 	794.000 	386.000 	115.000 	102.000 	316.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,BG	717.301 	244.947 	444.000 	391.000 	335.000 	296.000 	261.000 	364.000 	670.000 	465.000 	379.000 	374.000 	600.000 	566.000 	464.000 
E7000,GEP_NPUMP_MIX,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,DE	492.000 	479.000 	564.000 	466.000 	411.000 	687.000 	560.000 	406.000 	529.000 	399.000 	495.000 	639.000 	613.000 	650.000 	650.000 
E7000,GEP_NPUMP_MIX,GWH,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,EA19	15089.430 	11200.160 	16778.789 	13672.947 	16442.947 	16218.444 	13970.032 	13279.362 	17410.095 	13637.485 	13061.213 	13808.986 	12191.086 	10985.781 	14641.198 
E7000,GEP_NPUMP_MIX,GWH,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,EL	613.074 	348.136 	588.129 	860.313 	461.897 	686.965 	435.817 	335.472 	877.370 	638.612 	331.547 	338.505 	568.745 	720.493 	590.762 
E7000,GEP_NPUMP_MIX,GWH,ES	2380.000 	1578.000 	3344.000 	1334.000 	2648.080 	1492.300 	2083.500 	3032.200 	3804.100 	1297.200 	1608.400 	3093.200 	1345.500 	521.000 	3621.500 
E7000,GEP_NPUMP_MIX,GWH,EU27_2020	16381.752 	11982.387 	17789.318 	14514.991 	17462.453 	17277.697 	14758.325 	13971.349 	18962.580 	14751.363 	14012.234 	14647.088 	13326.392 	12197.210 	15793.052 
E7000,GEP_NPUMP_MIX,GWH,EU28	16381.752 	11982.387 	17789.318 	14514.991 	17462.453 	17277.697 	14758.325 	13971.349 	18962.580 	14751.363 	14012.234 	14647.088 	13326.392 	12197.210 	15793.052 
E7000,GEP_NPUMP_MIX,GWH,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,FR	3574.170 	3401.872 	3878.267 	4133.064 	3627.227 	4538.370 	3787.303 	2862.532 	3564.540 	3401.690 	3764.070 	3408.380 	3271.000 	3564.000 	3590.000 
E7000,GEP_NPUMP_MIX,GWH,HR	374.300 	307.100 	369.250 	263.600 	473.200 	539.800 	308.100 	120.400 	530.700 	389.400 	325.900 	197.000 	285.100 	379.100 	431.800 
E7000,GEP_NPUMP_MIX,GWH,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,IT	2520.447 	1568.797 	2045.500 	2395.534 	3062.800 	2614.700 	1881.100 	2477.700 	2619.600 	2739.800 	2310.100 	1451.300 	2116.900 	1267.700 	1823.600 
E7000,GEP_NPUMP_MIX,GWH,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,NO	2919.268 	2533.000 	3807.000 	1917.000 	2301.000 	2092.000 	1721.000 	347.000 	3078.000 	2199.000 	2595.000 	1076.000 	2828.000 	2394.000 	2024.000 
E7000,GEP_NPUMP_MIX,GWH,PL	200.721 	230.180 	197.279 	187.444 	211.306 	223.453 	219.193 	207.587 	351.785 	259.478 	246.121 	267.102 	250.206 	266.329 	256.054 
E7000,GEP_NPUMP_MIX,GWH,PT	1935.200 	865.500 	2481.700 	735.585 	1856.851 	1795.544 	595.385 	1065.402 	2183.455 	741.838 	720.077 	953.303 	1011.965 	296.978 	611.217 
E7000,GEP_NPUMP_MIX,GWH,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
