siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,AL	158.710 	159.408 	175.385 	204.333 	193.202 	201.490 	206.506 	208.011 	205.001 	209.993 	215.081 	214.985 	230.032 	230.032 	233.018 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,AT	3016.202 	3238.780 	3178.363 	3068.988 	2986.975 	3290.316 	3180.328 	3078.953 	3229.346 	2931.640 	2906.921 	2937.199 	2803.397 	2654.562 	2297.650 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,BA	1119.136 	390.179 	482.349 	486.625 	381.962 	174.381 	175.982 	175.743 	175.814 	177.486 	176.937 	181.212 	181.499 	181.738 	182.072 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,BE	1280.228 	1263.440 	1313.120 	1222.499 	1132.684 	1267.316 	1175.170 	1030.190 	1094.368 	955.957 	923.808 	801.615 	675.838 	615.697 	560.380 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,BG	1035.476 	1025.920 	995.223 	994.769 	953.616 	1006.067 	1001.027 	939.668 	882.918 	738.368 	747.922 	675.432 	735.311 	690.575 	708.942 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,CY	21.251 	20.674 	15.716 	17.197 	11.154 	9.482 	11.082 	15.716 	14.856 	19.561 	10.008 	5.780 	3.344 	2.293 	4.490 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,CZ	2323.972 	2274.550 	2277.587 	2251.218 	2195.639 	2150.855 	2051.471 	1958.775 	1932.478 	1869.399 	1775.294 	1731.322 	1668.983 	1602.560 	1441.053 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,DE	8875.705 	9181.881 	9041.488 	9375.728 	9319.456 	11094.559 	10927.200 	9774.028 	10878.762 	8968.520 	9492.882 	8272.643 	7877.950 	7014.522 	6843.341 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,DK	1328.519 	1300.780 	1245.978 	1218.283 	1000.851 	1031.174 	1018.224 	1093.542 	1182.348 	1114.933 	1122.313 	1106.907 	942.844 	853.683 	747.946 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,EA19	44121.575 	44911.817 	44184.775 	43897.501 	42148.768 	46581.840 	45818.873 	41425.712 	46663.717 	43800.602 	44256.964 	41605.193 	39005.268 	37472.491 	35445.812 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,EE	420.990 	419.819 	403.721 	476.808 	472.413 	472.389 	478.074 	496.513 	549.513 	516.433 	531.599 	489.777 	403.769 	446.761 	484.403 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,EL	826.610 	857.218 	849.049 	1010.366 	927.271 	922.423 	1132.894 	1032.698 	823.015 	796.957 	891.492 	1004.944 	931.260 	956.912 	916.714 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,ES	4099.145 	4064.799 	4004.729 	3926.053 	3734.356 	3744.554 	3849.503 	3790.174 	3651.810 	3708.059 	3626.708 	3720.598 	3688.497 	3440.527 	3424.023 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,EU27_2020	64882.438 	66175.305 	65363.160 	64750.541 	62202.309 	67615.139 	66747.148 	61893.907 	67013.686 	62796.996 	62528.723 	59528.810 	56421.911 	54428.758 	51399.763 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,EU28	67920.725 	68887.782 	68023.545 	67229.642 	64388.704 	69755.079 	68368.983 	63289.508 	68547.626 	64003.573 	63663.264 	60027.139 	56861.148 	54819.104 	51796.748 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,FI	5520.636 	5306.224 	5162.081 	4820.173 	4845.180 	4668.362 	4679.325 	4491.115 	4661.508 	4114.144 	4651.118 	4726.904 	4693.967 	4200.081 	4573.135 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,FR	8139.146 	8245.404 	8581.782 	8113.106 	7644.267 	9134.152 	8429.233 	7377.413 	8928.848 	8014.211 	7674.453 	7318.358 	7477.142 	8441.531 	8454.810 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,HR	1075.395 	1124.033 	1148.729 	1192.223 	1051.758 	1195.018 	1208.871 	1201.992 	1236.457 	1153.769 	1114.312 	1118.372 	1156.325 	1243.073 	1188.139 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,HU	1580.396 	1823.135 	1891.301 	1920.799 	1797.196 	2168.912 	2085.435 	1944.421 	1695.352 	1501.959 	1047.459 	1244.124 	1167.885 	1071.630 	619.471 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,IE	201.398 	196.870 	190.449 	193.130 	195.623 	168.767 	157.273 	164.591 	180.321 	172.006 	169.524 	180.169 	180.587 	175.585 	138.793 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,IS	21.541 	16.246 	11.106 	10.863 	10.256 	10.531 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
