,AT,CZ,DK,NL,PL,SK
2004,"2587,2029999999995","1660,672","1573,994","628,56","3935,6330000000003","344,98900000000003"
2005,"2970,8709999999996","1724,5860000000002","1734,188","664,421","3856,095","360,203"
2006,"3188,6529999999993","1779,8079999999998","1812,9369999999997","718,636","3935,8460000000005","311,671"
2007,"3400,8759999999997","1848,07","2016,5999999999997","736,302","3920,176999999999","409,16600000000005"
2008,"3507,1789999999996","1901,356","2079,488","772,5370000000001","4011,9420000000005","399,18300000000005"
2009,"3579,236","2002,6989999999998","2120,283","818,3600000000001","4159,167","513,6389999999999"
2010,"4029,8379999999993","2098,1639999999998","2407,4200000000005","848,977","4608,27","536,854"
2011,"3927,6830000000004","2162,0570000000002","2316,364","890,146","4880,242999999999","552,307"
2012,"4107,815","2285,9459999999995","2345,785","910,8709999999999","5016,791000000001","519,3699999999999"
2013,"4215,281999999999","2474,587","2409,527","953,569","5219,067999999999","473,1530000000001"
2014,"3891,593","2544,8799999999997","2417,184","1010,263","4885,809","492,358"
2015,"4022,4489999999996","2619,925","2705,071","1080,8269999999998","5024,339","614,694"
2016,"4141,477","2674,8840000000005","2832,48","1074,471","5325,043999999999","560,2139999999999"
2017,"4262,185","2684,06","3108,178000000001","1176,495","5446,293000000001","584,432"
2018,"3996,638","2718,7119999999995","3156,1250000000005","1154,761","5446,708","627,4469999999999"
